     #Energy       W_all      Mo_all      Ru_all
   -78.23019     0.00000     0.00000     0.00000
   -78.21919     0.00000     0.00000     0.00000
   -78.20819     0.00000     0.00000     0.00000
   -78.19719     0.00000     0.00000     0.00000
   -78.18619     0.00000     0.00000     0.00000
   -78.17519     0.00000     0.00000     0.00000
   -78.16419     0.00000     0.00000     0.00000
   -78.15319     0.00000     0.00000     0.00000
   -78.14219     0.00000     0.00000     0.00000
   -78.13119     0.00000     0.00000     0.00000
   -78.12019     0.00000     0.00000     0.00000
   -78.10819     0.00000     0.00000     0.00000
   -78.09719     0.00000     0.00000     0.00000
   -78.08619     0.00000     0.00000     0.00000
   -78.07519     0.00000     0.00000     0.00000
   -78.06419     0.00000     0.00000     0.00000
   -78.05319     0.00000     0.00000     0.00000
   -78.04219     0.00000     0.00000     0.00000
   -78.03119     0.00000     0.00000     0.00000
   -78.02019     0.00000     0.00000     0.00000
   -78.00919     0.00000     0.00000     0.00000
   -77.99819     0.00000     0.00000     0.00000
   -77.98719     0.00000     0.00000     0.00000
   -77.97619     0.00000     0.00000     0.00000
   -77.96519     0.00000     0.00000     0.00000
   -77.95419     0.00000     0.00000     0.00000
   -77.94319     0.00000     0.00000     0.00000
   -77.93219     0.00000     0.00000     0.00000
   -77.92119     0.00000     0.00000     0.00000
   -77.91019     0.00000     0.00000     0.00000
   -77.89919     0.00000     0.00000     0.00000
   -77.88819     0.00000     0.00000     0.00000
   -77.87719     0.00000     0.00000     0.00000
   -77.86619     0.00000     0.00000     0.00000
   -77.85519     0.00000     0.00000     0.00000
   -77.84419     0.00000     0.00000     0.00000
   -77.83319     0.00000     0.00000     0.00000
   -77.82219     0.00000     0.00000     0.00000
   -77.81119     0.00000     0.00000     0.00000
   -77.80019     0.00000     0.00000     0.00000
   -77.78919     0.00000     0.00000     0.00000
   -77.77819     0.00000     0.00000     0.00000
   -77.76719     0.00000     0.00000     0.00000
   -77.75619     0.00000     0.00000     0.00000
   -77.74519     0.00000     0.00000     0.00000
   -77.73419     0.00000     0.00000     0.00000
   -77.72319     0.00000     0.00000     0.00000
   -77.71219     0.00000     0.00000     0.00000
   -77.70119     0.00000     0.00000     0.00000
   -77.69019     0.00000     0.00000     0.00000
   -77.67919     0.00000     0.00000     0.00000
   -77.66819     0.00000     0.00000     0.00000
   -77.65719     0.00000     0.00000     0.00000
   -77.64619     0.00000     0.00000     0.00000
   -77.63519     0.00000     0.00000     0.00000
   -77.62419     0.00000     0.00000     0.00000
   -77.61319     0.00000     0.00000     0.00000
   -77.60219     0.00000     0.00000     0.00000
   -77.59119     0.00000     0.00000     0.00000
   -77.57919     0.00000     0.00000     0.00000
   -77.56819     0.00000     0.00000     0.00000
   -77.55719     0.00000     0.00000     0.00000
   -77.54619     0.00000     0.00000     0.00000
   -77.53519     0.00000     0.00000     0.00000
   -77.52419     0.00000     0.00000     0.00000
