     #Energy       W_all      Mo_all      Re_all
   -84.86227     0.00000     0.00000     0.00000
   -84.85027     0.00000     0.00000     0.00000
   -84.83827     0.00000     0.00000     0.00000
   -84.82627     0.00000     0.00000     0.00000
   -84.81427     0.00000     0.00000     0.00000
   -84.80227     0.00000     0.00000     0.00000
   -84.79027     0.00000     0.00000     0.00000
   -84.77927     0.00000     0.00000     0.00000
   -84.76727     0.00000     0.00000     0.00000
   -84.75527     0.00000     0.00000     0.00000
   -84.74327     0.00000     0.00000     0.00000
   -84.73127     0.00000     0.00000     0.00000
   -84.71927     0.00000     0.00000     0.00000
   -84.70727     0.00000     0.00000     0.00000
   -84.69627     0.00000     0.00000     0.00000
   -84.68427     0.00000     0.00000     0.00000
   -84.67227     0.00000     0.00000     0.00000
   -84.66027     0.00000     0.00000     0.00000
   -84.64827     0.00000     0.00000     0.00000
   -84.63627     0.00000     0.00000     0.00000
   -84.62427     0.00000     0.00000     0.00000
   -84.61327     0.00000     0.00000     0.00000
   -84.60127     0.00000     0.00000     0.00000
   -84.58927     0.00000     0.00000     0.00000
   -84.57727     0.00000     0.00000     0.00000
   -84.56527     0.00000     0.00000     0.00000
   -84.55327     0.00000     0.00000     0.00000
   -84.54227     0.00000     0.00000     0.00000
   -84.53027     0.00000     0.00000     0.00000
   -84.51827     0.00000     0.00000     0.00000
   -84.50627     0.00000     0.00000     0.00000
   -84.49427     0.00000     0.00000     0.00000
   -84.48227     0.00000     0.00000     0.00000
   -84.47027     0.00000     0.00000     0.00000
   -84.45927     0.00000     0.00000     0.00000
   -84.44727     0.00000     0.00000     0.00000
   -84.43527     0.00000     0.00000     0.00000
   -84.42327     0.00000     0.00000     0.00000
   -84.41127     0.00000     0.00000     0.00000
   -84.39927     0.00000     0.00000     0.00000
   -84.38727     0.00000     0.00000     0.00000
   -84.37627     0.00000     0.00000     0.00000
   -84.36427     0.00000     0.00000     0.00000
   -84.35227     0.00000     0.00000     0.00000
   -84.34027     0.00000     0.00000     0.00000
   -84.32827     0.00000     0.00000     0.00000
   -84.31627     0.00000     0.00000     0.00000
   -84.30527     0.00000     0.00000     0.00000
   -84.29327     0.00000     0.00000     0.00000
   -84.28127     0.00000     0.00000     0.00000
   -84.26927     0.00000     0.00000     0.00000
   -84.25727     0.00000     0.00000     0.00000
   -84.24527     0.00000     0.00000     0.00000
   -84.23327     0.00000     0.00000     0.00000
   -84.22227     0.00000     0.00000     0.00000
   -84.21027     0.00000     0.00000     0.00000
   -84.19827     0.00000     0.00000     0.00000
   -84.18627     0.00000     0.00000     0.00000
   -84.17427     0.00000     0.00000     0.00000
   -84.16227     0.00000     0.00000     0.00000
   -84.15027     0.00000     0.00000     0.00000
   -84.13927     0.00000     0.00000     0.00000
   -84.12727     0.00000     0.00000     0.00000
   -84.11527     0.00000     0.00000     0.00000
   -84.10327     0.00000     0.00000     0.00000
   -84.09127     0.00000     0.00000     0.00000
   -84.07927     0.00000     0.00000     0.00000
   -84.06727     0.00000     0.00000     0.00000
   -84.05627     0.00000     0.00000     0.00000
   -84.04427     0.00000     0.00000     0.00000
   -84.03227     0.00000     0.00000     0.00000
   -84.02027     0.00000     0.00000     0.00000
   -84.00827     0.00000     0.00000     0.00000
   -83.99627     0.00000     0.00000     0.00000
   -83.98527     0.00000     0.00000     0.00000
   -83.97327     0.00000     0.00000     0.00000
   -83.96127     0.00000     0.00000     0.00000
   -83.94927     0.00000     0.00000     0.00000
   -83.93727     0.00000     0.00000     0.00000
   -83.92527     0.00000     0.00000     0.00000
   -83.91327     0.00000     0.00000     0.00000
   -83.90227     0.00000     0.00000     0.00000
   -83.89027     0.00000     0.00000     0.00000
   -83.87827     0.00000     0.00000     0.00000
   -83.86627     0.00000     0.00000     0.00000
   -83.85427     0.00000     0.00000     0.00000
   -83.84227     0.00000     0.00000     0.00000
   -83.83027     0.00000     0.00000     0.00000
   -83.81927     0.00000     0.00000     0.00000
   -83.80727     0.00000     0.00000     0.00000
   -83.79527     0.00000     0.00000     0.00000
   -83.78327     0.00000     0.00000     0.00000
   -83.77127     0.00000     0.00000     0.00000
   -83.75927     0.00000     0.00000     0.00000
   -83.74827     0.00000     0.00000     0.00000
   -83.73627     0.00000     0.00000     0.00000
   -83.72427     0.00000     0.00000     0.00000
   -83.71227     0.00000     0.00000     0.00000
   -83.70027     0.00000     0.00000     0.00000
   -83.68827     0.00000     0.00000     0.00000
   -83.67627     0.00000     0.00000     0.00000
   -83.66527     0.00000     0.00000     0.00000
   -83.65327     0.00000     0.00000     0.00000
   -83.64127     0.00000     0.00000     0.00000
   -83.62927     0.00000     0.00000     0.00000
   -83.61727     0.00000     0.00000     0.00000
   -83.60527     0.00000     0.00000     0.00000
   -83.59327     0.00000     0.00000     0.00000
   -83.58227     0.00000     0.00000     0.00000
   -83.57027     0.00000     0.00000     0.00000
   -83.55827     0.00000     0.00000     0.00000
   -83.54627     0.00000     0.00000     0.00000
   -83.53427     0.00000     0.00000     0.00000
   -83.52227     0.00000     0.00000     0.00000
   -83.51027     0.00000     0.00000     0.00000
   -83.49927     0.00000     0.00000     0.00000
   -83.48727     0.00000     0.00000     0.00000
   -83.47527     0.00000     0.00000     0.00000
   -83.46327     0.00000     0.00000     0.00000
   -83.45127     0.00000     0.00000     0.00000
   -83.43927     0.00000     0.00000     0.00000
   -83.42827     0.00000     0.00000     0.00000
   -83.41627     0.00000     0.00000     0.00000
   -83.40427     0.00000     0.00000     0.00000
   -83.39227     0.00000     0.00000     0.00000
   -83.38027     0.00000     0.00000     0.00000
   -83.36827     0.00000     0.00000     0.00000
   -83.35627     0.00000     0.00000     0.00000
   -83.34527     0.00000     0.00000     0.00000
   -83.33327     0.00000     0.00000     0.00000
   -83.32127     0.00000     0.00000     0.00000
   -83.30927     0.00000     0.00000     0.00000
   -83.29727     0.00000     0.00000     0.00000
   -83.28527     0.00000     0.00000     0.00000
   -83.27327     0.00000     0.00000     0.00000
   -83.26227     0.00000     0.00000     0.00000
