     #Energy       W_all      Mo_all      Ti_all      Os_all
   -77.07048     0.00000     0.00000     0.00000     0.00000
   -77.06048     0.00000     0.00000     0.00000     0.00000
   -77.04948     0.00000     0.00000     0.00000     0.00000
   -77.03848     0.00000     0.00000     0.00000     0.00000
   -77.02848     0.00000     0.00000     0.00000     0.00000
   -77.01748     0.00000     0.00000     0.00000     0.00000
   -77.00648     0.00000     0.00000     0.00000     0.00000
   -76.99648     0.00000     0.00000     0.00000     0.00000
   -76.98548     0.00000     0.00000     0.00000     0.00000
   -76.97448     0.00000     0.00000     0.00000     0.00000
   -76.96348     0.00000     0.00000     0.00000     0.00000
   -76.95348     0.00000     0.00000     0.00000     0.00000
   -76.94248     0.00000     0.00000     0.00000     0.00000
   -76.93148     0.00000     0.00000     0.00000     0.00000
   -76.92148     0.00000     0.00000     0.00000     0.00000
   -76.91048     0.00000     0.00000     0.00000     0.00000
   -76.89948     0.00000     0.00000     0.00000     0.00000
   -76.88948     0.00000     0.00000     0.00000     0.00000
   -76.87848     0.00000     0.00000     0.00000     0.00000
   -76.86748     0.00000     0.00000     0.00000     0.00000
   -76.85648     0.00000     0.00000     0.00000     0.00000
   -76.84648     0.00000     0.00000     0.00000     0.00000
   -76.83548     0.00000     0.00000     0.00000     0.00000
   -76.82448     0.00000     0.00000     0.00000     0.00000
   -76.81448     0.00000     0.00000     0.00000     0.00000
   -76.80348     0.00000     0.00000     0.00000     0.00000
   -76.79248     0.00000     0.00000     0.00000     0.00000
   -76.78248     0.00000     0.00000     0.00000     0.00000
   -76.77148     0.00000     0.00000     0.00000     0.00000
   -76.76048     0.00000     0.00000     0.00000     0.00000
   -76.74948     0.00000     0.00000     0.00000     0.00000
   -76.73948     0.00000     0.00000     0.00000     0.00000
   -76.72848     0.00000     0.00000     0.00000     0.00000
   -76.71748     0.00000     0.00000     0.00000     0.00000
   -76.70748     0.00000     0.00000     0.00000     0.00000
   -76.69648     0.00000     0.00000     0.00000     0.00000
   -76.68548     0.00000     0.00000     0.00000     0.00000
   -76.67548     0.00000     0.00000     0.00000     0.00000
   -76.66448     0.00000     0.00000     0.00000     0.00000
   -76.65348     0.00000     0.00000     0.00000     0.00000
   -76.64248     0.00000     0.00000     0.00000     0.00000
   -76.63248     0.00000     0.00000     0.00000     0.00000
   -76.62148     0.00000     0.00000     0.00000     0.00000
   -76.61048     0.00000     0.00000     0.00000     0.00000
   -76.60048     0.00000     0.00000     0.00000     0.00000
   -76.58948     0.00000     0.00000     0.00000     0.00000
   -76.57848     0.00000     0.00000     0.00000     0.00000
   -76.56848     0.00000     0.00000     0.00000     0.00000
   -76.55748     0.00000     0.00000     0.00000     0.00000
   -76.54648     0.00000     0.00000     0.00000     0.00000
   -76.53548     0.00000     0.00000     0.00000     0.00000
   -76.52548     0.00000     0.00000     0.00000     0.00000
   -76.51448     0.00000     0.00000     0.00000     0.00000
   -76.50348     0.00000     0.00000     0.00000     0.00000
   -76.49348     0.00000     0.00000     0.00000     0.00000
   -76.48248     0.00000     0.00000     0.00000     0.00000
   -76.47148     0.00000     0.00000     0.00000     0.00000
   -76.46148     0.00000     0.00000     0.00000     0.00000
   -76.45048     0.00000     0.00000     0.00000     0.00000
   -76.43948     0.00000     0.00000     0.00000     0.00000
   -76.42848     0.00000     0.00000     0.00000     0.00000
   -76.41848     0.00000     0.00000     0.00000     0.00000
   -76.40748     0.00000     0.00000     0.00000     0.00000
   -76.39648     0.00000     0.00000     0.00000     0.00000
   -76.38648     0.00000     0.00000     0.00000     0.00000
   -76.37548     0.00000     0.00000     0.00000     0.00000
   -76.36448     0.00000     0.00000     0.00000     0.00000
   -76.35448     0.00000     0.00000     0.00000     0.00000
   -76.34348     0.00000     0.00000     0.00000     0.00000
   -76.33248     0.00000     0.00000     0.00000     0.00000
   -76.32148     0.00000     0.00000     0.00000     0.00000
   -76.31148     0.00000     0.00000     0.00000     0.00000
   -76.30048     0.00000     0.00000     0.00000     0.00000
   -76.28948     0.00000     0.00000     0.00000     0.00000
   -76.27948     0.00000     0.00000     0.00000     0.00000
   -76.26848     0.00000     0.00000     0.00000     0.00000
   -76.25748     0.00000     0.00000     0.00000     0.00000
   -76.24748     0.00000     0.00000     0.00000     0.00000
   -76.23648     0.00000     0.00000     0.00000     0.00000
   -76.22548     0.00000     0.00000     0.00000     0.00000
   -76.21448     0.00000     0.00000     0.00000     0.00000
   -76.20448     0.00000     0.00000     0.00000     0.00000
   -76.19348     0.00000     0.00000     0.00000     0.00000
   -76.18248     0.00000     0.00000     0.00000     0.00000
   -76.17248     0.00000     0.00000     0.00000     0.00000
   -76.16148     0.00000     0.00000     0.00000     0.00000
   -76.15048     0.00000     0.00000     0.00000     0.00000
   -76.14048     0.00000     0.00000     0.00000     0.00000
   -76.12948     0.00000     0.00000     0.00000     0.00000
   -76.11848     0.00000     0.00000     0.00000     0.00000
   -76.10848     0.00000     0.00000     0.00000     0.00000
   -76.09748     0.00000     0.00000     0.00000     0.00000
   -76.08648     0.00000     0.00000     0.00000     0.00000
   -76.07548     0.00000     0.00000     0.00000     0.00000
   -76.06548     0.00000     0.00000     0.00000     0.00000
   -76.05448     0.00000     0.00000     0.00000     0.00000
   -76.04348     0.00000     0.00000     0.00000     0.00000
   -76.03348     0.00000     0.00000     0.00000     0.00000
   -76.02248     0.00000     0.00000     0.00000     0.00000
   -76.01148     0.00000     0.00000     0.00000     0.00000
   -76.00148     0.00000     0.00000     0.00000     0.00000
   -75.99048     0.00000     0.00000     0.00000     0.00000
