     #Energy       W_all      Mo_all      Re_all
   -85.02887     0.00000     0.00000     0.00000
   -85.01687     0.00000     0.00000     0.00000
   -85.00587     0.00000     0.00000     0.00000
   -84.99387     0.00000     0.00000     0.00000
   -84.98187     0.00000     0.00000     0.00000
   -84.96987     0.00000     0.00000     0.00000
   -84.95787     0.00000     0.00000     0.00000
   -84.94587     0.00000     0.00000     0.00000
   -84.93387     0.00000     0.00000     0.00000
   -84.92287     0.00000     0.00000     0.00000
   -84.91087     0.00000     0.00000     0.00000
   -84.89887     0.00000     0.00000     0.00000
   -84.88687     0.00000     0.00000     0.00000
   -84.87487     0.00000     0.00000     0.00000
   -84.86287     0.00000     0.00000     0.00000
   -84.85087     0.00000     0.00000     0.00000
   -84.83887     0.00000     0.00000     0.00000
   -84.82787     0.00000     0.00000     0.00000
   -84.81587     0.00000     0.00000     0.00000
   -84.80387     0.00000     0.00000     0.00000
   -84.79187     0.00000     0.00000     0.00000
   -84.77987     0.00000     0.00000     0.00000
   -84.76787     0.00000     0.00000     0.00000
   -84.75587     0.00000     0.00000     0.00000
   -84.74487     0.00000     0.00000     0.00000
   -84.73287     0.00000     0.00000     0.00000
   -84.72087     0.00000     0.00000     0.00000
   -84.70887     0.00000     0.00000     0.00000
   -84.69687     0.00000     0.00000     0.00000
   -84.68487     0.00000     0.00000     0.00000
   -84.67287     0.00000     0.00000     0.00000
   -84.66187     0.00000     0.00000     0.00000
   -84.64987     0.00000     0.00000     0.00000
   -84.63787     0.00000     0.00000     0.00000
   -84.62587     0.00000     0.00000     0.00000
   -84.61387     0.00000     0.00000     0.00000
   -84.60187     0.00000     0.00000     0.00000
   -84.58987     0.00000     0.00000     0.00000
   -84.57787     0.00000     0.00000     0.00000
   -84.56687     0.00000     0.00000     0.00000
   -84.55487     0.00000     0.00000     0.00000
   -84.54287     0.00000     0.00000     0.00000
   -84.53087     0.00000     0.00000     0.00000
   -84.51887     0.00000     0.00000     0.00000
   -84.50687     0.00000     0.00000     0.00000
   -84.49487     0.00000     0.00000     0.00000
   -84.48387     0.00000     0.00000     0.00000
   -84.47187     0.00000     0.00000     0.00000
   -84.45987     0.00000     0.00000     0.00000
   -84.44787     0.00000     0.00000     0.00000
   -84.43587     0.00000     0.00000     0.00000
   -84.42387     0.00000     0.00000     0.00000
   -84.41187     0.00000     0.00000     0.00000
   -84.40087     0.00000     0.00000     0.00000
   -84.38887     0.00000     0.00000     0.00000
   -84.37687     0.00000     0.00000     0.00000
   -84.36487     0.00000     0.00000     0.00000
   -84.35287     0.00000     0.00000     0.00000
   -84.34087     0.00000     0.00000     0.00000
   -84.32887     0.00000     0.00000     0.00000
   -84.31687     0.00000     0.00000     0.00000
   -84.30587     0.00000     0.00000     0.00000
   -84.29387     0.00000     0.00000     0.00000
   -84.28187     0.00000     0.00000     0.00000
   -84.26987     0.00000     0.00000     0.00000
   -84.25787     0.00000     0.00000     0.00000
   -84.24587     0.00000     0.00000     0.00000
   -84.23387     0.00000     0.00000     0.00000
   -84.22287     0.00000     0.00000     0.00000
   -84.21087     0.00000     0.00000     0.00000
   -84.19887     0.00000     0.00000     0.00000
   -84.18687     0.00000     0.00000     0.00000
   -84.17487     0.00000     0.00000     0.00000
   -84.16287     0.00000     0.00000     0.00000
   -84.15087     0.00000     0.00000     0.00000
   -84.13887     0.00000     0.00000     0.00000
   -84.12787     0.00000     0.00000     0.00000
   -84.11587     0.00000     0.00000     0.00000
   -84.10387     0.00000     0.00000     0.00000
   -84.09187     0.00000     0.00000     0.00000
   -84.07987     0.00000     0.00000     0.00000
   -84.06787     0.00000     0.00000     0.00000
   -84.05587     0.00000     0.00000     0.00000
   -84.04487     0.00000     0.00000     0.00000
   -84.03287     0.00000     0.00000     0.00000
   -84.02087     0.00000     0.00000     0.00000
   -84.00887     0.00000     0.00000     0.00000
   -83.99687     0.00000     0.00000     0.00000
   -83.98487     0.00000     0.00000     0.00000
   -83.97287     0.00000     0.00000     0.00000
   -83.96187     0.00000     0.00000     0.00000
   -83.94987     0.00000     0.00000     0.00000
   -83.93787     0.00000     0.00000     0.00000
   -83.92587     0.00000     0.00000     0.00000
   -83.91387     0.00000     0.00000     0.00000
   -83.90187     0.00000     0.00000     0.00000
   -83.88987     0.00000     0.00000     0.00000
   -83.87787     0.00000     0.00000     0.00000
   -83.86687     0.00000     0.00000     0.00000
   -83.85487     0.00000     0.00000     0.00000
   -83.84287     0.00000     0.00000     0.00000
   -83.83087     0.00000     0.00000     0.00000
   -83.81887     0.00000     0.00000     0.00000
   -83.80687     0.00000     0.00000     0.00000
   -83.79487     0.00000     0.00000     0.00000
   -83.78387     0.00000     0.00000     0.00000
   -83.77187     0.00000     0.00000     0.00000
   -83.75987     0.00000     0.00000     0.00000
   -83.74787     0.00000     0.00000     0.00000
   -83.73587     0.00000     0.00000     0.00000
   -83.72387     0.00000     0.00000     0.00000
   -83.71187     0.00000     0.00000     0.00000
   -83.69987     0.00000     0.00000     0.00000
   -83.68887     0.00000     0.00000     0.00000
   -83.67687     0.00000     0.00000     0.00000
   -83.66487     0.00000     0.00000     0.00000
   -83.65287     0.00000     0.00000     0.00000
   -83.64087     0.00000     0.00000     0.00000
   -83.62887     0.00000     0.00000     0.00000
   -83.61687     0.00000     0.00000     0.00000
   -83.60587     0.00000     0.00000     0.00000
   -83.59387     0.00000     0.00000     0.00000
   -83.58187     0.00000     0.00000     0.00000
   -83.56987     0.00000     0.00000     0.00000
   -83.55787     0.00000     0.00000     0.00000
   -83.54587     0.00000     0.00000     0.00000
   -83.53387     0.00000     0.00000     0.00000
   -83.52287     0.00000     0.00000     0.00000
   -83.51087     0.00000     0.00000     0.00000
   -83.49887     0.00000     0.00000     0.00000
   -83.48687     0.00000     0.00000     0.00000
   -83.47487     0.00000     0.00000     0.00000
   -83.46287     0.00000     0.00000     0.00000
   -83.45087     0.00000     0.00000     0.00000
   -83.43887     0.00000     0.00000     0.00000
   -83.42787     0.00000     0.00000     0.00000
   -83.41587     0.00000     0.00000     0.00000
   -83.40387     0.00000     0.00000     0.00000
   -83.39187     0.00000     0.00000     0.00000
   -83.37987     0.00000     0.00000     0.00000
