      #Energy        TDOS
     -63.70251       0.00000
     -63.46651       0.00000
     -63.23051       0.00000
     -62.99451       0.00000
     -62.75851       0.00000
     -62.52351       0.00000
     -62.28751       0.00000
     -62.05151       0.00000
     -61.81551       0.00000
     -61.57951       0.00000
     -61.34351      -0.00000
     -61.10751      -0.00000
     -60.87151      -0.00000
     -60.63551      -0.39250
     -60.40051      19.10000
     -60.16451      84.89000
     -59.92851      -1.85600
     -59.69251      -0.00059
     -59.45651      -0.00000
     -59.22051       0.00000
     -58.98451       0.00000
     -58.74851       0.00000
     -58.51251       0.00000
     -58.27651       0.00000
     -58.04151       0.00000
     -57.80551       0.00000
     -57.56951       0.00000
     -57.33351       0.00000
     -57.09751       0.00000
     -56.86151       0.00000
     -56.62551       0.00000
     -56.38951       0.00000
     -56.15351       0.00000
     -55.91751       0.00000
     -55.68251       0.00000
     -55.44651       0.00000
     -55.21051      -0.00000
     -54.97451      -0.00000
     -54.73851      -0.00000
     -54.50251      -0.05308
     -54.26651       8.27400
     -54.03051      84.04000
     -53.79451       9.51600
     -53.55951      -0.03629
     -53.32351      -0.00000
     -53.08751       0.00000
     -52.85151       0.00000
     -52.61551       0.00000
     -52.37951       0.00000
     -52.14351       0.00000
     -51.90751       0.00000
     -51.67151       0.00000
     -51.43551       0.00000
     -51.20051       0.00000
     -50.96451       0.00000
     -50.72851       0.00000
     -50.49251       0.00000
     -50.25651       0.00000
     -50.02051       0.00000
     -49.78451       0.00000
     -49.54851       0.00000
     -49.31251       0.00000
     -49.07651       0.00000
     -48.84151       0.00000
     -48.60551       0.00000
     -48.36951       0.00000
     -48.13351       0.00000
     -47.89751       0.00000
     -47.66151       0.00000
     -47.42551       0.00000
     -47.18951       0.00000
     -46.95351       0.00000
     -46.71851       0.00000
     -46.48251       0.00000
     -46.24651       0.00000
     -46.01051       0.00000
     -45.77451       0.00000
     -45.53851       0.00000
     -45.30251       0.00000
     -45.06651       0.00000
     -44.83051       0.00000
     -44.59451       0.00000
     -44.35951       0.00000
     -44.12351       0.00000
     -43.88751       0.00000
     -43.65151       0.00000
     -43.41551       0.00000
     -43.17951       0.00000
     -42.94351       0.00000
     -42.70751       0.00000
     -42.47151       0.00000
     -42.23551       0.00000
     -42.00051       0.00000
     -41.76451       0.00000
     -41.52851       0.00000
     -41.29251       0.00000
     -41.05651       0.00000
     -40.82051       0.00000
     -40.58451       0.00000
     -40.34851       0.00000
     -40.11251       0.00000
     -39.87751       0.00000
     -39.64151       0.00000
     -39.40551       0.00000
     -39.16951       0.00000
     -38.93351       0.00000
     -38.69751       0.00000
     -38.46151       0.00000
     -38.22551       0.00000
     -37.98951       0.00000
     -37.75351       0.00000
     -37.51851       0.00000
