     #Energy       W_all      Mo_all      Os_all
   -78.19652     0.00000     0.00000     0.00000
   -78.18652     0.00000     0.00000     0.00000
   -78.17552     0.00000     0.00000     0.00000
   -78.16452     0.00000     0.00000     0.00000
   -78.15452     0.00000     0.00000     0.00000
   -78.14352     0.00000     0.00000     0.00000
   -78.13252     0.00000     0.00000     0.00000
   -78.12252     0.00000     0.00000     0.00000
   -78.11152     0.00000     0.00000     0.00000
   -78.10052     0.00000     0.00000     0.00000
   -78.09052     0.00000     0.00000     0.00000
   -78.07952     0.00000     0.00000     0.00000
   -78.06852     0.00000     0.00000     0.00000
   -78.05852     0.00000     0.00000     0.00000
   -78.04752     0.00000     0.00000     0.00000
   -78.03652     0.00000     0.00000     0.00000
   -78.02652     0.00000     0.00000     0.00000
   -78.01552     0.00000     0.00000     0.00000
   -78.00552     0.00000     0.00000     0.00000
   -77.99452     0.00000     0.00000     0.00000
   -77.98352     0.00000     0.00000     0.00000
   -77.97352     0.00000     0.00000     0.00000
   -77.96252     0.00000     0.00000     0.00000
   -77.95152     0.00000     0.00000     0.00000
   -77.94152     0.00000     0.00000     0.00000
   -77.93052     0.00000     0.00000     0.00000
   -77.91952     0.00000     0.00000     0.00000
   -77.90952     0.00000     0.00000     0.00000
   -77.89852     0.00000     0.00000     0.00000
   -77.88752     0.00000     0.00000     0.00000
   -77.87752     0.00000     0.00000     0.00000
   -77.86652     0.00000     0.00000     0.00000
   -77.85552     0.00000     0.00000     0.00000
   -77.84552     0.00000     0.00000     0.00000
   -77.83452     0.00000     0.00000     0.00000
   -77.82352     0.00000     0.00000     0.00000
   -77.81352     0.00000     0.00000     0.00000
   -77.80252     0.00000     0.00000     0.00000
   -77.79152     0.00000     0.00000     0.00000
   -77.78152     0.00000     0.00000     0.00000
   -77.77052     0.00000     0.00000     0.00000
   -77.75952     0.00000     0.00000     0.00000
   -77.74952     0.00000     0.00000     0.00000
   -77.73852     0.00000     0.00000     0.00000
   -77.72752     0.00000     0.00000     0.00000
   -77.71752     0.00000     0.00000     0.00000
