     #Energy       W_all      Mo_all      Pd_all      Ti_all
   -78.02406     0.00000     0.00000     0.00000     0.00000
   -78.01406     0.00000     0.00000     0.00000     0.00000
   -78.00306     0.00000     0.00000     0.00000     0.00000
   -77.99206     0.00000     0.00000     0.00000     0.00000
   -77.98106     0.00000     0.00000     0.00000     0.00000
   -77.97006     0.00000     0.00000     0.00000     0.00000
   -77.95906     0.00000     0.00000     0.00000     0.00000
   -77.94906     0.00000     0.00000     0.00000     0.00000
   -77.93806     0.00000     0.00000     0.00000     0.00000
   -77.92706     0.00000     0.00000     0.00000     0.00000
   -77.91606     0.00000     0.00000     0.00000     0.00000
   -77.90506     0.00000     0.00000     0.00000     0.00000
   -77.89406     0.00000     0.00000     0.00000     0.00000
   -77.88406     0.00000     0.00000     0.00000     0.00000
   -77.87306     0.00000     0.00000     0.00000     0.00000
   -77.86206     0.00000     0.00000     0.00000     0.00000
   -77.85106     0.00000     0.00000     0.00000     0.00000
   -77.84006     0.00000     0.00000     0.00000     0.00000
   -77.82906     0.00000     0.00000     0.00000     0.00000
   -77.81806     0.00000     0.00000     0.00000     0.00000
   -77.80806     0.00000     0.00000     0.00000     0.00000
   -77.79706     0.00000     0.00000     0.00000     0.00000
   -77.78606     0.00000     0.00000     0.00000     0.00000
   -77.77506     0.00000     0.00000     0.00000     0.00000
   -77.76406     0.00000     0.00000     0.00000     0.00000
   -77.75306     0.00000     0.00000     0.00000     0.00000
   -77.74306     0.00000     0.00000     0.00000     0.00000
   -77.73206     0.00000     0.00000     0.00000     0.00000
   -77.72106     0.00000     0.00000     0.00000     0.00000
   -77.71006     0.00000     0.00000     0.00000     0.00000
   -77.69906     0.00000     0.00000     0.00000     0.00000
   -77.68806     0.00000     0.00000     0.00000     0.00000
   -77.67806     0.00000     0.00000     0.00000     0.00000
   -77.66706     0.00000     0.00000     0.00000     0.00000
   -77.65606     0.00000     0.00000     0.00000     0.00000
   -77.64506     0.00000     0.00000     0.00000     0.00000
   -77.63406     0.00000     0.00000     0.00000     0.00000
   -77.62306     0.00000     0.00000     0.00000     0.00000
   -77.61206     0.00000     0.00000     0.00000     0.00000
   -77.60206     0.00000     0.00000     0.00000     0.00000
   -77.59106     0.00000     0.00000     0.00000     0.00000
   -77.58006     0.00000     0.00000     0.00000     0.00000
   -77.56906     0.00000     0.00000     0.00000     0.00000
   -77.55806     0.00000     0.00000     0.00000     0.00000
   -77.54706     0.00000     0.00000     0.00000     0.00000
   -77.53706     0.00000     0.00000     0.00000     0.00000
   -77.52606     0.00000     0.00000     0.00000     0.00000
   -77.51506     0.00000     0.00000     0.00000     0.00000
   -77.50406     0.00000     0.00000     0.00000     0.00000
   -77.49306     0.00000     0.00000     0.00000     0.00000
   -77.48206     0.00000     0.00000     0.00000     0.00000
   -77.47206     0.00000     0.00000     0.00000     0.00000
   -77.46106     0.00000     0.00000     0.00000     0.00000
   -77.45006     0.00000     0.00000     0.00000     0.00000
   -77.43906     0.00000     0.00000     0.00000     0.00000
   -77.42806     0.00000     0.00000     0.00000     0.00000
   -77.41706     0.00000     0.00000     0.00000     0.00000
   -77.40606     0.00000     0.00000     0.00000     0.00000
   -77.39606     0.00000     0.00000     0.00000     0.00000
   -77.38506     0.00000     0.00000     0.00000     0.00000
   -77.37406     0.00000     0.00000     0.00000     0.00000
   -77.36306     0.00000     0.00000     0.00000     0.00000
   -77.35206     0.00000     0.00000     0.00000     0.00000
   -77.34106     0.00000     0.00000     0.00000     0.00000
   -77.33106     0.00000     0.00000     0.00000     0.00000
   -77.32006     0.00000     0.00000     0.00000     0.00000
   -77.30906     0.00000     0.00000     0.00000     0.00000
   -77.29806     0.00000     0.00000     0.00000     0.00000
   -77.28706     0.00000     0.00000     0.00000     0.00000
   -77.27606     0.00000     0.00000     0.00000     0.00000
   -77.26606     0.00000     0.00000     0.00000     0.00000
   -77.25506     0.00000     0.00000     0.00000     0.00000
   -77.24406     0.00000     0.00000     0.00000     0.00000
   -77.23306     0.00000     0.00000     0.00000     0.00000
   -77.22206     0.00000     0.00000     0.00000     0.00000
   -77.21106     0.00000     0.00000     0.00000     0.00000
   -77.20106     0.00000     0.00000     0.00000     0.00000
   -77.19006     0.00000     0.00000     0.00000     0.00000
   -77.17906     0.00000     0.00000     0.00000     0.00000
   -77.16806     0.00000     0.00000     0.00000     0.00000
   -77.15706     0.00000     0.00000     0.00000     0.00000
   -77.14606     0.00000     0.00000     0.00000     0.00000
   -77.13506     0.00000     0.00000     0.00000     0.00000
   -77.12506     0.00000     0.00000     0.00000     0.00000
   -77.11406     0.00000     0.00000     0.00000     0.00000
   -77.10306     0.00000     0.00000     0.00000     0.00000
   -77.09206     0.00000     0.00000     0.00000     0.00000
   -77.08106     0.00000     0.00000     0.00000     0.00000
   -77.07006     0.00000     0.00000     0.00000     0.00000
   -77.06006     0.00000     0.00000     0.00000     0.00000
   -77.04906     0.00000     0.00000     0.00000     0.00000
   -77.03806     0.00000     0.00000     0.00000     0.00000
   -77.02706     0.00000     0.00000     0.00000     0.00000
   -77.01606     0.00000     0.00000     0.00000     0.00000
   -77.00506     0.00000     0.00000     0.00000     0.00000
   -76.99506     0.00000     0.00000     0.00000     0.00000
   -76.98406     0.00000     0.00000     0.00000     0.00000
   -76.97306     0.00000     0.00000     0.00000     0.00000
   -76.96206     0.00000     0.00000     0.00000     0.00000
   -76.95106     0.00000     0.00000     0.00000     0.00000
   -76.94006     0.00000     0.00000     0.00000     0.00000
   -76.92906     0.00000     0.00000     0.00000     0.00000
   -76.91906     0.00000     0.00000     0.00000     0.00000
   -76.90806     0.00000     0.00000     0.00000     0.00000
   -76.89706     0.00000     0.00000     0.00000     0.00000
   -76.88606     0.00000     0.00000     0.00000     0.00000
   -76.87506     0.00000     0.00000     0.00000     0.00000
   -76.86406     0.00000     0.00000     0.00000     0.00000
   -76.85406     0.00000     0.00000     0.00000     0.00000
   -76.84306     0.00000     0.00000     0.00000     0.00000
   -76.83206     0.00000     0.00000     0.00000     0.00000
   -76.82106     0.00000     0.00000     0.00000     0.00000
   -76.81006     0.00000     0.00000     0.00000     0.00000
   -76.79906     0.00000     0.00000     0.00000     0.00000
   -76.78906     0.00000     0.00000     0.00000     0.00000
   -76.77806     0.00000     0.00000     0.00000     0.00000
   -76.76706     0.00000     0.00000     0.00000     0.00000
   -76.75606     0.00000     0.00000     0.00000     0.00000
   -76.74506     0.00000     0.00000     0.00000     0.00000
   -76.73406     0.00000     0.00000     0.00000     0.00000
   -76.72306     0.00000     0.00000     0.00000     0.00000
   -76.71306     0.00000     0.00000     0.00000     0.00000
   -76.70206     0.00000     0.00000     0.00000     0.00000
   -76.69106     0.00000     0.00000     0.00000     0.00000
   -76.68006     0.00000     0.00000     0.00000     0.00000
   -76.66906     0.00000     0.00000     0.00000     0.00000
   -76.65806     0.00000     0.00000     0.00000     0.00000
   -76.64806     0.00000     0.00000     0.00000     0.00000
   -76.63706     0.00000     0.00000     0.00000     0.00000
   -76.62606     0.00000     0.00000     0.00000     0.00000
   -76.61506     0.00000     0.00000     0.00000     0.00000
   -76.60406     0.00000     0.00000     0.00000     0.00000
   -76.59306     0.00000     0.00000     0.00000     0.00000
   -76.58306     0.00000     0.00000     0.00000     0.00000
   -76.57206     0.00000     0.00000     0.00000     0.00000
   -76.56106     0.00000     0.00000     0.00000     0.00000
   -76.55006     0.00000     0.00000     0.00000     0.00000
   -76.53906     0.00000     0.00000     0.00000     0.00000
   -76.52806     0.00000     0.00000     0.00000     0.00000
   -76.51806     0.00000     0.00000     0.00000     0.00000
   -76.50706     0.00000     0.00000     0.00000     0.00000
   -76.49606     0.00000     0.00000     0.00000     0.00000
   -76.48506     0.00000     0.00000     0.00000     0.00000
   -76.47406     0.00000     0.00000     0.00000     0.00000
   -76.46306     0.00000     0.00000     0.00000     0.00000
   -76.45206     0.00000     0.00000     0.00000     0.00000
   -76.44206     0.00000     0.00000     0.00000     0.00000
   -76.43106     0.00000     0.00000     0.00000     0.00000
   -76.42006     0.00000     0.00000     0.00000     0.00000
   -76.40906     0.00000     0.00000     0.00000     0.00000
   -76.39806     0.00000     0.00000     0.00000     0.00000
