     #Energy       W_all      Mo_all      Pd_all
   -78.00687     0.00000     0.00000     0.00000
   -77.99587     0.00000     0.00000     0.00000
   -77.98487     0.00000     0.00000     0.00000
   -77.97487     0.00000     0.00000     0.00000
   -77.96387     0.00000     0.00000     0.00000
   -77.95387     0.00000     0.00000     0.00000
   -77.94287     0.00000     0.00000     0.00000
   -77.93187     0.00000     0.00000     0.00000
   -77.92187     0.00000     0.00000     0.00000
   -77.91087     0.00000     0.00000     0.00000
   -77.90087     0.00000     0.00000     0.00000
   -77.88987     0.00000     0.00000     0.00000
   -77.87887     0.00000     0.00000     0.00000
   -77.86887     0.00000     0.00000     0.00000
   -77.85787     0.00000     0.00000     0.00000
   -77.84787     0.00000     0.00000     0.00000
   -77.83687     0.00000     0.00000     0.00000
   -77.82587     0.00000     0.00000     0.00000
   -77.81587     0.00000     0.00000     0.00000
   -77.80487     0.00000     0.00000     0.00000
   -77.79487     0.00000     0.00000     0.00000
   -77.78387     0.00000     0.00000     0.00000
   -77.77287     0.00000     0.00000     0.00000
   -77.76287     0.00000     0.00000     0.00000
   -77.75187     0.00000     0.00000     0.00000
   -77.74187     0.00000     0.00000     0.00000
   -77.73087     0.00000     0.00000     0.00000
   -77.71987     0.00000     0.00000     0.00000
   -77.70987     0.00000     0.00000     0.00000
   -77.69887     0.00000     0.00000     0.00000
   -77.68787     0.00000     0.00000     0.00000
   -77.67787     0.00000     0.00000     0.00000
   -77.66687     0.00000     0.00000     0.00000
   -77.65687     0.00000     0.00000     0.00000
   -77.64587     0.00000     0.00000     0.00000
   -77.63487     0.00000     0.00000     0.00000
   -77.62487     0.00000     0.00000     0.00000
   -77.61387     0.00000     0.00000     0.00000
   -77.60387     0.00000     0.00000     0.00000
   -77.59287     0.00000     0.00000     0.00000
   -77.58187     0.00000     0.00000     0.00000
   -77.57187     0.00000     0.00000     0.00000
   -77.56087     0.00000     0.00000     0.00000
   -77.55087     0.00000     0.00000     0.00000
   -77.53987     0.00000     0.00000     0.00000
   -77.52887     0.00000     0.00000     0.00000
   -77.51887     0.00000     0.00000     0.00000
   -77.50787     0.00000     0.00000     0.00000
   -77.49787     0.00000     0.00000     0.00000
   -77.48687     0.00000     0.00000     0.00000
   -77.47587     0.00000     0.00000     0.00000
   -77.46587     0.00000     0.00000     0.00000
   -77.45487     0.00000     0.00000     0.00000
   -77.44487     0.00000     0.00000     0.00000
   -77.43387     0.00000     0.00000     0.00000
   -77.42287     0.00000     0.00000     0.00000
   -77.41287     0.00000     0.00000     0.00000
   -77.40187     0.00000     0.00000     0.00000
   -77.39087     0.00000     0.00000     0.00000
   -77.38087     0.00000     0.00000     0.00000
   -77.36987     0.00000     0.00000     0.00000
   -77.35987     0.00000     0.00000     0.00000
   -77.34887     0.00000     0.00000     0.00000
   -77.33787     0.00000     0.00000     0.00000
   -77.32787     0.00000     0.00000     0.00000
   -77.31687     0.00000     0.00000     0.00000
   -77.30687     0.00000     0.00000     0.00000
   -77.29587     0.00000     0.00000     0.00000
   -77.28487     0.00000     0.00000     0.00000
   -77.27487     0.00000     0.00000     0.00000
   -77.26387     0.00000     0.00000     0.00000
   -77.25387     0.00000     0.00000     0.00000
   -77.24287     0.00000     0.00000     0.00000
   -77.23187     0.00000     0.00000     0.00000
   -77.22187     0.00000     0.00000     0.00000
   -77.21087     0.00000     0.00000     0.00000
   -77.20087     0.00000     0.00000     0.00000
   -77.18987     0.00000     0.00000     0.00000
   -77.17887     0.00000     0.00000     0.00000
   -77.16887     0.00000     0.00000     0.00000
   -77.15787     0.00000     0.00000     0.00000
   -77.14787     0.00000     0.00000     0.00000
   -77.13687     0.00000     0.00000     0.00000
   -77.12587     0.00000     0.00000     0.00000
   -77.11587     0.00000     0.00000     0.00000
   -77.10487     0.00000     0.00000     0.00000
   -77.09387     0.00000     0.00000     0.00000
   -77.08387     0.00000     0.00000     0.00000
   -77.07287     0.00000     0.00000     0.00000
   -77.06287     0.00000     0.00000     0.00000
   -77.05187     0.00000     0.00000     0.00000
   -77.04087     0.00000     0.00000     0.00000
   -77.03087     0.00000     0.00000     0.00000
   -77.01987     0.00000     0.00000     0.00000
   -77.00987     0.00000     0.00000     0.00000
   -76.99887     0.00000     0.00000     0.00000
   -76.98787     0.00000     0.00000     0.00000
   -76.97787     0.00000     0.00000     0.00000
   -76.96687     0.00000     0.00000     0.00000
   -76.95687     0.00000     0.00000     0.00000
   -76.94587     0.00000     0.00000     0.00000
   -76.93487     0.00000     0.00000     0.00000
   -76.92487     0.00000     0.00000     0.00000
   -76.91387     0.00000     0.00000     0.00000
   -76.90387     0.00000     0.00000     0.00000
   -76.89287     0.00000     0.00000     0.00000
   -76.88187     0.00000     0.00000     0.00000
   -76.87187     0.00000     0.00000     0.00000
   -76.86087     0.00000     0.00000     0.00000
   -76.85087     0.00000     0.00000     0.00000
   -76.83987     0.00000     0.00000     0.00000
   -76.82887     0.00000     0.00000     0.00000
   -76.81887     0.00000     0.00000     0.00000
   -76.80787     0.00000     0.00000     0.00000
   -76.79687     0.00000     0.00000     0.00000
   -76.78687     0.00000     0.00000     0.00000
   -76.77587     0.00000     0.00000     0.00000
   -76.76587     0.00000     0.00000     0.00000
   -76.75487     0.00000     0.00000     0.00000
   -76.74387     0.00000     0.00000     0.00000
   -76.73387     0.00000     0.00000     0.00000
   -76.72287     0.00000     0.00000     0.00000
   -76.71287     0.00000     0.00000     0.00000
   -76.70187     0.00000     0.00000     0.00000
   -76.69087     0.00000     0.00000     0.00000
   -76.68087     0.00000     0.00000     0.00000
   -76.66987     0.00000     0.00000     0.00000
   -76.65987     0.00000     0.00000     0.00000
   -76.64887     0.00000     0.00000     0.00000
   -76.63787     0.00000     0.00000     0.00000
   -76.62787     0.00000     0.00000     0.00000
   -76.61687     0.00000     0.00000     0.00000
   -76.60687     0.00000     0.00000     0.00000
   -76.59587     0.00000     0.00000     0.00000
   -76.58487     0.00000     0.00000     0.00000
   -76.57487     0.00000     0.00000     0.00000
   -76.56387     0.00000     0.00000     0.00000
   -76.55387     0.00000     0.00000     0.00000
   -76.54287     0.00000     0.00000     0.00000
   -76.53187     0.00000     0.00000     0.00000
   -76.52187     0.00000     0.00000     0.00000
   -76.51087     0.00000     0.00000     0.00000
   -76.49987     0.00000     0.00000     0.00000
   -76.48987     0.00000     0.00000     0.00000
   -76.47887     0.00000     0.00000     0.00000
   -76.46887     0.00000     0.00000     0.00000
   -76.45787     0.00000     0.00000     0.00000
   -76.44687     0.00000     0.00000     0.00000
   -76.43687     0.00000     0.00000     0.00000
   -76.42587     0.00000     0.00000     0.00000
   -76.41587     0.00000     0.00000     0.00000
   -76.40487     0.00000     0.00000     0.00000
   -76.39387     0.00000     0.00000     0.00000
   -76.38387     0.00000     0.00000     0.00000
   -76.37287     0.00000     0.00000     0.00000
   -76.36287     0.00000     0.00000     0.00000
   -76.35187     0.00000     0.00000     0.00000
   -76.34087     0.00000     0.00000     0.00000
   -76.33087     0.00000     0.00000     0.00000
   -76.31987     0.00000     0.00000     0.00000
   -76.30987     0.00000     0.00000     0.00000
   -76.29887     0.00000     0.00000     0.00000
   -76.28787     0.00000     0.00000     0.00000
   -76.27787     0.00000     0.00000     0.00000
   -76.26687     0.00000     0.00000     0.00000
   -76.25687     0.00000     0.00000     0.00000
   -76.24587     0.00000     0.00000     0.00000
   -76.23487     0.00000     0.00000     0.00000
   -76.22487     0.00000     0.00000     0.00000
   -76.21387     0.00000     0.00000     0.00000
   -76.20287     0.00000     0.00000     0.00000
   -76.19287     0.00000     0.00000     0.00000
   -76.18187     0.00000     0.00000     0.00000
   -76.17187     0.00000     0.00000     0.00000
   -76.16087     0.00000     0.00000     0.00000
   -76.14987     0.00000     0.00000     0.00000
   -76.13987     0.00000     0.00000     0.00000
   -76.12887     0.00000     0.00000     0.00000
   -76.11887     0.00000     0.00000     0.00000
   -76.10787     0.00000     0.00000     0.00000
   -76.09687     0.00000     0.00000     0.00000
   -76.08687     0.00000     0.00000     0.00000
   -76.07587     0.00000     0.00000     0.00000
   -76.06587     0.00000     0.00000     0.00000
   -76.05487     0.00000     0.00000     0.00000
   -76.04387     0.00000     0.00000     0.00000
   -76.03387     0.00000     0.00000     0.00000
