     #Energy       W_all      Mo_all      Ti_all      Pt_all
   -77.94241     0.00000     0.00000     0.00000     0.00000
   -77.93141     0.00000     0.00000     0.00000     0.00000
   -77.92041     0.00000     0.00000     0.00000     0.00000
   -77.91041     0.00000     0.00000     0.00000     0.00000
   -77.89941     0.00000     0.00000     0.00000     0.00000
   -77.88941     0.00000     0.00000     0.00000     0.00000
   -77.87841     0.00000     0.00000     0.00000     0.00000
   -77.86741     0.00000     0.00000     0.00000     0.00000
   -77.85741     0.00000     0.00000     0.00000     0.00000
   -77.84641     0.00000     0.00000     0.00000     0.00000
   -77.83641     0.00000     0.00000     0.00000     0.00000
   -77.82541     0.00000     0.00000     0.00000     0.00000
   -77.81441     0.00000     0.00000     0.00000     0.00000
   -77.80441     0.00000     0.00000     0.00000     0.00000
   -77.79341     0.00000     0.00000     0.00000     0.00000
   -77.78241     0.00000     0.00000     0.00000     0.00000
   -77.77241     0.00000     0.00000     0.00000     0.00000
   -77.76141     0.00000     0.00000     0.00000     0.00000
   -77.75141     0.00000     0.00000     0.00000     0.00000
   -77.74041     0.00000     0.00000     0.00000     0.00000
   -77.72941     0.00000     0.00000     0.00000     0.00000
   -77.71941     0.00000     0.00000     0.00000     0.00000
   -77.70841     0.00000     0.00000     0.00000     0.00000
   -77.69841     0.00000     0.00000     0.00000     0.00000
   -77.68741     0.00000     0.00000     0.00000     0.00000
   -77.67641     0.00000     0.00000     0.00000     0.00000
   -77.66641     0.00000     0.00000     0.00000     0.00000
   -77.65541     0.00000     0.00000     0.00000     0.00000
   -77.64441     0.00000     0.00000     0.00000     0.00000
   -77.63441     0.00000     0.00000     0.00000     0.00000
   -77.62341     0.00000     0.00000     0.00000     0.00000
   -77.61341     0.00000     0.00000     0.00000     0.00000
   -77.60241     0.00000     0.00000     0.00000     0.00000
   -77.59141     0.00000     0.00000     0.00000     0.00000
   -77.58141     0.00000     0.00000     0.00000     0.00000
   -77.57041     0.00000     0.00000     0.00000     0.00000
   -77.56041     0.00000     0.00000     0.00000     0.00000
   -77.54941     0.00000     0.00000     0.00000     0.00000
   -77.53841     0.00000     0.00000     0.00000     0.00000
   -77.52841     0.00000     0.00000     0.00000     0.00000
   -77.51741     0.00000     0.00000     0.00000     0.00000
   -77.50741     0.00000     0.00000     0.00000     0.00000
   -77.49641     0.00000     0.00000     0.00000     0.00000
   -77.48541     0.00000     0.00000     0.00000     0.00000
   -77.47541     0.00000     0.00000     0.00000     0.00000
   -77.46441     0.00000     0.00000     0.00000     0.00000
   -77.45341     0.00000     0.00000     0.00000     0.00000
   -77.44341     0.00000     0.00000     0.00000     0.00000
   -77.43241     0.00000     0.00000     0.00000     0.00000
   -77.42241     0.00000     0.00000     0.00000     0.00000
   -77.41141     0.00000     0.00000     0.00000     0.00000
   -77.40041     0.00000     0.00000     0.00000     0.00000
   -77.39041     0.00000     0.00000     0.00000     0.00000
