     #Energy       W_all      Mo_all      Os_all      Hf_all
   -78.24992     0.00000     0.00000     0.00000     0.00000
   -78.23892     0.00000     0.00000     0.00000     0.00000
   -78.22792     0.00000     0.00000     0.00000     0.00000
   -78.21692     0.00000     0.00000     0.00000     0.00000
   -78.20592     0.00000     0.00000     0.00000     0.00000
   -78.19492     0.00000     0.00000     0.00000     0.00000
   -78.18292     0.00000     0.00000     0.00000     0.00000
   -78.17192     0.00000     0.00000     0.00000     0.00000
   -78.16092     0.00000     0.00000     0.00000     0.00000
   -78.14992     0.00000     0.00000     0.00000     0.00000
   -78.13892     0.00000     0.00000     0.00000     0.00000
   -78.12792     0.00000     0.00000     0.00000     0.00000
   -78.11692     0.00000     0.00000     0.00000     0.00000
   -78.10592     0.00000     0.00000     0.00000     0.00000
   -78.09492     0.00000     0.00000     0.00000     0.00000
   -78.08392     0.00000     0.00000     0.00000     0.00000
   -78.07292     0.00000     0.00000     0.00000     0.00000
   -78.06192     0.00000     0.00000     0.00000     0.00000
   -78.05092     0.00000     0.00000     0.00000     0.00000
   -78.03992     0.00000     0.00000     0.00000     0.00000
   -78.02892     0.00000     0.00000     0.00000     0.00000
   -78.01792     0.00000     0.00000     0.00000     0.00000
   -78.00692     0.00000     0.00000     0.00000     0.00000
   -77.99592     0.00000     0.00000     0.00000     0.00000
   -77.98492     0.00000     0.00000     0.00000     0.00000
   -77.97392     0.00000     0.00000     0.00000     0.00000
   -77.96292     0.00000     0.00000     0.00000     0.00000
   -77.95192     0.00000     0.00000     0.00000     0.00000
   -77.94092     0.00000     0.00000     0.00000     0.00000
   -77.92992     0.00000     0.00000     0.00000     0.00000
   -77.91892     0.00000     0.00000     0.00000     0.00000
   -77.90792     0.00000     0.00000     0.00000     0.00000
   -77.89692     0.00000     0.00000     0.00000     0.00000
   -77.88592     0.00000     0.00000     0.00000     0.00000
   -77.87492     0.00000     0.00000     0.00000     0.00000
   -77.86392     0.00000     0.00000     0.00000     0.00000
   -77.85292     0.00000     0.00000     0.00000     0.00000
   -77.84192     0.00000     0.00000     0.00000     0.00000
   -77.83092     0.00000     0.00000     0.00000     0.00000
   -77.81992     0.00000     0.00000     0.00000     0.00000
   -77.80892     0.00000     0.00000     0.00000     0.00000
   -77.79792     0.00000     0.00000     0.00000     0.00000
   -77.78692     0.00000     0.00000     0.00000     0.00000
   -77.77592     0.00000     0.00000     0.00000     0.00000
   -77.76492     0.00000     0.00000     0.00000     0.00000
   -77.75392     0.00000     0.00000     0.00000     0.00000
   -77.74292     0.00000     0.00000     0.00000     0.00000
   -77.73192     0.00000     0.00000     0.00000     0.00000
   -77.72092     0.00000     0.00000     0.00000     0.00000
   -77.70992     0.00000     0.00000     0.00000     0.00000
   -77.69892     0.00000     0.00000     0.00000     0.00000
   -77.68792     0.00000     0.00000     0.00000     0.00000
   -77.67692     0.00000     0.00000     0.00000     0.00000
   -77.66592     0.00000     0.00000     0.00000     0.00000
