     #Energy       W_all      Mo_all      Re_all      Ti_all
   -84.50989     0.00000     0.00000     0.00000     0.00000
   -84.49789     0.00000     0.00000     0.00000     0.00000
   -84.48589     0.00000     0.00000     0.00000     0.00000
   -84.47489     0.00000     0.00000     0.00000     0.00000
   -84.46289     0.00000     0.00000     0.00000     0.00000
   -84.45189     0.00000     0.00000     0.00000     0.00000
   -84.43989     0.00000     0.00000     0.00000     0.00000
   -84.42889     0.00000     0.00000     0.00000     0.00000
   -84.41689     0.00000     0.00000     0.00000     0.00000
   -84.40589     0.00000     0.00000     0.00000     0.00000
   -84.39389     0.00000     0.00000     0.00000     0.00000
   -84.38289     0.00000     0.00000     0.00000     0.00000
   -84.37089     0.00000     0.00000     0.00000     0.00000
   -84.35989     0.00000     0.00000     0.00000     0.00000
   -84.34789     0.00000     0.00000     0.00000     0.00000
   -84.33689     0.00000     0.00000     0.00000     0.00000
   -84.32489     0.00000     0.00000     0.00000     0.00000
   -84.31389     0.00000     0.00000     0.00000     0.00000
   -84.30189     0.00000     0.00000     0.00000     0.00000
   -84.29089     0.00000     0.00000     0.00000     0.00000
   -84.27889     0.00000     0.00000     0.00000     0.00000
   -84.26789     0.00000     0.00000     0.00000     0.00000
   -84.25589     0.00000     0.00000     0.00000     0.00000
   -84.24489     0.00000     0.00000     0.00000     0.00000
   -84.23289     0.00000     0.00000     0.00000     0.00000
   -84.22089     0.00000     0.00000     0.00000     0.00000
   -84.20989     0.00000     0.00000     0.00000     0.00000
   -84.19789     0.00000     0.00000     0.00000     0.00000
   -84.18689     0.00000     0.00000     0.00000     0.00000
   -84.17489     0.00000     0.00000     0.00000     0.00000
   -84.16389     0.00000     0.00000     0.00000     0.00000
   -84.15189     0.00000     0.00000     0.00000     0.00000
   -84.14089     0.00000     0.00000     0.00000     0.00000
   -84.12889     0.00000     0.00000     0.00000     0.00000
   -84.11789     0.00000     0.00000     0.00000     0.00000
   -84.10589     0.00000     0.00000     0.00000     0.00000
   -84.09489     0.00000     0.00000     0.00000     0.00000
   -84.08289     0.00000     0.00000     0.00000     0.00000
   -84.07189     0.00000     0.00000     0.00000     0.00000
   -84.05989     0.00000     0.00000     0.00000     0.00000
   -84.04889     0.00000     0.00000     0.00000     0.00000
