     #Energy       W_all      Mo_all      Pt_all
   -77.99711     0.00000     0.00000     0.00000
   -77.98711     0.00000     0.00000     0.00000
   -77.97611     0.00000     0.00000     0.00000
   -77.96611     0.00000     0.00000     0.00000
   -77.95511     0.00000     0.00000     0.00000
   -77.94411     0.00000     0.00000     0.00000
   -77.93411     0.00000     0.00000     0.00000
   -77.92311     0.00000     0.00000     0.00000
   -77.91311     0.00000     0.00000     0.00000
   -77.90211     0.00000     0.00000     0.00000
   -77.89211     0.00000     0.00000     0.00000
   -77.88111     0.00000     0.00000     0.00000
   -77.87011     0.00000     0.00000     0.00000
   -77.86011     0.00000     0.00000     0.00000
   -77.84911     0.00000     0.00000     0.00000
   -77.83911     0.00000     0.00000     0.00000
   -77.82811     0.00000     0.00000     0.00000
   -77.81811     0.00000     0.00000     0.00000
   -77.80711     0.00000     0.00000     0.00000
   -77.79711     0.00000     0.00000     0.00000
   -77.78611     0.00000     0.00000     0.00000
   -77.77511     0.00000     0.00000     0.00000
   -77.76511     0.00000     0.00000     0.00000
   -77.75411     0.00000     0.00000     0.00000
   -77.74411     0.00000     0.00000     0.00000
   -77.73311     0.00000     0.00000     0.00000
   -77.72311     0.00000     0.00000     0.00000
   -77.71211     0.00000     0.00000     0.00000
   -77.70211     0.00000     0.00000     0.00000
   -77.69111     0.00000     0.00000     0.00000
   -77.68011     0.00000     0.00000     0.00000
   -77.67011     0.00000     0.00000     0.00000
   -77.65911     0.00000     0.00000     0.00000
   -77.64911     0.00000     0.00000     0.00000
   -77.63811     0.00000     0.00000     0.00000
   -77.62811     0.00000     0.00000     0.00000
   -77.61711     0.00000     0.00000     0.00000
   -77.60611     0.00000     0.00000     0.00000
   -77.59611     0.00000     0.00000     0.00000
   -77.58511     0.00000     0.00000     0.00000
   -77.57511     0.00000     0.00000     0.00000
   -77.56411     0.00000     0.00000     0.00000
   -77.55411     0.00000     0.00000     0.00000
   -77.54311     0.00000     0.00000     0.00000
   -77.53311     0.00000     0.00000     0.00000
   -77.52211     0.00000     0.00000     0.00000
   -77.51111     0.00000     0.00000     0.00000
   -77.50111     0.00000     0.00000     0.00000
   -77.49011     0.00000     0.00000     0.00000
   -77.48011     0.00000     0.00000     0.00000
   -77.46911     0.00000     0.00000     0.00000
   -77.45911     0.00000     0.00000     0.00000
   -77.44811     0.00000     0.00000     0.00000
   -77.43811     0.00000     0.00000     0.00000
   -77.42711     0.00000     0.00000     0.00000
   -77.41611     0.00000     0.00000     0.00000
   -77.40611     0.00000     0.00000     0.00000
   -77.39511     0.00000     0.00000     0.00000
   -77.38511     0.00000     0.00000     0.00000
   -77.37411     0.00000     0.00000     0.00000
   -77.36411     0.00000     0.00000     0.00000
   -77.35311     0.00000     0.00000     0.00000
   -77.34211     0.00000     0.00000     0.00000
   -77.33211     0.00000     0.00000     0.00000
   -77.32111     0.00000     0.00000     0.00000
   -77.31111     0.00000     0.00000     0.00000
   -77.30011     0.00000     0.00000     0.00000
   -77.29011     0.00000     0.00000     0.00000
   -77.27911     0.00000     0.00000     0.00000
   -77.26911     0.00000     0.00000     0.00000
   -77.25811     0.00000     0.00000     0.00000
   -77.24711     0.00000     0.00000     0.00000
   -77.23711     0.00000     0.00000     0.00000
   -77.22611     0.00000     0.00000     0.00000
   -77.21611     0.00000     0.00000     0.00000
   -77.20511     0.00000     0.00000     0.00000
   -77.19511     0.00000     0.00000     0.00000
   -77.18411     0.00000     0.00000     0.00000
