     #Energy       W_all      Mo_all      Rh_all      Ti_all
   -77.96507     0.00000     0.00000     0.00000     0.00000
   -77.95507     0.00000     0.00000     0.00000     0.00000
   -77.94407     0.00000     0.00000     0.00000     0.00000
   -77.93307     0.00000     0.00000     0.00000     0.00000
   -77.92307     0.00000     0.00000     0.00000     0.00000
   -77.91207     0.00000     0.00000     0.00000     0.00000
   -77.90107     0.00000     0.00000     0.00000     0.00000
   -77.89107     0.00000     0.00000     0.00000     0.00000
   -77.88007     0.00000     0.00000     0.00000     0.00000
   -77.86907     0.00000     0.00000     0.00000     0.00000
   -77.85907     0.00000     0.00000     0.00000     0.00000
   -77.84807     0.00000     0.00000     0.00000     0.00000
   -77.83707     0.00000     0.00000     0.00000     0.00000
   -77.82707     0.00000     0.00000     0.00000     0.00000
   -77.81607     0.00000     0.00000     0.00000     0.00000
   -77.80507     0.00000     0.00000     0.00000     0.00000
   -77.79507     0.00000     0.00000     0.00000     0.00000
   -77.78407     0.00000     0.00000     0.00000     0.00000
   -77.77307     0.00000     0.00000     0.00000     0.00000
   -77.76307     0.00000     0.00000     0.00000     0.00000
   -77.75207     0.00000     0.00000     0.00000     0.00000
   -77.74107     0.00000     0.00000     0.00000     0.00000
   -77.73107     0.00000     0.00000     0.00000     0.00000
   -77.72007     0.00000     0.00000     0.00000     0.00000
   -77.70907     0.00000     0.00000     0.00000     0.00000
   -77.69907     0.00000     0.00000     0.00000     0.00000
   -77.68807     0.00000     0.00000     0.00000     0.00000
   -77.67707     0.00000     0.00000     0.00000     0.00000
   -77.66707     0.00000     0.00000     0.00000     0.00000
   -77.65607     0.00000     0.00000     0.00000     0.00000
   -77.64507     0.00000     0.00000     0.00000     0.00000
   -77.63407     0.00000     0.00000     0.00000     0.00000
   -77.62407     0.00000     0.00000     0.00000     0.00000
   -77.61307     0.00000     0.00000     0.00000     0.00000
   -77.60207     0.00000     0.00000     0.00000     0.00000
   -77.59207     0.00000     0.00000     0.00000     0.00000
   -77.58107     0.00000     0.00000     0.00000     0.00000
   -77.57007     0.00000     0.00000     0.00000     0.00000
   -77.56007     0.00000     0.00000     0.00000     0.00000
   -77.54907     0.00000     0.00000     0.00000     0.00000
   -77.53807     0.00000     0.00000     0.00000     0.00000
   -77.52807     0.00000     0.00000     0.00000     0.00000
   -77.51707     0.00000     0.00000     0.00000     0.00000
   -77.50607     0.00000     0.00000     0.00000     0.00000
   -77.49607     0.00000     0.00000     0.00000     0.00000
   -77.48507     0.00000     0.00000     0.00000     0.00000
   -77.47407     0.00000     0.00000     0.00000     0.00000
   -77.46407     0.00000     0.00000     0.00000     0.00000
   -77.45307     0.00000     0.00000     0.00000     0.00000
   -77.44207     0.00000     0.00000     0.00000     0.00000
   -77.43207     0.00000     0.00000     0.00000     0.00000
   -77.42107     0.00000     0.00000     0.00000     0.00000
   -77.41007     0.00000     0.00000     0.00000     0.00000
   -77.40007     0.00000     0.00000     0.00000     0.00000
   -77.38907     0.00000     0.00000     0.00000     0.00000
   -77.37807     0.00000     0.00000     0.00000     0.00000
   -77.36807     0.00000     0.00000     0.00000     0.00000
   -77.35707     0.00000     0.00000     0.00000     0.00000
