     #Energy       W_all      Mo_all      Rh_all
   -78.19629     0.00000     0.00000     0.00000
   -78.18529     0.00000     0.00000     0.00000
   -78.17429     0.00000     0.00000     0.00000
   -78.16329     0.00000     0.00000     0.00000
   -78.15229     0.00000     0.00000     0.00000
   -78.14129     0.00000     0.00000     0.00000
   -78.13029     0.00000     0.00000     0.00000
   -78.11929     0.00000     0.00000     0.00000
   -78.10829     0.00000     0.00000     0.00000
   -78.09729     0.00000     0.00000     0.00000
   -78.08629     0.00000     0.00000     0.00000
   -78.07529     0.00000     0.00000     0.00000
   -78.06429     0.00000     0.00000     0.00000
   -78.05329     0.00000     0.00000     0.00000
   -78.04229     0.00000     0.00000     0.00000
   -78.03129     0.00000     0.00000     0.00000
   -78.02029     0.00000     0.00000     0.00000
   -78.00929     0.00000     0.00000     0.00000
   -77.99829     0.00000     0.00000     0.00000
   -77.98729     0.00000     0.00000     0.00000
   -77.97629     0.00000     0.00000     0.00000
   -77.96529     0.00000     0.00000     0.00000
   -77.95429     0.00000     0.00000     0.00000
   -77.94229     0.00000     0.00000     0.00000
   -77.93129     0.00000     0.00000     0.00000
   -77.92029     0.00000     0.00000     0.00000
   -77.90929     0.00000     0.00000     0.00000
   -77.89829     0.00000     0.00000     0.00000
   -77.88729     0.00000     0.00000     0.00000
   -77.87629     0.00000     0.00000     0.00000
   -77.86529     0.00000     0.00000     0.00000
   -77.85429     0.00000     0.00000     0.00000
   -77.84329     0.00000     0.00000     0.00000
   -77.83229     0.00000     0.00000     0.00000
   -77.82129     0.00000     0.00000     0.00000
   -77.81029     0.00000     0.00000     0.00000
   -77.79929     0.00000     0.00000     0.00000
   -77.78829     0.00000     0.00000     0.00000
   -77.77729     0.00000     0.00000     0.00000
   -77.76629     0.00000     0.00000     0.00000
   -77.75529     0.00000     0.00000     0.00000
   -77.74429     0.00000     0.00000     0.00000
   -77.73329     0.00000     0.00000     0.00000
   -77.72229     0.00000     0.00000     0.00000
   -77.71129     0.00000     0.00000     0.00000
   -77.70029     0.00000     0.00000     0.00000
   -77.68929     0.00000     0.00000     0.00000
   -77.67729     0.00000     0.00000     0.00000
   -77.66629     0.00000     0.00000     0.00000
   -77.65529     0.00000     0.00000     0.00000
   -77.64429     0.00000     0.00000     0.00000
   -77.63329     0.00000     0.00000     0.00000
   -77.62229     0.00000     0.00000     0.00000
   -77.61129     0.00000     0.00000     0.00000
   -77.60029     0.00000     0.00000     0.00000
   -77.58929     0.00000     0.00000     0.00000
   -77.57829     0.00000     0.00000     0.00000
   -77.56729     0.00000     0.00000     0.00000
   -77.55629     0.00000     0.00000     0.00000
   -77.54529     0.00000     0.00000     0.00000
   -77.53429     0.00000     0.00000     0.00000
   -77.52329     0.00000     0.00000     0.00000
   -77.51229     0.00000     0.00000     0.00000
   -77.50129     0.00000     0.00000     0.00000
   -77.49029     0.00000     0.00000     0.00000
   -77.47929     0.00000     0.00000     0.00000
