     #Energy       W_all      Mo_all      Re_all
   -83.18908     0.00000     0.00000     0.00000
   -83.17708     0.00000     0.00000     0.00000
   -83.16508     0.00000     0.00000     0.00000
   -83.15408     0.00000     0.00000     0.00000
   -83.14208     0.00000     0.00000     0.00000
   -83.13008     0.00000     0.00000     0.00000
   -83.11808     0.00000     0.00000     0.00000
   -83.10608     0.00000     0.00000     0.00000
   -83.09408     0.00000     0.00000     0.00000
   -83.08208     0.00000     0.00000     0.00000
   -83.07108     0.00000     0.00000     0.00000
   -83.05908     0.00000     0.00000     0.00000
   -83.04708     0.00000     0.00000     0.00000
   -83.03508     0.00000     0.00000     0.00000
   -83.02308     0.00000     0.00000     0.00000
   -83.01108     0.00000     0.00000     0.00000
   -83.00008     0.00000     0.00000     0.00000
   -82.98808     0.00000     0.00000     0.00000
   -82.97608     0.00000     0.00000     0.00000
   -82.96408     0.00000     0.00000     0.00000
   -82.95208     0.00000     0.00000     0.00000
   -82.94008     0.00000     0.00000     0.00000
   -82.92908     0.00000     0.00000     0.00000
   -82.91708     0.00000     0.00000     0.00000
   -82.90508     0.00000     0.00000     0.00000
   -82.89308     0.00000     0.00000     0.00000
   -82.88108     0.00000     0.00000     0.00000
   -82.86908     0.00000     0.00000     0.00000
   -82.85708     0.00000     0.00000     0.00000
   -82.84608     0.00000     0.00000     0.00000
   -82.83408     0.00000     0.00000     0.00000
   -82.82208     0.00000     0.00000     0.00000
   -82.81008     0.00000     0.00000     0.00000
   -82.79808     0.00000     0.00000     0.00000
   -82.78608     0.00000     0.00000     0.00000
   -82.77508     0.00000     0.00000     0.00000
   -82.76308     0.00000     0.00000     0.00000
   -82.75108     0.00000     0.00000     0.00000
   -82.73908     0.00000     0.00000     0.00000
   -82.72708     0.00000     0.00000     0.00000
   -82.71508     0.00000     0.00000     0.00000
   -82.70308     0.00000     0.00000     0.00000
   -82.69208     0.00000     0.00000     0.00000
   -82.68008     0.00000     0.00000     0.00000
   -82.66808     0.00000     0.00000     0.00000
   -82.65608     0.00000     0.00000     0.00000
   -82.64408     0.00000     0.00000     0.00000
   -82.63208     0.00000     0.00000     0.00000
   -82.62108     0.00000     0.00000     0.00000
   -82.60908     0.00000     0.00000     0.00000
   -82.59708     0.00000     0.00000     0.00000
   -82.58508     0.00000     0.00000     0.00000
   -82.57308     0.00000     0.00000     0.00000
   -82.56108     0.00000     0.00000     0.00000
   -82.55008     0.00000     0.00000     0.00000
   -82.53808     0.00000     0.00000     0.00000
   -82.52608     0.00000     0.00000     0.00000
   -82.51408     0.00000     0.00000     0.00000
   -82.50208     0.00000     0.00000     0.00000
   -82.49008     0.00000     0.00000     0.00000
   -82.47808     0.00000     0.00000     0.00000
   -82.46708     0.00000     0.00000     0.00000
   -82.45508     0.00000     0.00000     0.00000
   -82.44308     0.00000     0.00000     0.00000
   -82.43108     0.00000     0.00000     0.00000
   -82.41908     0.00000     0.00000     0.00000
   -82.40708     0.00000     0.00000     0.00000
   -82.39608     0.00000     0.00000     0.00000
   -82.38408     0.00000     0.00000     0.00000
   -82.37208     0.00000     0.00000     0.00000
   -82.36008     0.00000     0.00000     0.00000
   -82.34808     0.00000     0.00000     0.00000
   -82.33608     0.00000     0.00000     0.00000
   -82.32508     0.00000     0.00000     0.00000
   -82.31308     0.00000     0.00000     0.00000
   -82.30108     0.00000     0.00000     0.00000
   -82.28908     0.00000     0.00000     0.00000
   -82.27708     0.00000     0.00000     0.00000
