     #Energy       W_all      Mo_all      Ti_all      Rh_all
   -78.08282     0.00000     0.00000     0.00000     0.00000
   -78.07182     0.00000     0.00000     0.00000     0.00000
   -78.06082     0.00000     0.00000     0.00000     0.00000
   -78.04982     0.00000     0.00000     0.00000     0.00000
   -78.03882     0.00000     0.00000     0.00000     0.00000
   -78.02782     0.00000     0.00000     0.00000     0.00000
   -78.01682     0.00000     0.00000     0.00000     0.00000
   -78.00582     0.00000     0.00000     0.00000     0.00000
   -77.99482     0.00000     0.00000     0.00000     0.00000
   -77.98382     0.00000     0.00000     0.00000     0.00000
   -77.97282     0.00000     0.00000     0.00000     0.00000
   -77.96182     0.00000     0.00000     0.00000     0.00000
   -77.95082     0.00000     0.00000     0.00000     0.00000
   -77.93982     0.00000     0.00000     0.00000     0.00000
   -77.92882     0.00000     0.00000     0.00000     0.00000
   -77.91782     0.00000     0.00000     0.00000     0.00000
   -77.90682     0.00000     0.00000     0.00000     0.00000
   -77.89582     0.00000     0.00000     0.00000     0.00000
   -77.88482     0.00000     0.00000     0.00000     0.00000
   -77.87382     0.00000     0.00000     0.00000     0.00000
   -77.86282     0.00000     0.00000     0.00000     0.00000
   -77.85182     0.00000     0.00000     0.00000     0.00000
   -77.84082     0.00000     0.00000     0.00000     0.00000
   -77.82982     0.00000     0.00000     0.00000     0.00000
   -77.81782     0.00000     0.00000     0.00000     0.00000
   -77.80682     0.00000     0.00000     0.00000     0.00000
   -77.79582     0.00000     0.00000     0.00000     0.00000
   -77.78482     0.00000     0.00000     0.00000     0.00000
   -77.77382     0.00000     0.00000     0.00000     0.00000
   -77.76282     0.00000     0.00000     0.00000     0.00000
   -77.75182     0.00000     0.00000     0.00000     0.00000
   -77.74082     0.00000     0.00000     0.00000     0.00000
   -77.72982     0.00000     0.00000     0.00000     0.00000
   -77.71882     0.00000     0.00000     0.00000     0.00000
   -77.70782     0.00000     0.00000     0.00000     0.00000
   -77.69682     0.00000     0.00000     0.00000     0.00000
   -77.68582     0.00000     0.00000     0.00000     0.00000
   -77.67482     0.00000     0.00000     0.00000     0.00000
   -77.66382     0.00000     0.00000     0.00000     0.00000
   -77.65282     0.00000     0.00000     0.00000     0.00000
   -77.64182     0.00000     0.00000     0.00000     0.00000
   -77.63082     0.00000     0.00000     0.00000     0.00000
   -77.61982     0.00000     0.00000     0.00000     0.00000
   -77.60882     0.00000     0.00000     0.00000     0.00000
   -77.59782     0.00000     0.00000     0.00000     0.00000
   -77.58682     0.00000     0.00000     0.00000     0.00000
   -77.57582     0.00000     0.00000     0.00000     0.00000
   -77.56482     0.00000     0.00000     0.00000     0.00000
   -77.55382     0.00000     0.00000     0.00000     0.00000
   -77.54282     0.00000     0.00000     0.00000     0.00000
   -77.53182     0.00000     0.00000     0.00000     0.00000
   -77.52082     0.00000     0.00000     0.00000     0.00000
   -77.50982     0.00000     0.00000     0.00000     0.00000
   -77.49882     0.00000     0.00000     0.00000     0.00000
   -77.48782     0.00000     0.00000     0.00000     0.00000
   -77.47682     0.00000     0.00000     0.00000     0.00000
   -77.46582     0.00000     0.00000     0.00000     0.00000
   -77.45482     0.00000     0.00000     0.00000     0.00000
   -77.44382     0.00000     0.00000     0.00000     0.00000
   -77.43282     0.00000     0.00000     0.00000     0.00000
