     #Energy       W_all      Mo_all      Ir_all
   -76.60331     0.00000     0.00000     0.00000
   -76.59231     0.00000     0.00000     0.00000
   -76.58231     0.00000     0.00000     0.00000
   -76.57131     0.00000     0.00000     0.00000
   -76.56031     0.00000     0.00000     0.00000
   -76.55031     0.00000     0.00000     0.00000
   -76.53931     0.00000     0.00000     0.00000
   -76.52931     0.00000     0.00000     0.00000
   -76.51831     0.00000     0.00000     0.00000
   -76.50731     0.00000     0.00000     0.00000
   -76.49731     0.00000     0.00000     0.00000
   -76.48631     0.00000     0.00000     0.00000
   -76.47631     0.00000     0.00000     0.00000
   -76.46531     0.00000     0.00000     0.00000
   -76.45431     0.00000     0.00000     0.00000
   -76.44431     0.00000     0.00000     0.00000
   -76.43331     0.00000     0.00000     0.00000
   -76.42231     0.00000     0.00000     0.00000
   -76.41231     0.00000     0.00000     0.00000
   -76.40131     0.00000     0.00000     0.00000
   -76.39131     0.00000     0.00000     0.00000
   -76.38031     0.00000     0.00000     0.00000
   -76.36931     0.00000     0.00000     0.00000
   -76.35931     0.00000     0.00000     0.00000
   -76.34831     0.00000     0.00000     0.00000
   -76.33731     0.00000     0.00000     0.00000
   -76.32731     0.00000     0.00000     0.00000
   -76.31631     0.00000     0.00000     0.00000
   -76.30631     0.00000     0.00000     0.00000
   -76.29531     0.00000     0.00000     0.00000
   -76.28431     0.00000     0.00000     0.00000
   -76.27431     0.00000     0.00000     0.00000
   -76.26331     0.00000     0.00000     0.00000
   -76.25231     0.00000     0.00000     0.00000
   -76.24231     0.00000     0.00000     0.00000
   -76.23131     0.00000     0.00000     0.00000
   -76.22131     0.00000     0.00000     0.00000
   -76.21031     0.00000     0.00000     0.00000
   -76.19931     0.00000     0.00000     0.00000
   -76.18931     0.00000     0.00000     0.00000
   -76.17831     0.00000     0.00000     0.00000
   -76.16831     0.00000     0.00000     0.00000
   -76.15731     0.00000     0.00000     0.00000
   -76.14631     0.00000     0.00000     0.00000
   -76.13631     0.00000     0.00000     0.00000
   -76.12531     0.00000     0.00000     0.00000
   -76.11431     0.00000     0.00000     0.00000
   -76.10431     0.00000     0.00000     0.00000
   -76.09331     0.00000     0.00000     0.00000
   -76.08331     0.00000     0.00000     0.00000
   -76.07231     0.00000     0.00000     0.00000
   -76.06131     0.00000     0.00000     0.00000
   -76.05131     0.00000     0.00000     0.00000
   -76.04031     0.00000     0.00000     0.00000
