     #Energy       W_all      Mo_all      Re_all      Hf_all
   -83.28600     0.00000     0.00000     0.00000     0.00000
   -83.27500     0.00000     0.00000     0.00000     0.00000
   -83.26300     0.00000     0.00000     0.00000     0.00000
   -83.25100     0.00000     0.00000     0.00000     0.00000
   -83.24000     0.00000     0.00000     0.00000     0.00000
   -83.22800     0.00000     0.00000     0.00000     0.00000
   -83.21600     0.00000     0.00000     0.00000     0.00000
   -83.20500     0.00000     0.00000     0.00000     0.00000
   -83.19300     0.00000     0.00000     0.00000     0.00000
   -83.18100     0.00000     0.00000     0.00000     0.00000
   -83.17000     0.00000     0.00000     0.00000     0.00000
   -83.15800     0.00000     0.00000     0.00000     0.00000
   -83.14600     0.00000     0.00000     0.00000     0.00000
   -83.13500     0.00000     0.00000     0.00000     0.00000
   -83.12300     0.00000     0.00000     0.00000     0.00000
   -83.11100     0.00000     0.00000     0.00000     0.00000
   -83.10000     0.00000     0.00000     0.00000     0.00000
   -83.08800     0.00000     0.00000     0.00000     0.00000
   -83.07600     0.00000     0.00000     0.00000     0.00000
   -83.06500     0.00000     0.00000     0.00000     0.00000
   -83.05300     0.00000     0.00000     0.00000     0.00000
   -83.04200     0.00000     0.00000     0.00000     0.00000
   -83.03000     0.00000     0.00000     0.00000     0.00000
   -83.01800     0.00000     0.00000     0.00000     0.00000
   -83.00700     0.00000     0.00000     0.00000     0.00000
   -82.99500     0.00000     0.00000     0.00000     0.00000
   -82.98300     0.00000     0.00000     0.00000     0.00000
   -82.97200     0.00000     0.00000     0.00000     0.00000
   -82.96000     0.00000     0.00000     0.00000     0.00000
   -82.94800     0.00000     0.00000     0.00000     0.00000
   -82.93700     0.00000     0.00000     0.00000     0.00000
   -82.92500     0.00000     0.00000     0.00000     0.00000
   -82.91300     0.00000     0.00000     0.00000     0.00000
   -82.90200     0.00000     0.00000     0.00000     0.00000
   -82.89000     0.00000     0.00000     0.00000     0.00000
   -82.87800     0.00000     0.00000     0.00000     0.00000
   -82.86700     0.00000     0.00000     0.00000     0.00000
   -82.85500     0.00000     0.00000     0.00000     0.00000
   -82.84300     0.00000     0.00000     0.00000     0.00000
   -82.83200     0.00000     0.00000     0.00000     0.00000
   -82.82000     0.00000     0.00000     0.00000     0.00000
   -82.80800     0.00000     0.00000     0.00000     0.00000
   -82.79700     0.00000     0.00000     0.00000     0.00000
   -82.78500     0.00000     0.00000     0.00000     0.00000
   -82.77300     0.00000     0.00000     0.00000     0.00000
   -82.76200     0.00000     0.00000     0.00000     0.00000
   -82.75000     0.00000     0.00000     0.00000     0.00000
   -82.73800     0.00000     0.00000     0.00000     0.00000
   -82.72700     0.00000     0.00000     0.00000     0.00000
   -82.71500     0.00000     0.00000     0.00000     0.00000
   -82.70300     0.00000     0.00000     0.00000     0.00000
   -82.69200     0.00000     0.00000     0.00000     0.00000
   -82.68000     0.00000     0.00000     0.00000     0.00000
   -82.66900     0.00000     0.00000     0.00000     0.00000
   -82.65700     0.00000     0.00000     0.00000     0.00000
   -82.64500     0.00000     0.00000     0.00000     0.00000
   -82.63400     0.00000     0.00000     0.00000     0.00000
   -82.62200     0.00000     0.00000     0.00000     0.00000
   -82.61000     0.00000     0.00000     0.00000     0.00000
   -82.59900     0.00000     0.00000     0.00000     0.00000
   -82.58700     0.00000     0.00000     0.00000     0.00000
   -82.57500     0.00000     0.00000     0.00000     0.00000
   -82.56400     0.00000     0.00000     0.00000     0.00000
   -82.55200     0.00000     0.00000     0.00000     0.00000
   -82.54000     0.00000     0.00000     0.00000     0.00000
   -82.52900     0.00000     0.00000     0.00000     0.00000
   -82.51700     0.00000     0.00000     0.00000     0.00000
   -82.50500     0.00000     0.00000     0.00000     0.00000
   -82.49400     0.00000     0.00000     0.00000     0.00000
   -82.48200     0.00000     0.00000     0.00000     0.00000
   -82.47000     0.00000     0.00000     0.00000     0.00000
   -82.45900     0.00000     0.00000     0.00000     0.00000
   -82.44700     0.00000     0.00000     0.00000     0.00000
   -82.43500     0.00000     0.00000     0.00000     0.00000
   -82.42400     0.00000     0.00000     0.00000     0.00000
   -82.41200     0.00000     0.00000     0.00000     0.00000
   -82.40000     0.00000     0.00000     0.00000     0.00000
   -82.38900     0.00000     0.00000     0.00000     0.00000
   -82.37700     0.00000     0.00000     0.00000     0.00000
   -82.36500     0.00000     0.00000     0.00000     0.00000
   -82.35400     0.00000     0.00000     0.00000     0.00000
   -82.34200     0.00000     0.00000     0.00000     0.00000
   -82.33100     0.00000     0.00000     0.00000     0.00000
   -82.31900     0.00000     0.00000     0.00000     0.00000
   -82.30700     0.00000     0.00000     0.00000     0.00000
   -82.29600     0.00000     0.00000     0.00000     0.00000
   -82.28400     0.00000     0.00000     0.00000     0.00000
   -82.27200     0.00000     0.00000     0.00000     0.00000
   -82.26100     0.00000     0.00000     0.00000     0.00000
   -82.24900     0.00000     0.00000     0.00000     0.00000
   -82.23700     0.00000     0.00000     0.00000     0.00000
   -82.22600     0.00000     0.00000     0.00000     0.00000
   -82.21400     0.00000     0.00000     0.00000     0.00000
   -82.20200     0.00000     0.00000     0.00000     0.00000
   -82.19100     0.00000     0.00000     0.00000     0.00000
   -82.17900     0.00000     0.00000     0.00000     0.00000
   -82.16700     0.00000     0.00000     0.00000     0.00000
   -82.15600     0.00000     0.00000     0.00000     0.00000
   -82.14400     0.00000     0.00000     0.00000     0.00000
   -82.13200     0.00000     0.00000     0.00000     0.00000
   -82.12100     0.00000     0.00000     0.00000     0.00000
   -82.10900     0.00000     0.00000     0.00000     0.00000
   -82.09700     0.00000     0.00000     0.00000     0.00000
   -82.08600     0.00000     0.00000     0.00000     0.00000
   -82.07400     0.00000     0.00000     0.00000     0.00000
   -82.06200     0.00000     0.00000     0.00000     0.00000
   -82.05100     0.00000     0.00000     0.00000     0.00000
   -82.03900     0.00000     0.00000     0.00000     0.00000
   -82.02700     0.00000     0.00000     0.00000     0.00000
   -82.01600     0.00000     0.00000     0.00000     0.00000
   -82.00400     0.00000     0.00000     0.00000     0.00000
   -81.99200     0.00000     0.00000     0.00000     0.00000
   -81.98100     0.00000     0.00000     0.00000     0.00000
   -81.96900     0.00000     0.00000     0.00000     0.00000
   -81.95800     0.00000     0.00000     0.00000     0.00000
   -81.94600     0.00000     0.00000     0.00000     0.00000
   -81.93400     0.00000     0.00000     0.00000     0.00000
   -81.92300     0.00000     0.00000     0.00000     0.00000
   -81.91100     0.00000     0.00000     0.00000     0.00000
   -81.89900     0.00000     0.00000     0.00000     0.00000
   -81.88800     0.00000     0.00000     0.00000     0.00000
   -81.87600     0.00000     0.00000     0.00000     0.00000
   -81.86400     0.00000     0.00000     0.00000     0.00000
   -81.85300     0.00000     0.00000     0.00000     0.00000
   -81.84100     0.00000     0.00000     0.00000     0.00000
   -81.82900     0.00000     0.00000     0.00000     0.00000
   -81.81800     0.00000     0.00000     0.00000     0.00000
   -81.80600     0.00000     0.00000     0.00000     0.00000
   -81.79400     0.00000     0.00000     0.00000     0.00000
   -81.78300     0.00000     0.00000     0.00000     0.00000
   -81.77100     0.00000     0.00000     0.00000     0.00000
   -81.75900     0.00000     0.00000     0.00000     0.00000
   -81.74800     0.00000     0.00000     0.00000     0.00000
   -81.73600     0.00000     0.00000     0.00000     0.00000
   -81.72400     0.00000     0.00000     0.00000     0.00000
   -81.71300     0.00000     0.00000     0.00000     0.00000
   -81.70100     0.00000     0.00000     0.00000     0.00000
   -81.68900     0.00000     0.00000     0.00000     0.00000
   -81.67800     0.00000     0.00000     0.00000     0.00000
   -81.66600     0.00000     0.00000     0.00000     0.00000
   -81.65400     0.00000     0.00000     0.00000     0.00000
   -81.64300     0.00000     0.00000     0.00000     0.00000
   -81.63100     0.00000     0.00000     0.00000     0.00000
   -81.62000     0.00000     0.00000     0.00000     0.00000
   -81.60800     0.00000     0.00000     0.00000     0.00000
   -81.59600     0.00000     0.00000     0.00000     0.00000
   -81.58500     0.00000     0.00000     0.00000     0.00000
   -81.57300     0.00000     0.00000     0.00000     0.00000
   -81.56100     0.00000     0.00000     0.00000     0.00000
   -81.55000     0.00000     0.00000     0.00000     0.00000
   -81.53800     0.00000     0.00000     0.00000     0.00000
   -81.52600     0.00000     0.00000     0.00000     0.00000
   -81.51500     0.00000     0.00000     0.00000     0.00000
   -81.50300     0.00000     0.00000     0.00000     0.00000
   -81.49100     0.00000     0.00000     0.00000     0.00000
   -81.48000     0.00000     0.00000     0.00000     0.00000
   -81.46800     0.00000     0.00000     0.00000     0.00000
   -81.45600     0.00000     0.00000     0.00000     0.00000
   -81.44500     0.00000     0.00000     0.00000     0.00000
   -81.43300     0.00000     0.00000     0.00000     0.00000
   -81.42100     0.00000     0.00000     0.00000     0.00000
   -81.41000     0.00000     0.00000     0.00000     0.00000
   -81.39800     0.00000     0.00000     0.00000     0.00000
   -81.38600     0.00000     0.00000     0.00000     0.00000
   -81.37500     0.00000     0.00000     0.00000     0.00000
   -81.36300     0.00000     0.00000     0.00000     0.00000
   -81.35100     0.00000     0.00000     0.00000     0.00000
   -81.34000     0.00000     0.00000     0.00000     0.00000
   -81.32800     0.00000     0.00000     0.00000     0.00000
   -81.31600     0.00000     0.00000     0.00000     0.00000
   -81.30500     0.00000     0.00000     0.00000     0.00000
   -81.29300     0.00000     0.00000     0.00000     0.00000
   -81.28200     0.00000     0.00000     0.00000     0.00000
   -81.27000     0.00000     0.00000     0.00000     0.00000
   -81.25800     0.00000     0.00000     0.00000     0.00000
   -81.24700     0.00000     0.00000     0.00000     0.00000
   -81.23500     0.00000     0.00000     0.00000     0.00000
   -81.22300     0.00000     0.00000     0.00000     0.00000
   -81.21200     0.00000     0.00000     0.00000     0.00000
   -81.20000     0.00000     0.00000     0.00000     0.00000
   -81.18800     0.00000     0.00000     0.00000     0.00000
   -81.17700     0.00000     0.00000     0.00000     0.00000
   -81.16500     0.00000     0.00000     0.00000     0.00000
   -81.15300     0.00000     0.00000     0.00000     0.00000
   -81.14200     0.00000     0.00000     0.00000     0.00000
   -81.13000     0.00000     0.00000     0.00000     0.00000
   -81.11800     0.00000     0.00000     0.00000     0.00000
   -81.10700     0.00000     0.00000     0.00000     0.00000
   -81.09500     0.00000     0.00000     0.00000     0.00000
   -81.08300     0.00000     0.00000     0.00000     0.00000
   -81.07200     0.00000     0.00000     0.00000     0.00000
   -81.06000     0.00000     0.00000     0.00000     0.00000
   -81.04800     0.00000     0.00000     0.00000     0.00000
   -81.03700     0.00000     0.00000     0.00000     0.00000
   -81.02500     0.00000     0.00000     0.00000     0.00000
   -81.01300     0.00000     0.00000     0.00000     0.00000
   -81.00200     0.00000     0.00000     0.00000     0.00000
   -80.99000     0.00000     0.00000     0.00000     0.00000
   -80.97800     0.00000     0.00000     0.00000     0.00000
   -80.96700     0.00000     0.00000     0.00000     0.00000
   -80.95500     0.00000     0.00000     0.00000     0.00000
   -80.94300     0.00000     0.00000     0.00000     0.00000
   -80.93200     0.00000     0.00000     0.00000     0.00000
   -80.92000     0.00000     0.00000     0.00000     0.00000
   -80.90900     0.00000     0.00000     0.00000     0.00000
   -80.89700     0.00000     0.00000     0.00000     0.00000
   -80.88500     0.00000     0.00000     0.00000     0.00000
   -80.87400     0.00000     0.00000     0.00000     0.00000
   -80.86200     0.00000     0.00000     0.00000     0.00000
   -80.85000     0.00000     0.00000     0.00000     0.00000
   -80.83900     0.00000     0.00000     0.00000     0.00000
   -80.82700     0.00000     0.00000     0.00000     0.00000
   -80.81500     0.00000     0.00000     0.00000     0.00000
   -80.80400     0.00000     0.00000     0.00000     0.00000
   -80.79200     0.00000     0.00000     0.00000     0.00000
   -80.78000     0.00000     0.00000     0.00000     0.00000
   -80.76900     0.00000     0.00000     0.00000     0.00000
   -80.75700     0.00000     0.00000     0.00000     0.00000
   -80.74500     0.00000     0.00000     0.00000     0.00000
   -80.73400     0.00000     0.00000     0.00000     0.00000
   -80.72200     0.00000     0.00000     0.00000     0.00000
   -80.71000     0.00000     0.00000     0.00000     0.00000
   -80.69900     0.00000     0.00000     0.00000     0.00000
   -80.68700     0.00000     0.00000     0.00000     0.00000
   -80.67500     0.00000     0.00000     0.00000     0.00000
   -80.66400     0.00000     0.00000     0.00000     0.00000
   -80.65200     0.00000     0.00000     0.00000     0.00000
