     #Energy       W_all      Mo_all      Ti_all
   -77.63020     0.00000     0.00000     0.00000
   -77.61920     0.00000     0.00000     0.00000
   -77.60920     0.00000     0.00000     0.00000
   -77.59820     0.00000     0.00000     0.00000
   -77.58820     0.00000     0.00000     0.00000
   -77.57720     0.00000     0.00000     0.00000
   -77.56720     0.00000     0.00000     0.00000
   -77.55620     0.00000     0.00000     0.00000
   -77.54520     0.00000     0.00000     0.00000
   -77.53520     0.00000     0.00000     0.00000
   -77.52420     0.00000     0.00000     0.00000
   -77.51420     0.00000     0.00000     0.00000
   -77.50320     0.00000     0.00000     0.00000
   -77.49220     0.00000     0.00000     0.00000
   -77.48220     0.00000     0.00000     0.00000
   -77.47120     0.00000     0.00000     0.00000
   -77.46120     0.00000     0.00000     0.00000
   -77.45020     0.00000     0.00000     0.00000
   -77.44020     0.00000     0.00000     0.00000
   -77.42920     0.00000     0.00000     0.00000
   -77.41820     0.00000     0.00000     0.00000
   -77.40820     0.00000     0.00000     0.00000
   -77.39720     0.00000     0.00000     0.00000
   -77.38720     0.00000     0.00000     0.00000
   -77.37620     0.00000     0.00000     0.00000
   -77.36520     0.00000     0.00000     0.00000
   -77.35520     0.00000     0.00000     0.00000
   -77.34420     0.00000     0.00000     0.00000
   -77.33420     0.00000     0.00000     0.00000
   -77.32320     0.00000     0.00000     0.00000
   -77.31320     0.00000     0.00000     0.00000
   -77.30220     0.00000     0.00000     0.00000
   -77.29120     0.00000     0.00000     0.00000
   -77.28120     0.00000     0.00000     0.00000
   -77.27020     0.00000     0.00000     0.00000
   -77.26020     0.00000     0.00000     0.00000
   -77.24920     0.00000     0.00000     0.00000
   -77.23820     0.00000     0.00000     0.00000
   -77.22820     0.00000     0.00000     0.00000
   -77.21720     0.00000     0.00000     0.00000
   -77.20720     0.00000     0.00000     0.00000
   -77.19620     0.00000     0.00000     0.00000
   -77.18620     0.00000     0.00000     0.00000
   -77.17520     0.00000     0.00000     0.00000
   -77.16420     0.00000     0.00000     0.00000
   -77.15420     0.00000     0.00000     0.00000
   -77.14320     0.00000     0.00000     0.00000
   -77.13320     0.00000     0.00000     0.00000
   -77.12220     0.00000     0.00000     0.00000
   -77.11120     0.00000     0.00000     0.00000
   -77.10120     0.00000     0.00000     0.00000
   -77.09020     0.00000     0.00000     0.00000
   -77.08020     0.00000     0.00000     0.00000
   -77.06920     0.00000     0.00000     0.00000
   -77.05920     0.00000     0.00000     0.00000
   -77.04820     0.00000     0.00000     0.00000
   -77.03720     0.00000     0.00000     0.00000
   -77.02720     0.00000     0.00000     0.00000
   -77.01620     0.00000     0.00000     0.00000
   -77.00620     0.00000     0.00000     0.00000
   -76.99520     0.00000     0.00000     0.00000
   -76.98420     0.00000     0.00000     0.00000
   -76.97420     0.00000     0.00000     0.00000
   -76.96320     0.00000     0.00000     0.00000
   -76.95320     0.00000     0.00000     0.00000
   -76.94220     0.00000     0.00000     0.00000
   -76.93220     0.00000     0.00000     0.00000
   -76.92120     0.00000     0.00000     0.00000
   -76.91020     0.00000     0.00000     0.00000
   -76.90020     0.00000     0.00000     0.00000
   -76.88920     0.00000     0.00000     0.00000
   -76.87920     0.00000     0.00000     0.00000
   -76.86820     0.00000     0.00000     0.00000
   -76.85720     0.00000     0.00000     0.00000
