     #Energy       W_all      Mo_all      Re_all      Ti_all
   -84.96554     0.00000     0.00000     0.00000     0.00000
   -84.95354     0.00000     0.00000     0.00000     0.00000
   -84.94154     0.00000     0.00000     0.00000     0.00000
   -84.92954     0.00000     0.00000     0.00000     0.00000
   -84.91854     0.00000     0.00000     0.00000     0.00000
   -84.90654     0.00000     0.00000     0.00000     0.00000
   -84.89454     0.00000     0.00000     0.00000     0.00000
   -84.88254     0.00000     0.00000     0.00000     0.00000
   -84.87054     0.00000     0.00000     0.00000     0.00000
   -84.85854     0.00000     0.00000     0.00000     0.00000
   -84.84654     0.00000     0.00000     0.00000     0.00000
   -84.83554     0.00000     0.00000     0.00000     0.00000
   -84.82354     0.00000     0.00000     0.00000     0.00000
   -84.81154     0.00000     0.00000     0.00000     0.00000
   -84.79954     0.00000     0.00000     0.00000     0.00000
   -84.78754     0.00000     0.00000     0.00000     0.00000
   -84.77554     0.00000     0.00000     0.00000     0.00000
   -84.76354     0.00000     0.00000     0.00000     0.00000
   -84.75254     0.00000     0.00000     0.00000     0.00000
   -84.74054     0.00000     0.00000     0.00000     0.00000
   -84.72854     0.00000     0.00000     0.00000     0.00000
   -84.71654     0.00000     0.00000     0.00000     0.00000
   -84.70454     0.00000     0.00000     0.00000     0.00000
   -84.69254     0.00000     0.00000     0.00000     0.00000
   -84.68154     0.00000     0.00000     0.00000     0.00000
   -84.66954     0.00000     0.00000     0.00000     0.00000
   -84.65754     0.00000     0.00000     0.00000     0.00000
   -84.64554     0.00000     0.00000     0.00000     0.00000
   -84.63354     0.00000     0.00000     0.00000     0.00000
   -84.62154     0.00000     0.00000     0.00000     0.00000
   -84.60954     0.00000     0.00000     0.00000     0.00000
   -84.59854     0.00000     0.00000     0.00000     0.00000
   -84.58654     0.00000     0.00000     0.00000     0.00000
   -84.57454     0.00000     0.00000     0.00000     0.00000
   -84.56254     0.00000     0.00000     0.00000     0.00000
   -84.55054     0.00000     0.00000     0.00000     0.00000
   -84.53854     0.00000     0.00000     0.00000     0.00000
   -84.52754     0.00000     0.00000     0.00000     0.00000
   -84.51554     0.00000     0.00000     0.00000     0.00000
   -84.50354     0.00000     0.00000     0.00000     0.00000
   -84.49154     0.00000     0.00000     0.00000     0.00000
   -84.47954     0.00000     0.00000     0.00000     0.00000
   -84.46754     0.00000     0.00000     0.00000     0.00000
   -84.45554     0.00000     0.00000     0.00000     0.00000
   -84.44454     0.00000     0.00000     0.00000     0.00000
   -84.43254     0.00000     0.00000     0.00000     0.00000
   -84.42054     0.00000     0.00000     0.00000     0.00000
   -84.40854     0.00000     0.00000     0.00000     0.00000
   -84.39654     0.00000     0.00000     0.00000     0.00000
   -84.38454     0.00000     0.00000     0.00000     0.00000
   -84.37254     0.00000     0.00000     0.00000     0.00000
   -84.36154     0.00000     0.00000     0.00000     0.00000
   -84.34954     0.00000     0.00000     0.00000     0.00000
   -84.33754     0.00000     0.00000     0.00000     0.00000
   -84.32554     0.00000     0.00000     0.00000     0.00000
   -84.31354     0.00000     0.00000     0.00000     0.00000
   -84.30154     0.00000     0.00000     0.00000     0.00000
   -84.29054     0.00000     0.00000     0.00000     0.00000
   -84.27854     0.00000     0.00000     0.00000     0.00000
   -84.26654     0.00000     0.00000     0.00000     0.00000
