      #Energy        TDOS
     -77.04442       0.00000
     -76.76742       0.00000
     -76.48942       0.00000
     -76.21142       0.00000
     -75.93342       0.00000
     -75.65542       0.00000
     -75.37842       0.00000
     -75.10042       0.00000
     -74.82242       0.00000
     -74.54442       0.00000
     -74.26642      -0.00000
     -73.98942      -0.00000
     -73.71142      -0.00000
     -73.43342      -0.11300
     -73.15542       7.49700
     -72.87742       4.12700
     -72.60042       2.88900
     -72.32242      -0.00119
     -72.04442       0.00000
     -71.76642       0.00000
     -71.48842       0.00000
     -71.21142       0.00000
     -70.93342       0.00000
     -70.65542       0.00000
     -70.37742       0.00000
     -70.09942       0.00000
     -69.82242       0.00000
     -69.54442       0.00000
     -69.26642       0.00000
     -68.98842       0.00000
     -68.71042       0.00000
     -68.43242       0.00000
     -68.15542       0.00000
     -67.87742       0.00000
     -67.59942       0.00000
     -67.32142       0.00000
     -67.04342       0.00000
     -66.76642       0.00000
     -66.48842       0.00000
     -66.21042       0.00000
     -65.93242       0.00000
     -65.65442       0.00000
     -65.37742       0.00000
     -65.09942       0.00000
     -64.82142       0.00000
     -64.54342       0.00000
     -64.26542       0.00000
     -63.98842       0.00000
     -63.71042       0.00000
     -63.43242       0.00000
     -63.15442       0.00000
     -62.87642       0.00000
     -62.59942       0.00000
     -62.32142       0.00000
     -62.04342       0.00000
     -61.76542       0.00000
     -61.48742       0.00000
     -61.21042       0.00000
     -60.93242      -0.00000
     -60.65442      -0.00000
     -60.37642      -0.00413
     -60.09842       4.36800
     -59.82142       2.83700
     -59.54342      -0.00113
     -59.26542       0.00000
     -58.98742       0.00000
     -58.70942       0.00000
     -58.43142       0.00000
     -58.15442       0.00000
     -57.87642      -0.00000
     -57.59842      -0.00000
     -57.32042      -0.00000
     -57.04242      -0.20500
     -56.76542      22.49000
     -56.48742      65.32000
     -56.20942      20.72000
     -55.93142      -0.33030
     -55.65342      -0.00000
     -55.37642       0.00000
     -55.09842       0.00000
     -54.82042       0.00000
     -54.54242       0.00000
     -54.26442       0.00000
     -53.98742       0.00000
     -53.70942       0.00000
     -53.43142       0.00000
     -53.15342       0.00000
     -52.87542       0.00000
     -52.59842       0.00000
     -52.32042       0.00000
     -52.04242       0.00000
     -51.76442       0.00000
     -51.48642       0.00000
     -51.20942       0.00000
     -50.93142       0.00000
     -50.65342       0.00000
     -50.37542       0.00000
     -50.09742       0.00000
     -49.81942       0.00000
     -49.54242      -0.00000
     -49.26442      -0.00000
     -48.98642      -0.00000
     -48.70842      -0.08391
     -48.43042      19.97000
     -48.15342      62.48000
     -47.87542       4.03800
     -47.59742      -0.00537
     -47.31942       0.00000
     -47.04142       0.00000
     -46.76442       0.00000
     -46.48642       0.00000
     -46.20842       0.00000
     -45.93042       0.00000
     -45.65242       0.00000
     -45.37542       0.00000
     -45.09742       0.00000
     -44.81942       0.00000
     -44.54142       0.00000
     -44.26342       0.00000
     -43.98642       0.00000
     -43.70842       0.00000
     -43.43042       0.00000
     -43.15242       0.00000
     -42.87442       0.00000
     -42.59742       0.00000
     -42.31942       0.00000
     -42.04142       0.00000
     -41.76342       0.00000
     -41.48542       0.00000
     -41.20842       0.00000
     -40.93042       0.00000
     -40.65242       0.00000
     -40.37442       0.00000
     -40.09642       0.00000
     -39.81842       0.00000
     -39.54142       0.00000
     -39.26342       0.00000
     -38.98542       0.00000
     -38.70742       0.00000
     -38.42942      -0.00000
     -38.15242      -0.00000
     -37.87442      -0.00028
     -37.59642       0.97990
     -37.31842      20.34000
     -37.04042      22.58000
     -36.76342      -0.70090
     -36.48542      -0.00000
     -36.20742       0.00000
     -35.92942       0.00000
     -35.65142       0.00000
     -35.37442      -0.00000
     -35.09642      -0.00000
     -34.81842      -0.00000
     -34.54042      -0.07187
     -34.26242      12.94000
     -33.98542       8.73700
     -33.70742      -0.01073
     -33.42942      -0.01023
     -33.15142      12.49000
     -32.87342     163.90000
     -32.59642     122.70000
     -32.31842      24.95000
     -32.04042      -0.12460
     -31.76242      -0.00000
     -31.48442      -0.00000
     -31.20642      -0.00000
     -30.92942      -0.00000
     -30.65142      -0.11940
     -30.37342      23.59000
     -30.09542      82.20000
     -29.81742      24.00000
     -29.54042      -0.07380
     -29.26242      -0.00000
     -28.98442       0.00000
     -28.70642       0.00000
     -28.42842       0.00000
     -28.15142       0.00000
     -27.87342      -0.00000
     -27.59542      -0.00000
     -27.31742      -0.00000
     -27.03942      -0.05118
     -26.76242      10.37000
     -26.48442      82.55000
     -26.20642     124.50000
     -25.92842      42.43000
     -25.65042      -0.66220
     -25.37342      -0.00000
     -25.09542       0.00000
     -24.81742       0.00000
     -24.53942       0.00000
     -24.26142       0.00000
     -23.98442       0.00000
     -23.70642       0.00000
     -23.42842       0.00000
     -23.15042       0.00000
     -22.87242       0.00000
     -22.59442       0.00000
     -22.31742       0.00000
     -22.03942       0.00000
     -21.76142       0.00000
     -21.48342       0.00000
     -21.20542       0.00000
     -20.92842       0.00000
     -20.65042       0.00000
     -20.37242       0.00000
     -20.09442       0.00000
     -19.81642       0.00000
     -19.53942       0.00000
     -19.26142       0.00000
     -18.98342       0.00000
     -18.70542       0.00000
     -18.42742       0.00000
     -18.15042       0.00000
     -17.87242       0.00000
     -17.59442       0.00000
     -17.31642       0.00000
     -17.03842       0.00000
     -16.76142       0.00000
     -16.48342       0.00000
     -16.20542       0.00000
     -15.92742       0.00000
     -15.64942       0.00000
     -15.37242       0.00000
     -15.09442       0.00000
     -14.81642       0.00000
     -14.53842       0.00000
     -14.26042       0.00000
     -13.98342       0.00000
     -13.70542       0.00000
     -13.42742       0.00000
     -13.14942       0.00000
     -12.87142       0.00000
     -12.59342       0.00000
     -12.31642       0.00000
     -12.03842       0.00000
     -11.76042       0.00000
     -11.48242       0.00000
     -11.20442       0.00000
     -10.92742       0.00000
     -10.64942       0.00000
     -10.37142       0.00000
     -10.09342       0.00000
      -9.81542       0.00000
      -9.53842       0.00000
      -9.26042       0.00000
      -8.98242       0.00000
      -8.70442       0.00000
      -8.42642       0.00000
      -8.14942       0.00000
      -7.87142       0.00000
      -7.59342       0.00000
      -7.31542       0.00000
      -7.03742      -0.00000
      -6.76042      -0.00000
      -6.48242      -0.00003
      -6.20442       0.05450
      -5.92642       1.33700
      -5.64842       2.42000
      -5.37142       2.73200
      -5.09342       3.49300
      -4.81542       4.36300
      -4.53742       4.69400
      -4.25942       4.92300
      -3.98142       7.23400
      -3.70442       8.05800
      -3.42642      10.77000
      -3.14842      16.01000
      -2.87042      23.99000
      -2.59242      29.11000
      -2.31542      35.92000
      -2.03742      37.11000
      -1.75942      38.79000
      -1.48142      36.47000
      -1.20342      37.93000
      -0.92642      52.19000
      -0.64842      57.58000
      -0.37042      55.42000
      -0.09242      53.38000
       0.18558      47.05000
       0.46258      50.44000
       0.74058      53.72000
       1.01858      51.74000
       1.29658      41.50000
       1.57458      40.56000
       1.85158      46.31000
       2.12958      43.31000
       2.40758      44.62000
       2.68558       7.09000
       2.96358      -0.01646
       3.24058      -0.00000
       3.51858       0.00000
       3.79658       0.00000
       4.07458       0.00000
       4.35258       0.00000
       4.62958       0.00000
       4.90758       0.00000
       5.18558       0.00000
       5.46358       0.00000
       5.74158       0.00000
       6.01958       0.00000
       6.29658       0.00000
