      #Energy        TDOS
     -78.10180       0.00000
     -77.81680       0.00000
     -77.53180       0.00000
     -77.24780       0.00000
     -76.96280       0.00000
     -76.67780       0.00000
     -76.39280       0.00000
     -76.10780       0.00000
     -75.82280       0.00000
     -75.53780       0.00000
     -75.25280      -0.00000
     -74.96780      -0.00000
     -74.68280      -0.00000
     -74.39780      -0.22950
     -74.11380      30.61000
     -73.82880      77.48000
     -73.54380      18.53000
     -73.25880      -0.03857
     -72.97380      -0.00000
     -72.68880       0.00000
     -72.40380       0.00000
     -72.11880       0.00000
     -71.83380       0.00000
     -71.54880       0.00000
     -71.26380       0.00000
     -70.97980       0.00000
     -70.69480       0.00000
     -70.40980       0.00000
     -70.12480       0.00000
     -69.83980       0.00000
     -69.55480       0.00000
     -69.26980       0.00000
     -68.98480       0.00000
     -68.69980       0.00000
     -68.41480       0.00000
     -68.12980       0.00000
     -67.84480       0.00000
     -67.56080       0.00000
     -67.27580       0.00000
     -66.99080       0.00000
     -66.70580       0.00000
     -66.42080       0.00000
     -66.13580       0.00000
     -65.85080       0.00000
     -65.56580       0.00000
     -65.28080       0.00000
     -64.99580       0.00000
     -64.71080       0.00000
     -64.42680       0.00000
     -64.14180       0.00000
     -63.85680       0.00000
     -63.57180       0.00000
     -63.28680       0.00000
     -63.00180       0.00000
     -62.71680       0.00000
     -62.43180       0.00000
     -62.14680      -0.00000
     -61.86180      -0.00000
     -61.57680      -0.00000
     -61.29280      -0.12720
     -61.00780      34.94000
     -60.72280      80.59000
     -60.43780      11.03000
     -60.15280      -0.08389
     -59.86780      -0.00000
     -59.58280       0.00000
     -59.29780       0.00000
     -59.01280       0.00000
     -58.72780       0.00000
     -58.44280       0.00000
     -58.15780       0.00000
     -57.87380      -0.00000
     -57.58880      -0.00000
     -57.30380      -0.00000
     -57.01880      -0.05331
     -56.73380       7.05300
     -56.44880      40.11000
     -56.16380       9.10300
     -55.87880      -0.05103
     -55.59380      -0.00000
     -55.30880       0.00000
     -55.02380       0.00000
     -54.73980       0.00000
     -54.45480       0.00000
     -54.16980       0.00000
     -53.88480       0.00000
     -53.59980       0.00000
     -53.31480       0.00000
     -53.02980       0.00000
     -52.74480       0.00000
     -52.45980       0.00000
     -52.17480       0.00000
     -51.88980       0.00000
     -51.60580       0.00000
     -51.32080       0.00000
     -51.03580       0.00000
     -50.75080       0.00000
     -50.46580       0.00000
     -50.18080       0.00000
     -49.89580       0.00000
     -49.61080       0.00000
     -49.32580       0.00000
     -49.04080       0.00000
     -48.75580       0.00000
     -48.47080       0.00000
     -48.18680       0.00000
     -47.90180       0.00000
     -47.61680       0.00000
     -47.33180       0.00000
     -47.04680       0.00000
     -46.76180       0.00000
     -46.47680       0.00000
     -46.19180       0.00000
     -45.90680       0.00000
     -45.62180       0.00000
     -45.33680       0.00000
     -45.05280       0.00000
     -44.76780       0.00000
     -44.48280       0.00000
     -44.19780       0.00000
     -43.91280       0.00000
     -43.62780       0.00000
     -43.34280       0.00000
     -43.05780       0.00000
     -42.77280       0.00000
     -42.48780       0.00000
     -42.20280       0.00000
     -41.91880       0.00000
     -41.63380       0.00000
     -41.34880       0.00000
     -41.06380       0.00000
     -40.77880       0.00000
     -40.49380       0.00000
     -40.20880       0.00000
     -39.92380       0.00000
     -39.63880      -0.00000
     -39.35380      -0.00000
     -39.06880      -0.00008
     -38.78380       0.38220
     -38.49980      61.14000
     -38.21480     143.20000
     -37.92980     116.50000
     -37.64480      58.57000
     -37.35980      -0.66530
     -37.07480      -0.00001
     -36.78980       0.00000
     -36.50480      -0.00000
     -36.21980      -0.00000
     -35.93480      -0.00026
     -35.64980       1.38900
     -35.36580      48.37000
     -35.08080     101.40000
     -34.79580     133.70000
     -34.51080      91.51000
     -34.22580       2.61100
     -33.94080      -0.00086
     -33.65580      -0.00000
     -33.37080      -0.01313
     -33.08580      12.23000
     -32.80080      95.15000
     -32.51580      58.21000
     -32.23180       2.89100
     -31.94680      -0.00098
     -31.66180       0.00000
     -31.37680       0.00000
     -31.09180       0.00000
     -30.80680       0.00000
     -30.52180       0.00000
     -30.23680       0.00000
     -29.95180       0.00000
     -29.66680       0.00000
     -29.38180       0.00000
     -29.09680       0.00000
     -28.81280       0.00000
     -28.52780       0.00000
     -28.24280       0.00000
     -27.95780       0.00000
     -27.67280       0.00000
     -27.38780       0.00000
     -27.10280       0.00000
     -26.81780       0.00000
     -26.53280       0.00000
     -26.24780       0.00000
     -25.96280       0.00000
     -25.67880       0.00000
     -25.39380       0.00000
     -25.10880       0.00000
     -24.82380       0.00000
     -24.53880       0.00000
     -24.25380       0.00000
     -23.96880       0.00000
     -23.68380       0.00000
     -23.39880       0.00000
     -23.11380       0.00000
     -22.82880       0.00000
     -22.54480       0.00000
     -22.25980       0.00000
     -21.97480       0.00000
     -21.68980       0.00000
     -21.40480       0.00000
     -21.11980       0.00000
     -20.83480       0.00000
     -20.54980       0.00000
     -20.26480       0.00000
     -19.97980       0.00000
     -19.69480       0.00000
     -19.40980       0.00000
     -19.12580       0.00000
     -18.84080       0.00000
     -18.55580       0.00000
     -18.27080       0.00000
     -17.98580       0.00000
     -17.70080       0.00000
     -17.41580       0.00000
     -17.13080       0.00000
     -16.84580       0.00000
     -16.56080       0.00000
     -16.27580       0.00000
     -15.99180       0.00000
     -15.70680       0.00000
     -15.42180       0.00000
     -15.13680       0.00000
     -14.85180       0.00000
     -14.56680       0.00000
     -14.28180       0.00000
     -13.99680       0.00000
     -13.71180       0.00000
     -13.42680       0.00000
     -13.14180       0.00000
     -12.85780       0.00000
     -12.57280       0.00000
     -12.28780       0.00000
     -12.00280       0.00000
     -11.71780       0.00000
     -11.43280       0.00000
     -11.14780       0.00000
     -10.86280       0.00000
     -10.57780       0.00000
     -10.29280       0.00000
     -10.00780       0.00000
      -9.72280      -0.00000
      -9.43880      -0.00000
      -9.15380      -0.00000
      -8.86880      -0.00106
      -8.58380       0.32200
      -8.29880       2.38600
      -8.01380       3.38700
      -7.72880       1.94100
      -7.44380       4.63300
      -7.15880       4.28100
      -6.87380       5.94000
      -6.58880       8.33500
      -6.30480       9.85400
      -6.01980      12.34000
      -5.73480      21.02000
      -5.44980      34.45000
      -5.16480      39.17000
      -4.87980      49.49000
      -4.59480      56.44000
      -4.30980      63.13000
      -4.02480      59.74000
      -3.73980      59.01000
      -3.45480      57.31000
      -3.17080      62.85000
      -2.88580      66.41000
      -2.60080      66.54000
      -2.31580      63.91000
      -2.03080      65.42000
      -1.74580      66.82000
      -1.46080      63.38000
      -1.17580      57.47000
      -0.89080      47.84000
      -0.60580      41.82000
      -0.32080      41.55000
      -0.03580      43.46000
       0.24820      43.10000
       0.53320      46.08000
       0.81820      50.21000
       1.10320      46.26000
       1.38820      52.15000
       1.67320      54.81000
       1.95820      62.27000
       2.24320      71.84000
       2.52820      74.15000
       2.81320      86.63000
       3.09820      86.10000
       3.38220      51.24000
       3.66720       3.88500
       3.95220      -0.00945
       4.23720      -0.00000
       4.52220       0.00000
       4.80720       0.00000
       5.09220       0.00000
       5.37720       0.00000
       5.66220       0.00000
       5.94720       0.00000
       6.23220       0.00000
       6.51620       0.00000
       6.80120       0.00000
       7.08620       0.00000
       7.37120       0.00000
