     #Energy       W_all      Mo_all      Pt_all
   -78.06391     0.00000     0.00000     0.00000
   -78.05291     0.00000     0.00000     0.00000
   -78.04191     0.00000     0.00000     0.00000
   -78.03191     0.00000     0.00000     0.00000
   -78.02091     0.00000     0.00000     0.00000
   -78.00991     0.00000     0.00000     0.00000
   -77.99991     0.00000     0.00000     0.00000
   -77.98891     0.00000     0.00000     0.00000
   -77.97891     0.00000     0.00000     0.00000
   -77.96791     0.00000     0.00000     0.00000
   -77.95691     0.00000     0.00000     0.00000
   -77.94691     0.00000     0.00000     0.00000
   -77.93591     0.00000     0.00000     0.00000
   -77.92491     0.00000     0.00000     0.00000
   -77.91491     0.00000     0.00000     0.00000
   -77.90391     0.00000     0.00000     0.00000
   -77.89391     0.00000     0.00000     0.00000
   -77.88291     0.00000     0.00000     0.00000
   -77.87191     0.00000     0.00000     0.00000
   -77.86191     0.00000     0.00000     0.00000
   -77.85091     0.00000     0.00000     0.00000
   -77.83991     0.00000     0.00000     0.00000
   -77.82991     0.00000     0.00000     0.00000
   -77.81891     0.00000     0.00000     0.00000
   -77.80891     0.00000     0.00000     0.00000
   -77.79791     0.00000     0.00000     0.00000
   -77.78691     0.00000     0.00000     0.00000
   -77.77691     0.00000     0.00000     0.00000
   -77.76591     0.00000     0.00000     0.00000
   -77.75491     0.00000     0.00000     0.00000
   -77.74491     0.00000     0.00000     0.00000
   -77.73391     0.00000     0.00000     0.00000
   -77.72391     0.00000     0.00000     0.00000
   -77.71291     0.00000     0.00000     0.00000
   -77.70191     0.00000     0.00000     0.00000
   -77.69191     0.00000     0.00000     0.00000
   -77.68091     0.00000     0.00000     0.00000
   -77.66991     0.00000     0.00000     0.00000
   -77.65991     0.00000     0.00000     0.00000
   -77.64891     0.00000     0.00000     0.00000
   -77.63791     0.00000     0.00000     0.00000
   -77.62791     0.00000     0.00000     0.00000
   -77.61691     0.00000     0.00000     0.00000
   -77.60691     0.00000     0.00000     0.00000
   -77.59591     0.00000     0.00000     0.00000
   -77.58491     0.00000     0.00000     0.00000
   -77.57491     0.00000     0.00000     0.00000
   -77.56391     0.00000     0.00000     0.00000
   -77.55291     0.00000     0.00000     0.00000
   -77.54291     0.00000     0.00000     0.00000
   -77.53191     0.00000     0.00000     0.00000
   -77.52191     0.00000     0.00000     0.00000
   -77.51091     0.00000     0.00000     0.00000
   -77.49991     0.00000     0.00000     0.00000
   -77.48991     0.00000     0.00000     0.00000
   -77.47891     0.00000     0.00000     0.00000
   -77.46791     0.00000     0.00000     0.00000
   -77.45791     0.00000     0.00000     0.00000
   -77.44691     0.00000     0.00000     0.00000
   -77.43691     0.00000     0.00000     0.00000
   -77.42591     0.00000     0.00000     0.00000
   -77.41491     0.00000     0.00000     0.00000
   -77.40491     0.00000     0.00000     0.00000
   -77.39391     0.00000     0.00000     0.00000
   -77.38291     0.00000     0.00000     0.00000
   -77.37291     0.00000     0.00000     0.00000
   -77.36191     0.00000     0.00000     0.00000
   -77.35191     0.00000     0.00000     0.00000
   -77.34091     0.00000     0.00000     0.00000
   -77.32991     0.00000     0.00000     0.00000
   -77.31991     0.00000     0.00000     0.00000
   -77.30891     0.00000     0.00000     0.00000
   -77.29791     0.00000     0.00000     0.00000
