      #Energy        TDOS
     -77.49231       0.00000
     -77.20731       0.00000
     -76.92231       0.00000
     -76.63731       0.00000
     -76.35231       0.00000
     -76.06731       0.00000
     -75.78331       0.00000
     -75.49831       0.00000
     -75.21331       0.00000
     -74.92831       0.00000
     -74.64331      -0.00000
     -74.35831      -0.00000
     -74.07431      -0.00000
     -73.78931      -0.19550
     -73.50431      32.89000
     -73.21931     100.30000
     -72.93431       0.38820
     -72.65031      -0.00034
     -72.36531       0.00000
     -72.08031       0.00000
     -71.79531       0.00000
     -71.51031       0.00000
     -71.22531       0.00000
     -70.94131       0.00000
     -70.65631       0.00000
     -70.37131       0.00000
     -70.08631       0.00000
     -69.80131       0.00000
     -69.51631       0.00000
     -69.23231       0.00000
     -68.94731       0.00000
     -68.66231       0.00000
     -68.37731       0.00000
     -68.09231       0.00000
     -67.80831       0.00000
     -67.52331       0.00000
     -67.23831       0.00000
     -66.95331       0.00000
     -66.66831       0.00000
     -66.38331       0.00000
     -66.09931       0.00000
     -65.81431       0.00000
     -65.52931       0.00000
     -65.24431       0.00000
     -64.95931       0.00000
     -64.67431       0.00000
     -64.39031       0.00000
     -64.10531       0.00000
     -63.82031       0.00000
     -63.53531       0.00000
     -63.25031       0.00000
     -62.96631       0.00000
     -62.68131       0.00000
     -62.39631       0.00000
     -62.11131       0.00000
     -61.82631       0.00000
     -61.54131       0.00000
     -61.25731       0.00000
     -60.97231       0.00000
     -60.68731       0.00000
     -60.40231       0.00000
     -60.11731       0.00000
     -59.83231       0.00000
     -59.54831       0.00000
     -59.26331       0.00000
     -58.97831       0.00000
     -58.69331       0.00000
     -58.40831       0.00000
     -58.12331       0.00000
     -57.83931       0.00000
     -57.55431       0.00000
     -57.26931       0.00000
     -56.98431       0.00000
     -56.69931       0.00000
     -56.41531       0.00000
     -56.13031       0.00000
     -55.84531       0.00000
     -55.56031       0.00000
     -55.27531      -0.00000
     -54.99031      -0.00000
     -54.70631      -0.00000
     -54.42131      -0.06800
     -54.13631       7.28000
     -53.85131      21.35000
     -53.56631      -0.47380
     -53.28131      -0.00000
     -52.99731       0.00000
     -52.71231       0.00000
     -52.42731       0.00000
     -52.14231       0.00000
     -51.85731       0.00000
     -51.57331       0.00000
     -51.28831       0.00000
     -51.00331       0.00000
     -50.71831       0.00000
     -50.43331       0.00000
     -50.14831       0.00000
     -49.86431       0.00000
     -49.57931       0.00000
     -49.29431       0.00000
     -49.00931       0.00000
     -48.72431       0.00000
     -48.43931       0.00000
     -48.15531       0.00000
     -47.87031       0.00000
     -47.58531       0.00000
     -47.30031       0.00000
     -47.01531       0.00000
     -46.73131       0.00000
     -46.44631       0.00000
     -46.16131       0.00000
     -45.87631       0.00000
     -45.59131       0.00000
     -45.30631       0.00000
     -45.02231       0.00000
     -44.73731       0.00000
     -44.45231       0.00000
     -44.16731       0.00000
     -43.88231       0.00000
     -43.59731       0.00000
     -43.31331       0.00000
     -43.02831       0.00000
     -42.74331       0.00000
     -42.45831       0.00000
     -42.17331       0.00000
     -41.88931       0.00000
     -41.60431       0.00000
     -41.31931       0.00000
     -41.03431       0.00000
     -40.74931       0.00000
     -40.46431       0.00000
     -40.18031       0.00000
     -39.89531       0.00000
     -39.61031       0.00000
     -39.32531       0.00000
     -39.04031      -0.00000
     -38.75531      -0.00000
     -38.47131      -0.00090
     -38.18631       2.67200
     -37.90131      72.47000
     -37.61631     124.00000
     -37.33131     165.60000
     -37.04731      35.63000
     -36.76231      -0.06088
     -36.47731      -0.00000
     -36.19231       0.00000
     -35.90731       0.00000
     -35.62231       0.00000
     -35.33831       0.00000
     -35.05331      -0.00000
     -34.76831      -0.00000
     -34.48331      -0.00000
     -34.19831      -0.05089
     -33.91331      20.75000
     -33.62931      90.70000
     -33.34431      91.51000
     -33.05931       7.75800
     -32.77431      -0.00793
     -32.48931       0.00000
     -32.20531       0.00000
     -31.92031       0.00000
     -31.63531       0.00000
     -31.35031      -0.00000
     -31.06531      -0.00000
     -30.78031      -0.00000
     -30.49631      -0.53450
     -30.21131      42.48000
     -29.92631      42.92000
     -29.64131      -1.36200
     -29.35631      60.76000
     -29.07131       3.20000
     -28.78731      -0.00068
     -28.50231       0.00000
     -28.21731       0.00000
     -27.93231       0.00000
     -27.64731       0.00000
     -27.36331       0.00000
     -27.07831       0.00000
     -26.79331       0.00000
     -26.50831       0.00000
     -26.22331       0.00000
     -25.93831       0.00000
     -25.65431       0.00000
     -25.36931       0.00000
     -25.08431       0.00000
     -24.79931       0.00000
     -24.51431       0.00000
     -24.22931       0.00000
     -23.94531       0.00000
     -23.66031       0.00000
     -23.37531       0.00000
     -23.09031       0.00000
     -22.80531       0.00000
     -22.52131       0.00000
     -22.23631       0.00000
     -21.95131       0.00000
     -21.66631       0.00000
     -21.38131       0.00000
     -21.09631       0.00000
     -20.81231       0.00000
     -20.52731       0.00000
     -20.24231       0.00000
     -19.95731       0.00000
     -19.67231       0.00000
     -19.38731       0.00000
     -19.10331       0.00000
     -18.81831       0.00000
     -18.53331       0.00000
     -18.24831       0.00000
     -17.96331       0.00000
     -17.67831       0.00000
     -17.39431       0.00000
     -17.10931       0.00000
     -16.82431       0.00000
     -16.53931       0.00000
     -16.25431       0.00000
     -15.97031       0.00000
     -15.68531       0.00000
     -15.40031       0.00000
     -15.11531       0.00000
     -14.83031       0.00000
     -14.54531       0.00000
     -14.26131       0.00000
     -13.97631       0.00000
     -13.69131       0.00000
     -13.40631       0.00000
     -13.12131       0.00000
     -12.83631       0.00000
     -12.55231       0.00000
     -12.26731       0.00000
     -11.98231       0.00000
     -11.69731       0.00000
     -11.41231       0.00000
     -11.12831       0.00000
     -10.84331       0.00000
     -10.55831       0.00000
     -10.27331       0.00000
      -9.98831       0.00000
      -9.70331       0.00000
      -9.41931       0.00000
      -9.13431      -0.00000
      -8.84931      -0.00000
      -8.56431      -0.00000
      -8.27931      -0.00528
      -7.99431       0.41140
      -7.71031       1.28100
      -7.42531       1.91300
      -7.14031       2.38900
      -6.85531       2.57100
      -6.57031       3.08500
      -6.28631       4.12700
      -6.00131       4.80600
      -5.71631       4.96800
      -5.43131       6.34800
      -5.14631       7.64600
      -4.86131      12.78000
      -4.57731      20.23000
      -4.29231      22.65000
      -4.00731      27.71000
      -3.72231      29.54000
      -3.43731      35.16000
      -3.15231      38.70000
      -2.86831      30.12000
      -2.58331      17.14000
      -2.29831      24.39000
      -2.01331      58.05000
      -1.72831      51.67000
      -1.44431      46.94000
      -1.15931      46.62000
      -0.87431      50.36000
      -0.58931      53.53000
      -0.30431      45.95000
      -0.01931      34.93000
       0.26469      24.82000
       0.54969      15.07000
       0.83469      12.99000
       1.11969      15.15000
       1.40469      18.70000
       1.68969      25.05000
       1.97369      29.69000
       2.25869      31.29000
       2.54369      35.73000
       2.82869      38.98000
       3.11369      42.10000
       3.39769      42.55000
       3.68269      46.43000
       3.96769      36.53000
       4.25269       1.34600
       4.53769      -0.00175
       4.82269      -0.00000
       5.10669       0.00000
       5.39169       0.00000
       5.67669       0.00000
       5.96169       0.00000
       6.24669       0.00000
       6.53169       0.00000
       6.81569       0.00000
       7.10069       0.00000
       7.38569       0.00000
       7.67069       0.00000
       7.95569       0.00000
