     #Energy       W_all      Mo_all      Rh_all
   -78.20376     0.00000     0.00000     0.00000
   -78.19276     0.00000     0.00000     0.00000
   -78.18176     0.00000     0.00000     0.00000
   -78.17076     0.00000     0.00000     0.00000
   -78.15976     0.00000     0.00000     0.00000
   -78.14776     0.00000     0.00000     0.00000
   -78.13676     0.00000     0.00000     0.00000
   -78.12576     0.00000     0.00000     0.00000
   -78.11476     0.00000     0.00000     0.00000
   -78.10376     0.00000     0.00000     0.00000
   -78.09276     0.00000     0.00000     0.00000
   -78.08176     0.00000     0.00000     0.00000
   -78.07076     0.00000     0.00000     0.00000
   -78.05876     0.00000     0.00000     0.00000
   -78.04776     0.00000     0.00000     0.00000
   -78.03676     0.00000     0.00000     0.00000
   -78.02576     0.00000     0.00000     0.00000
   -78.01476     0.00000     0.00000     0.00000
   -78.00376     0.00000     0.00000     0.00000
   -77.99276     0.00000     0.00000     0.00000
   -77.98176     0.00000     0.00000     0.00000
   -77.96976     0.00000     0.00000     0.00000
   -77.95876     0.00000     0.00000     0.00000
   -77.94776     0.00000     0.00000     0.00000
   -77.93676     0.00000     0.00000     0.00000
   -77.92576     0.00000     0.00000     0.00000
   -77.91476     0.00000     0.00000     0.00000
   -77.90376     0.00000     0.00000     0.00000
   -77.89276     0.00000     0.00000     0.00000
   -77.88076     0.00000     0.00000     0.00000
   -77.86976     0.00000     0.00000     0.00000
   -77.85876     0.00000     0.00000     0.00000
   -77.84776     0.00000     0.00000     0.00000
   -77.83676     0.00000     0.00000     0.00000
   -77.82576     0.00000     0.00000     0.00000
   -77.81476     0.00000     0.00000     0.00000
   -77.80376     0.00000     0.00000     0.00000
   -77.79176     0.00000     0.00000     0.00000
   -77.78076     0.00000     0.00000     0.00000
   -77.76976     0.00000     0.00000     0.00000
   -77.75876     0.00000     0.00000     0.00000
   -77.74776     0.00000     0.00000     0.00000
   -77.73676     0.00000     0.00000     0.00000
   -77.72576     0.00000     0.00000     0.00000
   -77.71476     0.00000     0.00000     0.00000
   -77.70276     0.00000     0.00000     0.00000
   -77.69176     0.00000     0.00000     0.00000
   -77.68076     0.00000     0.00000     0.00000
   -77.66976     0.00000     0.00000     0.00000
   -77.65876     0.00000     0.00000     0.00000
   -77.64776     0.00000     0.00000     0.00000
   -77.63676     0.00000     0.00000     0.00000
   -77.62576     0.00000     0.00000     0.00000
   -77.61376     0.00000     0.00000     0.00000
   -77.60276     0.00000     0.00000     0.00000
   -77.59176     0.00000     0.00000     0.00000
   -77.58076     0.00000     0.00000     0.00000
   -77.56976     0.00000     0.00000     0.00000
   -77.55876     0.00000     0.00000     0.00000
   -77.54776     0.00000     0.00000     0.00000
   -77.53676     0.00000     0.00000     0.00000
   -77.52576     0.00000     0.00000     0.00000
   -77.51376     0.00000     0.00000     0.00000
   -77.50276     0.00000     0.00000     0.00000
   -77.49176     0.00000     0.00000     0.00000
   -77.48076     0.00000     0.00000     0.00000
   -77.46976     0.00000     0.00000     0.00000
   -77.45876     0.00000     0.00000     0.00000
   -77.44776     0.00000     0.00000     0.00000
   -77.43676     0.00000     0.00000     0.00000
   -77.42476     0.00000     0.00000     0.00000
   -77.41376     0.00000     0.00000     0.00000
   -77.40276     0.00000     0.00000     0.00000
   -77.39176     0.00000     0.00000     0.00000
   -77.38076     0.00000     0.00000     0.00000
   -77.36976     0.00000     0.00000     0.00000
