      #Energy        TDOS
     -78.23546       0.00000
     -77.93946       0.00000
     -77.64346       0.00000
     -77.34846       0.00000
     -77.05246       0.00000
     -76.75646       0.00000
     -76.46046       0.00000
     -76.16546       0.00000
     -75.86946       0.00000
     -75.57346       0.00000
     -75.27746      -0.00000
     -74.98246      -0.00000
     -74.68646      -0.00000
     -74.39046      -0.08160
     -74.09446      21.48000
     -73.79946     110.80000
     -73.50346       3.09200
     -73.20746      -0.00093
     -72.91146       0.00000
     -72.61646       0.00000
     -72.32046       0.00000
     -72.02446       0.00000
     -71.72846       0.00000
     -71.43246       0.00000
     -71.13746       0.00000
     -70.84146       0.00000
     -70.54546       0.00000
     -70.24946       0.00000
     -69.95446       0.00000
     -69.65846       0.00000
     -69.36246       0.00000
     -69.06646       0.00000
     -68.77146       0.00000
     -68.47546       0.00000
     -68.17946       0.00000
     -67.88346       0.00000
     -67.58846       0.00000
     -67.29246       0.00000
     -66.99646       0.00000
     -66.70046       0.00000
     -66.40546       0.00000
     -66.10946       0.00000
     -65.81346       0.00000
     -65.51746       0.00000
     -65.22146       0.00000
     -64.92646       0.00000
     -64.63046       0.00000
     -64.33446       0.00000
     -64.03846       0.00000
     -63.74346       0.00000
     -63.44746       0.00000
     -63.15146       0.00000
     -62.85546       0.00000
     -62.56046       0.00000
     -62.26446       0.00000
     -61.96846      -0.00000
     -61.67246      -0.00000
     -61.37746      -0.00138
     -61.08146       2.98000
     -60.78546     123.90000
     -60.48946       8.39400
     -60.19446      -0.00246
     -59.89846       0.00000
     -59.60246       0.00000
     -59.30646       0.00000
     -59.01046       0.00000
     -58.71546       0.00000
     -58.41946       0.00000
     -58.12346       0.00000
     -57.82746      -0.00000
     -57.53246      -0.00000
     -57.23646      -0.00000
     -56.94046      -0.45380
     -56.64446      20.86000
     -56.34946       6.72200
     -56.05346      -0.08227
     -55.75746      -0.00000
     -55.46146       0.00000
     -55.16646       0.00000
     -54.87046       0.00000
     -54.57446       0.00000
     -54.27846       0.00000
     -53.98346       0.00000
     -53.68746       0.00000
     -53.39146       0.00000
     -53.09546       0.00000
     -52.79946       0.00000
     -52.50446       0.00000
     -52.20846       0.00000
     -51.91246       0.00000
     -51.61646       0.00000
     -51.32146       0.00000
     -51.02546       0.00000
     -50.72946       0.00000
     -50.43346       0.00000
     -50.13846       0.00000
     -49.84246       0.00000
     -49.54646       0.00000
     -49.25046       0.00000
     -48.95546       0.00000
     -48.65946       0.00000
     -48.36346       0.00000
     -48.06746       0.00000
     -47.77246      -0.00000
     -47.47646      -0.00000
     -47.18046      -0.00298
     -46.88446       5.31000
     -46.58846     135.10000
     -46.29346      62.82000
     -45.99746      -0.36520
     -45.70146      -0.00002
     -45.40546       0.00000
     -45.11046       0.00000
     -44.81446       0.00000
     -44.51846       0.00000
     -44.22246       0.00000
     -43.92746       0.00000
     -43.63146       0.00000
     -43.33546       0.00000
     -43.03946       0.00000
     -42.74446       0.00000
     -42.44846       0.00000
     -42.15246       0.00000
     -41.85646       0.00000
     -41.56146       0.00000
     -41.26546       0.00000
     -40.96946       0.00000
     -40.67346       0.00000
     -40.37746       0.00000
     -40.08246       0.00000
     -39.78646      -0.00000
     -39.49046      -0.00000
     -39.19446      -0.00000
     -38.89946      -0.07476
     -38.60346      27.24000
     -38.30746     138.60000
     -38.01146     154.60000
     -37.71646      84.65000
     -37.42046       0.69290
     -37.12446      -0.00009
     -36.82846       0.00000
     -36.53346      -0.00000
     -36.23746      -0.00000
     -35.94146      -0.00017
     -35.64546       1.40400
     -35.35046      50.64000
     -35.05446     112.70000
     -34.75846     170.80000
     -34.46246      71.39000
     -34.16646      -1.14400
     -33.87146      -0.00000
     -33.57546      -0.00000
     -33.27946      -0.22070
     -32.98346      48.59000
     -32.68846      33.14000
     -32.39246      -0.35880
     -32.09646      -0.00001
     -31.80046       0.00000
     -31.50546       0.00000
     -31.20946       0.00000
     -30.91346       0.00000
     -30.61746       0.00000
     -30.32246       0.00000
     -30.02646       0.00000
     -29.73046       0.00000
     -29.43446       0.00000
     -29.13946       0.00000
     -28.84346       0.00000
     -28.54746       0.00000
     -28.25146       0.00000
     -27.95546       0.00000
     -27.66046       0.00000
     -27.36446       0.00000
     -27.06846       0.00000
     -26.77246       0.00000
     -26.47746       0.00000
     -26.18146       0.00000
     -25.88546       0.00000
     -25.58946       0.00000
     -25.29446       0.00000
     -24.99846       0.00000
     -24.70246       0.00000
     -24.40646       0.00000
     -24.11146       0.00000
     -23.81546       0.00000
     -23.51946       0.00000
     -23.22346       0.00000
     -22.92746       0.00000
