     #Energy       W_all      Mo_all      Pt_all      Hf_all
   -76.82072     0.00000     0.00000     0.00000     0.00000
   -76.80972     0.00000     0.00000     0.00000     0.00000
   -76.79872     0.00000     0.00000     0.00000     0.00000
   -76.78772     0.00000     0.00000     0.00000     0.00000
   -76.77672     0.00000     0.00000     0.00000     0.00000
   -76.76572     0.00000     0.00000     0.00000     0.00000
   -76.75472     0.00000     0.00000     0.00000     0.00000
   -76.74372     0.00000     0.00000     0.00000     0.00000
   -76.73272     0.00000     0.00000     0.00000     0.00000
   -76.72172     0.00000     0.00000     0.00000     0.00000
   -76.71072     0.00000     0.00000     0.00000     0.00000
   -76.69972     0.00000     0.00000     0.00000     0.00000
   -76.68872     0.00000     0.00000     0.00000     0.00000
   -76.67772     0.00000     0.00000     0.00000     0.00000
   -76.66672     0.00000     0.00000     0.00000     0.00000
   -76.65572     0.00000     0.00000     0.00000     0.00000
   -76.64472     0.00000     0.00000     0.00000     0.00000
   -76.63372     0.00000     0.00000     0.00000     0.00000
   -76.62272     0.00000     0.00000     0.00000     0.00000
   -76.61172     0.00000     0.00000     0.00000     0.00000
   -76.60072     0.00000     0.00000     0.00000     0.00000
   -76.58972     0.00000     0.00000     0.00000     0.00000
   -76.57872     0.00000     0.00000     0.00000     0.00000
   -76.56772     0.00000     0.00000     0.00000     0.00000
   -76.55672     0.00000     0.00000     0.00000     0.00000
   -76.54572     0.00000     0.00000     0.00000     0.00000
   -76.53472     0.00000     0.00000     0.00000     0.00000
   -76.52372     0.00000     0.00000     0.00000     0.00000
   -76.51272     0.00000     0.00000     0.00000     0.00000
   -76.50172     0.00000     0.00000     0.00000     0.00000
   -76.49072     0.00000     0.00000     0.00000     0.00000
   -76.47972     0.00000     0.00000     0.00000     0.00000
   -76.46872     0.00000     0.00000     0.00000     0.00000
   -76.45772     0.00000     0.00000     0.00000     0.00000
   -76.44772     0.00000     0.00000     0.00000     0.00000
   -76.43672     0.00000     0.00000     0.00000     0.00000
   -76.42572     0.00000     0.00000     0.00000     0.00000
   -76.41472     0.00000     0.00000     0.00000     0.00000
   -76.40372     0.00000     0.00000     0.00000     0.00000
   -76.39272     0.00000     0.00000     0.00000     0.00000
   -76.38172     0.00000     0.00000     0.00000     0.00000
   -76.37072     0.00000     0.00000     0.00000     0.00000
   -76.35972     0.00000     0.00000     0.00000     0.00000
   -76.34872     0.00000     0.00000     0.00000     0.00000
   -76.33772     0.00000     0.00000     0.00000     0.00000
   -76.32672     0.00000     0.00000     0.00000     0.00000
   -76.31572     0.00000     0.00000     0.00000     0.00000
   -76.30472     0.00000     0.00000     0.00000     0.00000
   -76.29372     0.00000     0.00000     0.00000     0.00000
   -76.28272     0.00000     0.00000     0.00000     0.00000
   -76.27172     0.00000     0.00000     0.00000     0.00000
   -76.26072     0.00000     0.00000     0.00000     0.00000
   -76.24972     0.00000     0.00000     0.00000     0.00000
   -76.23872     0.00000     0.00000     0.00000     0.00000
   -76.22772     0.00000     0.00000     0.00000     0.00000
   -76.21672     0.00000     0.00000     0.00000     0.00000
   -76.20572     0.00000     0.00000     0.00000     0.00000
   -76.19472     0.00000     0.00000     0.00000     0.00000
   -76.18372     0.00000     0.00000     0.00000     0.00000
   -76.17272     0.00000     0.00000     0.00000     0.00000
   -76.16172     0.00000     0.00000     0.00000     0.00000
   -76.15072     0.00000     0.00000     0.00000     0.00000
   -76.13972     0.00000     0.00000     0.00000     0.00000
   -76.12872     0.00000     0.00000     0.00000     0.00000
   -76.11772     0.00000     0.00000     0.00000     0.00000
   -76.10672     0.00000     0.00000     0.00000     0.00000
   -76.09572     0.00000     0.00000     0.00000     0.00000
