     #Energy       W_all      Mo_all      Ir_all
   -78.05224     0.00000     0.00000     0.00000
   -78.04224     0.00000     0.00000     0.00000
   -78.03124     0.00000     0.00000     0.00000
   -78.02124     0.00000     0.00000     0.00000
   -78.01024     0.00000     0.00000     0.00000
   -77.99924     0.00000     0.00000     0.00000
   -77.98924     0.00000     0.00000     0.00000
   -77.97824     0.00000     0.00000     0.00000
   -77.96824     0.00000     0.00000     0.00000
   -77.95724     0.00000     0.00000     0.00000
   -77.94624     0.00000     0.00000     0.00000
   -77.93624     0.00000     0.00000     0.00000
   -77.92524     0.00000     0.00000     0.00000
   -77.91524     0.00000     0.00000     0.00000
   -77.90424     0.00000     0.00000     0.00000
   -77.89324     0.00000     0.00000     0.00000
   -77.88324     0.00000     0.00000     0.00000
   -77.87224     0.00000     0.00000     0.00000
   -77.86224     0.00000     0.00000     0.00000
   -77.85124     0.00000     0.00000     0.00000
   -77.84124     0.00000     0.00000     0.00000
   -77.83024     0.00000     0.00000     0.00000
   -77.81924     0.00000     0.00000     0.00000
   -77.80924     0.00000     0.00000     0.00000
   -77.79824     0.00000     0.00000     0.00000
   -77.78824     0.00000     0.00000     0.00000
   -77.77724     0.00000     0.00000     0.00000
   -77.76624     0.00000     0.00000     0.00000
   -77.75624     0.00000     0.00000     0.00000
   -77.74524     0.00000     0.00000     0.00000
   -77.73524     0.00000     0.00000     0.00000
   -77.72424     0.00000     0.00000     0.00000
   -77.71424     0.00000     0.00000     0.00000
   -77.70324     0.00000     0.00000     0.00000
   -77.69224     0.00000     0.00000     0.00000
   -77.68224     0.00000     0.00000     0.00000
   -77.67124     0.00000     0.00000     0.00000
   -77.66124     0.00000     0.00000     0.00000
   -77.65024     0.00000     0.00000     0.00000
   -77.63924     0.00000     0.00000     0.00000
   -77.62924     0.00000     0.00000     0.00000
   -77.61824     0.00000     0.00000     0.00000
   -77.60824     0.00000     0.00000     0.00000
   -77.59724     0.00000     0.00000     0.00000
   -77.58724     0.00000     0.00000     0.00000
   -77.57624     0.00000     0.00000     0.00000
   -77.56524     0.00000     0.00000     0.00000
   -77.55524     0.00000     0.00000     0.00000
   -77.54424     0.00000     0.00000     0.00000
   -77.53424     0.00000     0.00000     0.00000
   -77.52324     0.00000     0.00000     0.00000
   -77.51224     0.00000     0.00000     0.00000
   -77.50224     0.00000     0.00000     0.00000
   -77.49124     0.00000     0.00000     0.00000
   -77.48124     0.00000     0.00000     0.00000
   -77.47024     0.00000     0.00000     0.00000
   -77.46024     0.00000     0.00000     0.00000
   -77.44924     0.00000     0.00000     0.00000
   -77.43824     0.00000     0.00000     0.00000
   -77.42824     0.00000     0.00000     0.00000
   -77.41724     0.00000     0.00000     0.00000
   -77.40724     0.00000     0.00000     0.00000
   -77.39624     0.00000     0.00000     0.00000
   -77.38524     0.00000     0.00000     0.00000
   -77.37524     0.00000     0.00000     0.00000
   -77.36424     0.00000     0.00000     0.00000
   -77.35424     0.00000     0.00000     0.00000
   -77.34324     0.00000     0.00000     0.00000
   -77.33324     0.00000     0.00000     0.00000
   -77.32224     0.00000     0.00000     0.00000
   -77.31124     0.00000     0.00000     0.00000
   -77.30124     0.00000     0.00000     0.00000
   -77.29024     0.00000     0.00000     0.00000
   -77.28024     0.00000     0.00000     0.00000
   -77.26924     0.00000     0.00000     0.00000
   -77.25824     0.00000     0.00000     0.00000
   -77.24824     0.00000     0.00000     0.00000
   -77.23724     0.00000     0.00000     0.00000
   -77.22724     0.00000     0.00000     0.00000
   -77.21624     0.00000     0.00000     0.00000
   -77.20524     0.00000     0.00000     0.00000
   -77.19524     0.00000     0.00000     0.00000
   -77.18424     0.00000     0.00000     0.00000
   -77.17424     0.00000     0.00000     0.00000
   -77.16324     0.00000     0.00000     0.00000
   -77.15324     0.00000     0.00000     0.00000
   -77.14224     0.00000     0.00000     0.00000
   -77.13124     0.00000     0.00000     0.00000
   -77.12124     0.00000     0.00000     0.00000
   -77.11024     0.00000     0.00000     0.00000
   -77.10024     0.00000     0.00000     0.00000
   -77.08924     0.00000     0.00000     0.00000
   -77.07824     0.00000     0.00000     0.00000
   -77.06824     0.00000     0.00000     0.00000
   -77.05724     0.00000     0.00000     0.00000
   -77.04724     0.00000     0.00000     0.00000
   -77.03624     0.00000     0.00000     0.00000
   -77.02624     0.00000     0.00000     0.00000
   -77.01524     0.00000     0.00000     0.00000
   -77.00424     0.00000     0.00000     0.00000
   -76.99424     0.00000     0.00000     0.00000
   -76.98324     0.00000     0.00000     0.00000
   -76.97324     0.00000     0.00000     0.00000
   -76.96224     0.00000     0.00000     0.00000
   -76.95124     0.00000     0.00000     0.00000
   -76.94124     0.00000     0.00000     0.00000
   -76.93024     0.00000     0.00000     0.00000
   -76.92024     0.00000     0.00000     0.00000
