     #Energy       W_all      Mo_all      Ti_all      Ru_all
   -77.85759     0.00000     0.00000     0.00000     0.00000
   -77.84659     0.00000     0.00000     0.00000     0.00000
   -77.83659     0.00000     0.00000     0.00000     0.00000
   -77.82559     0.00000     0.00000     0.00000     0.00000
   -77.81559     0.00000     0.00000     0.00000     0.00000
   -77.80459     0.00000     0.00000     0.00000     0.00000
   -77.79459     0.00000     0.00000     0.00000     0.00000
   -77.78359     0.00000     0.00000     0.00000     0.00000
   -77.77259     0.00000     0.00000     0.00000     0.00000
   -77.76259     0.00000     0.00000     0.00000     0.00000
   -77.75159     0.00000     0.00000     0.00000     0.00000
   -77.74159     0.00000     0.00000     0.00000     0.00000
   -77.73059     0.00000     0.00000     0.00000     0.00000
   -77.72059     0.00000     0.00000     0.00000     0.00000
   -77.70959     0.00000     0.00000     0.00000     0.00000
   -77.69859     0.00000     0.00000     0.00000     0.00000
   -77.68859     0.00000     0.00000     0.00000     0.00000
   -77.67759     0.00000     0.00000     0.00000     0.00000
   -77.66759     0.00000     0.00000     0.00000     0.00000
   -77.65659     0.00000     0.00000     0.00000     0.00000
   -77.64659     0.00000     0.00000     0.00000     0.00000
   -77.63559     0.00000     0.00000     0.00000     0.00000
   -77.62459     0.00000     0.00000     0.00000     0.00000
   -77.61459     0.00000     0.00000     0.00000     0.00000
   -77.60359     0.00000     0.00000     0.00000     0.00000
   -77.59359     0.00000     0.00000     0.00000     0.00000
   -77.58259     0.00000     0.00000     0.00000     0.00000
   -77.57259     0.00000     0.00000     0.00000     0.00000
   -77.56159     0.00000     0.00000     0.00000     0.00000
   -77.55059     0.00000     0.00000     0.00000     0.00000
   -77.54059     0.00000     0.00000     0.00000     0.00000
   -77.52959     0.00000     0.00000     0.00000     0.00000
   -77.51959     0.00000     0.00000     0.00000     0.00000
   -77.50859     0.00000     0.00000     0.00000     0.00000
   -77.49759     0.00000     0.00000     0.00000     0.00000
   -77.48759     0.00000     0.00000     0.00000     0.00000
   -77.47659     0.00000     0.00000     0.00000     0.00000
   -77.46659     0.00000     0.00000     0.00000     0.00000
   -77.45559     0.00000     0.00000     0.00000     0.00000
   -77.44559     0.00000     0.00000     0.00000     0.00000
   -77.43459     0.00000     0.00000     0.00000     0.00000
   -77.42359     0.00000     0.00000     0.00000     0.00000
   -77.41359     0.00000     0.00000     0.00000     0.00000
   -77.40259     0.00000     0.00000     0.00000     0.00000
   -77.39259     0.00000     0.00000     0.00000     0.00000
   -77.38159     0.00000     0.00000     0.00000     0.00000
   -77.37159     0.00000     0.00000     0.00000     0.00000
   -77.36059     0.00000     0.00000     0.00000     0.00000
   -77.34959     0.00000     0.00000     0.00000     0.00000
   -77.33959     0.00000     0.00000     0.00000     0.00000
   -77.32859     0.00000     0.00000     0.00000     0.00000
