     #Energy       W_all      Mo_all      Ti_all      Os_all
   -78.09775     0.00000     0.00000     0.00000     0.00000
   -78.08775     0.00000     0.00000     0.00000     0.00000
   -78.07675     0.00000     0.00000     0.00000     0.00000
   -78.06675     0.00000     0.00000     0.00000     0.00000
   -78.05575     0.00000     0.00000     0.00000     0.00000
   -78.04475     0.00000     0.00000     0.00000     0.00000
   -78.03475     0.00000     0.00000     0.00000     0.00000
   -78.02375     0.00000     0.00000     0.00000     0.00000
   -78.01275     0.00000     0.00000     0.00000     0.00000
   -78.00275     0.00000     0.00000     0.00000     0.00000
   -77.99175     0.00000     0.00000     0.00000     0.00000
   -77.98075     0.00000     0.00000     0.00000     0.00000
   -77.97075     0.00000     0.00000     0.00000     0.00000
   -77.95975     0.00000     0.00000     0.00000     0.00000
   -77.94875     0.00000     0.00000     0.00000     0.00000
   -77.93875     0.00000     0.00000     0.00000     0.00000
   -77.92775     0.00000     0.00000     0.00000     0.00000
   -77.91775     0.00000     0.00000     0.00000     0.00000
   -77.90675     0.00000     0.00000     0.00000     0.00000
   -77.89575     0.00000     0.00000     0.00000     0.00000
   -77.88575     0.00000     0.00000     0.00000     0.00000
   -77.87475     0.00000     0.00000     0.00000     0.00000
   -77.86375     0.00000     0.00000     0.00000     0.00000
   -77.85375     0.00000     0.00000     0.00000     0.00000
   -77.84275     0.00000     0.00000     0.00000     0.00000
   -77.83175     0.00000     0.00000     0.00000     0.00000
   -77.82175     0.00000     0.00000     0.00000     0.00000
   -77.81075     0.00000     0.00000     0.00000     0.00000
   -77.80075     0.00000     0.00000     0.00000     0.00000
   -77.78975     0.00000     0.00000     0.00000     0.00000
   -77.77875     0.00000     0.00000     0.00000     0.00000
   -77.76875     0.00000     0.00000     0.00000     0.00000
   -77.75775     0.00000     0.00000     0.00000     0.00000
   -77.74675     0.00000     0.00000     0.00000     0.00000
   -77.73675     0.00000     0.00000     0.00000     0.00000
   -77.72575     0.00000     0.00000     0.00000     0.00000
   -77.71475     0.00000     0.00000     0.00000     0.00000
   -77.70475     0.00000     0.00000     0.00000     0.00000
   -77.69375     0.00000     0.00000     0.00000     0.00000
   -77.68275     0.00000     0.00000     0.00000     0.00000
   -77.67275     0.00000     0.00000     0.00000     0.00000
   -77.66175     0.00000     0.00000     0.00000     0.00000
   -77.65175     0.00000     0.00000     0.00000     0.00000
   -77.64075     0.00000     0.00000     0.00000     0.00000
   -77.62975     0.00000     0.00000     0.00000     0.00000
   -77.61975     0.00000     0.00000     0.00000     0.00000
   -77.60875     0.00000     0.00000     0.00000     0.00000
   -77.59775     0.00000     0.00000     0.00000     0.00000
   -77.58775     0.00000     0.00000     0.00000     0.00000
   -77.57675     0.00000     0.00000     0.00000     0.00000
   -77.56575     0.00000     0.00000     0.00000     0.00000
   -77.55575     0.00000     0.00000     0.00000     0.00000
   -77.54475     0.00000     0.00000     0.00000     0.00000
   -77.53375     0.00000     0.00000     0.00000     0.00000
   -77.52375     0.00000     0.00000     0.00000     0.00000
   -77.51275     0.00000     0.00000     0.00000     0.00000
   -77.50275     0.00000     0.00000     0.00000     0.00000
   -77.49175     0.00000     0.00000     0.00000     0.00000
   -77.48075     0.00000     0.00000     0.00000     0.00000
   -77.47075     0.00000     0.00000     0.00000     0.00000
   -77.45975     0.00000     0.00000     0.00000     0.00000
   -77.44875     0.00000     0.00000     0.00000     0.00000
   -77.43875     0.00000     0.00000     0.00000     0.00000
   -77.42775     0.00000     0.00000     0.00000     0.00000
   -77.41675     0.00000     0.00000     0.00000     0.00000
   -77.40675     0.00000     0.00000     0.00000     0.00000
   -77.39575     0.00000     0.00000     0.00000     0.00000
   -77.38575     0.00000     0.00000     0.00000     0.00000
   -77.37475     0.00000     0.00000     0.00000     0.00000
   -77.36375     0.00000     0.00000     0.00000     0.00000
   -77.35375     0.00000     0.00000     0.00000     0.00000
   -77.34275     0.00000     0.00000     0.00000     0.00000
   -77.33175     0.00000     0.00000     0.00000     0.00000
   -77.32175     0.00000     0.00000     0.00000     0.00000
   -77.31075     0.00000     0.00000     0.00000     0.00000
   -77.29975     0.00000     0.00000     0.00000     0.00000
   -77.28975     0.00000     0.00000     0.00000     0.00000
   -77.27875     0.00000     0.00000     0.00000     0.00000
   -77.26775     0.00000     0.00000     0.00000     0.00000
   -77.25775     0.00000     0.00000     0.00000     0.00000
   -77.24675     0.00000     0.00000     0.00000     0.00000
   -77.23675     0.00000     0.00000     0.00000     0.00000
   -77.22575     0.00000     0.00000     0.00000     0.00000
   -77.21475     0.00000     0.00000     0.00000     0.00000
   -77.20475     0.00000     0.00000     0.00000     0.00000
   -77.19375     0.00000     0.00000     0.00000     0.00000
   -77.18275     0.00000     0.00000     0.00000     0.00000
   -77.17275     0.00000     0.00000     0.00000     0.00000
   -77.16175     0.00000     0.00000     0.00000     0.00000
   -77.15075     0.00000     0.00000     0.00000     0.00000
   -77.14075     0.00000     0.00000     0.00000     0.00000
   -77.12975     0.00000     0.00000     0.00000     0.00000
   -77.11875     0.00000     0.00000     0.00000     0.00000
   -77.10875     0.00000     0.00000     0.00000     0.00000
   -77.09775     0.00000     0.00000     0.00000     0.00000
   -77.08775     0.00000     0.00000     0.00000     0.00000
   -77.07675     0.00000     0.00000     0.00000     0.00000
   -77.06575     0.00000     0.00000     0.00000     0.00000
   -77.05575     0.00000     0.00000     0.00000     0.00000
   -77.04475     0.00000     0.00000     0.00000     0.00000
   -77.03375     0.00000     0.00000     0.00000     0.00000
   -77.02375     0.00000     0.00000     0.00000     0.00000
   -77.01275     0.00000     0.00000     0.00000     0.00000
   -77.00175     0.00000     0.00000     0.00000     0.00000
   -76.99175     0.00000     0.00000     0.00000     0.00000
   -76.98075     0.00000     0.00000     0.00000     0.00000
   -76.97075     0.00000     0.00000     0.00000     0.00000
   -76.95975     0.00000     0.00000     0.00000     0.00000
   -76.94875     0.00000     0.00000     0.00000     0.00000
   -76.93875     0.00000     0.00000     0.00000     0.00000
   -76.92775     0.00000     0.00000     0.00000     0.00000
   -76.91675     0.00000     0.00000     0.00000     0.00000
   -76.90675     0.00000     0.00000     0.00000     0.00000
   -76.89575     0.00000     0.00000     0.00000     0.00000
   -76.88475     0.00000     0.00000     0.00000     0.00000
   -76.87475     0.00000     0.00000     0.00000     0.00000
   -76.86375     0.00000     0.00000     0.00000     0.00000
   -76.85275     0.00000     0.00000     0.00000     0.00000
   -76.84275     0.00000     0.00000     0.00000     0.00000
   -76.83175     0.00000     0.00000     0.00000     0.00000
   -76.82175     0.00000     0.00000     0.00000     0.00000
   -76.81075     0.00000     0.00000     0.00000     0.00000
   -76.79975     0.00000     0.00000     0.00000     0.00000
   -76.78975     0.00000     0.00000     0.00000     0.00000
   -76.77875     0.00000     0.00000     0.00000     0.00000
   -76.76775     0.00000     0.00000     0.00000     0.00000
   -76.75775     0.00000     0.00000     0.00000     0.00000
   -76.74675     0.00000     0.00000     0.00000     0.00000
   -76.73575     0.00000     0.00000     0.00000     0.00000
   -76.72575     0.00000     0.00000     0.00000     0.00000
   -76.71475     0.00000     0.00000     0.00000     0.00000
   -76.70375     0.00000     0.00000     0.00000     0.00000
   -76.69375     0.00000     0.00000     0.00000     0.00000
   -76.68275     0.00000     0.00000     0.00000     0.00000
   -76.67275     0.00000     0.00000     0.00000     0.00000
   -76.66175     0.00000     0.00000     0.00000     0.00000
   -76.65075     0.00000     0.00000     0.00000     0.00000
   -76.64075     0.00000     0.00000     0.00000     0.00000
   -76.62975     0.00000     0.00000     0.00000     0.00000
   -76.61875     0.00000     0.00000     0.00000     0.00000
   -76.60875     0.00000     0.00000     0.00000     0.00000
   -76.59775     0.00000     0.00000     0.00000     0.00000
   -76.58675     0.00000     0.00000     0.00000     0.00000
   -76.57675     0.00000     0.00000     0.00000     0.00000
   -76.56575     0.00000     0.00000     0.00000     0.00000
   -76.55575     0.00000     0.00000     0.00000     0.00000
   -76.54475     0.00000     0.00000     0.00000     0.00000
   -76.53375     0.00000     0.00000     0.00000     0.00000
   -76.52375     0.00000     0.00000     0.00000     0.00000
   -76.51275     0.00000     0.00000     0.00000     0.00000
   -76.50175     0.00000     0.00000     0.00000     0.00000
   -76.49175     0.00000     0.00000     0.00000     0.00000
   -76.48075     0.00000     0.00000     0.00000     0.00000
   -76.46975     0.00000     0.00000     0.00000     0.00000
   -76.45975     0.00000     0.00000     0.00000     0.00000
   -76.44875     0.00000     0.00000     0.00000     0.00000
   -76.43775     0.00000     0.00000     0.00000     0.00000
   -76.42775     0.00000     0.00000     0.00000     0.00000
   -76.41675     0.00000     0.00000     0.00000     0.00000
   -76.40675     0.00000     0.00000     0.00000     0.00000
   -76.39575     0.00000     0.00000     0.00000     0.00000
   -76.38475     0.00000     0.00000     0.00000     0.00000
   -76.37475     0.00000     0.00000     0.00000     0.00000
   -76.36375     0.00000     0.00000     0.00000     0.00000
   -76.35275     0.00000     0.00000     0.00000     0.00000
   -76.34275     0.00000     0.00000     0.00000     0.00000
   -76.33175     0.00000     0.00000     0.00000     0.00000
   -76.32075     0.00000     0.00000     0.00000     0.00000
   -76.31075     0.00000     0.00000     0.00000     0.00000
   -76.29975     0.00000     0.00000     0.00000     0.00000
   -76.28875     0.00000     0.00000     0.00000     0.00000
   -76.27875     0.00000     0.00000     0.00000     0.00000
   -76.26775     0.00000     0.00000     0.00000     0.00000
   -76.25775     0.00000     0.00000     0.00000     0.00000
   -76.24675     0.00000     0.00000     0.00000     0.00000
   -76.23575     0.00000     0.00000     0.00000     0.00000
   -76.22575     0.00000     0.00000     0.00000     0.00000
   -76.21475     0.00000     0.00000     0.00000     0.00000
   -76.20375     0.00000     0.00000     0.00000     0.00000
   -76.19375     0.00000     0.00000     0.00000     0.00000
   -76.18275     0.00000     0.00000     0.00000     0.00000
   -76.17175     0.00000     0.00000     0.00000     0.00000
   -76.16175     0.00000     0.00000     0.00000     0.00000
   -76.15075     0.00000     0.00000     0.00000     0.00000
   -76.13975     0.00000     0.00000     0.00000     0.00000
   -76.12975     0.00000     0.00000     0.00000     0.00000
   -76.11875     0.00000     0.00000     0.00000     0.00000
   -76.10875     0.00000     0.00000     0.00000     0.00000
   -76.09775     0.00000     0.00000     0.00000     0.00000
   -76.08675     0.00000     0.00000     0.00000     0.00000
   -76.07675     0.00000     0.00000     0.00000     0.00000
   -76.06575     0.00000     0.00000     0.00000     0.00000
   -76.05475     0.00000     0.00000     0.00000     0.00000
   -76.04475     0.00000     0.00000     0.00000     0.00000
   -76.03375     0.00000     0.00000     0.00000     0.00000
   -76.02275     0.00000     0.00000     0.00000     0.00000
   -76.01275     0.00000     0.00000     0.00000     0.00000
   -76.00175     0.00000     0.00000     0.00000     0.00000
   -75.99175     0.00000     0.00000     0.00000     0.00000
   -75.98075     0.00000     0.00000     0.00000     0.00000
   -75.96975     0.00000     0.00000     0.00000     0.00000
   -75.95975     0.00000     0.00000     0.00000     0.00000
   -75.94875     0.00000     0.00000     0.00000     0.00000
   -75.93775     0.00000     0.00000     0.00000     0.00000
   -75.92775     0.00000     0.00000     0.00000     0.00000
   -75.91675     0.00000     0.00000     0.00000     0.00000
   -75.90575     0.00000     0.00000     0.00000     0.00000
   -75.89575     0.00000     0.00000     0.00000     0.00000
   -75.88475     0.00000     0.00000     0.00000     0.00000
   -75.87375     0.00000     0.00000     0.00000     0.00000
   -75.86375     0.00000     0.00000     0.00000     0.00000
   -75.85275     0.00000     0.00000     0.00000     0.00000
   -75.84275     0.00000     0.00000     0.00000     0.00000
   -75.83175     0.00000     0.00000     0.00000     0.00000
   -75.82075     0.00000     0.00000     0.00000     0.00000
   -75.81075     0.00000     0.00000     0.00000     0.00000
   -75.79975     0.00000     0.00000     0.00000     0.00000
   -75.78875     0.00000     0.00000     0.00000     0.00000
   -75.77875     0.00000     0.00000     0.00000     0.00000
   -75.76775     0.00000     0.00000     0.00000     0.00000
   -75.75675     0.00000     0.00000     0.00000     0.00000
   -75.74675     0.00000     0.00000     0.00000     0.00000
   -75.73575     0.00000     0.00000     0.00000     0.00000
   -75.72475     0.00000     0.00000     0.00000     0.00000
   -75.71475     0.00000     0.00000     0.00000     0.00000
   -75.70375     0.00000     0.00000     0.00000     0.00000
   -75.69375     0.00000     0.00000     0.00000     0.00000
   -75.68275     0.00000     0.00000     0.00000     0.00000
   -75.67175     0.00000     0.00000     0.00000     0.00000
   -75.66175     0.00000     0.00000     0.00000     0.00000
   -75.65075     0.00000     0.00000     0.00000     0.00000
   -75.63975     0.00000     0.00000     0.00000     0.00000
   -75.62975     0.00000     0.00000     0.00000     0.00000
   -75.61875     0.00000     0.00000     0.00000     0.00000
   -75.60775     0.00000     0.00000     0.00000     0.00000
   -75.59775     0.00000     0.00000     0.00000     0.00000
   -75.58675     0.00000     0.00000     0.00000     0.00000
   -75.57675     0.00000     0.00000     0.00000     0.00000
   -75.56575     0.00000     0.00000     0.00000     0.00000
   -75.55475     0.00000     0.00000     0.00000     0.00000
   -75.54475     0.00000     0.00000     0.00000     0.00000
