     #Energy       W_all      Mo_all      Ti_all
   -77.58889     0.00000     0.00000     0.00000
   -77.57789     0.00000     0.00000     0.00000
   -77.56789     0.00000     0.00000     0.00000
   -77.55689     0.00000     0.00000     0.00000
   -77.54689     0.00000     0.00000     0.00000
   -77.53589     0.00000     0.00000     0.00000
   -77.52589     0.00000     0.00000     0.00000
   -77.51489     0.00000     0.00000     0.00000
   -77.50389     0.00000     0.00000     0.00000
   -77.49389     0.00000     0.00000     0.00000
   -77.48289     0.00000     0.00000     0.00000
   -77.47289     0.00000     0.00000     0.00000
   -77.46189     0.00000     0.00000     0.00000
   -77.45089     0.00000     0.00000     0.00000
   -77.44089     0.00000     0.00000     0.00000
   -77.42989     0.00000     0.00000     0.00000
   -77.41989     0.00000     0.00000     0.00000
   -77.40889     0.00000     0.00000     0.00000
   -77.39889     0.00000     0.00000     0.00000
   -77.38789     0.00000     0.00000     0.00000
   -77.37689     0.00000     0.00000     0.00000
   -77.36689     0.00000     0.00000     0.00000
   -77.35589     0.00000     0.00000     0.00000
   -77.34589     0.00000     0.00000     0.00000
   -77.33489     0.00000     0.00000     0.00000
   -77.32489     0.00000     0.00000     0.00000
   -77.31389     0.00000     0.00000     0.00000
   -77.30289     0.00000     0.00000     0.00000
   -77.29289     0.00000     0.00000     0.00000
   -77.28189     0.00000     0.00000     0.00000
   -77.27189     0.00000     0.00000     0.00000
   -77.26089     0.00000     0.00000     0.00000
   -77.25089     0.00000     0.00000     0.00000
   -77.23989     0.00000     0.00000     0.00000
   -77.22889     0.00000     0.00000     0.00000
   -77.21889     0.00000     0.00000     0.00000
   -77.20789     0.00000     0.00000     0.00000
   -77.19789     0.00000     0.00000     0.00000
   -77.18689     0.00000     0.00000     0.00000
   -77.17589     0.00000     0.00000     0.00000
   -77.16589     0.00000     0.00000     0.00000
   -77.15489     0.00000     0.00000     0.00000
   -77.14489     0.00000     0.00000     0.00000
   -77.13389     0.00000     0.00000     0.00000
   -77.12389     0.00000     0.00000     0.00000
   -77.11289     0.00000     0.00000     0.00000
   -77.10189     0.00000     0.00000     0.00000
   -77.09189     0.00000     0.00000     0.00000
   -77.08089     0.00000     0.00000     0.00000
   -77.07089     0.00000     0.00000     0.00000
   -77.05989     0.00000     0.00000     0.00000
   -77.04989     0.00000     0.00000     0.00000
   -77.03889     0.00000     0.00000     0.00000
   -77.02789     0.00000     0.00000     0.00000
   -77.01789     0.00000     0.00000     0.00000
   -77.00689     0.00000     0.00000     0.00000
   -76.99689     0.00000     0.00000     0.00000
   -76.98589     0.00000     0.00000     0.00000
   -76.97489     0.00000     0.00000     0.00000
   -76.96489     0.00000     0.00000     0.00000
   -76.95389     0.00000     0.00000     0.00000
   -76.94389     0.00000     0.00000     0.00000
   -76.93289     0.00000     0.00000     0.00000
   -76.92289     0.00000     0.00000     0.00000
   -76.91189     0.00000     0.00000     0.00000
   -76.90089     0.00000     0.00000     0.00000
   -76.89089     0.00000     0.00000     0.00000
   -76.87989     0.00000     0.00000     0.00000
   -76.86989     0.00000     0.00000     0.00000
   -76.85889     0.00000     0.00000     0.00000
   -76.84889     0.00000     0.00000     0.00000
   -76.83789     0.00000     0.00000     0.00000
   -76.82689     0.00000     0.00000     0.00000
   -76.81689     0.00000     0.00000     0.00000
   -76.80589     0.00000     0.00000     0.00000
   -76.79589     0.00000     0.00000     0.00000
   -76.78489     0.00000     0.00000     0.00000
