     #Energy       W_all      Mo_all      Ti_all
   -77.61869     0.00000     0.00000     0.00000
   -77.60769     0.00000     0.00000     0.00000
   -77.59669     0.00000     0.00000     0.00000
   -77.58669     0.00000     0.00000     0.00000
   -77.57569     0.00000     0.00000     0.00000
   -77.56569     0.00000     0.00000     0.00000
   -77.55469     0.00000     0.00000     0.00000
   -77.54469     0.00000     0.00000     0.00000
   -77.53369     0.00000     0.00000     0.00000
   -77.52269     0.00000     0.00000     0.00000
   -77.51269     0.00000     0.00000     0.00000
   -77.50169     0.00000     0.00000     0.00000
   -77.49169     0.00000     0.00000     0.00000
   -77.48069     0.00000     0.00000     0.00000
   -77.47069     0.00000     0.00000     0.00000
   -77.45969     0.00000     0.00000     0.00000
   -77.44869     0.00000     0.00000     0.00000
   -77.43869     0.00000     0.00000     0.00000
   -77.42769     0.00000     0.00000     0.00000
   -77.41769     0.00000     0.00000     0.00000
   -77.40669     0.00000     0.00000     0.00000
   -77.39569     0.00000     0.00000     0.00000
   -77.38569     0.00000     0.00000     0.00000
   -77.37469     0.00000     0.00000     0.00000
   -77.36469     0.00000     0.00000     0.00000
   -77.35369     0.00000     0.00000     0.00000
   -77.34369     0.00000     0.00000     0.00000
   -77.33269     0.00000     0.00000     0.00000
   -77.32169     0.00000     0.00000     0.00000
   -77.31169     0.00000     0.00000     0.00000
   -77.30069     0.00000     0.00000     0.00000
   -77.29069     0.00000     0.00000     0.00000
   -77.27969     0.00000     0.00000     0.00000
   -77.26969     0.00000     0.00000     0.00000
   -77.25869     0.00000     0.00000     0.00000
   -77.24769     0.00000     0.00000     0.00000
   -77.23769     0.00000     0.00000     0.00000
   -77.22669     0.00000     0.00000     0.00000
   -77.21669     0.00000     0.00000     0.00000
   -77.20569     0.00000     0.00000     0.00000
   -77.19469     0.00000     0.00000     0.00000
   -77.18469     0.00000     0.00000     0.00000
   -77.17369     0.00000     0.00000     0.00000
   -77.16369     0.00000     0.00000     0.00000
   -77.15269     0.00000     0.00000     0.00000
   -77.14269     0.00000     0.00000     0.00000
   -77.13169     0.00000     0.00000     0.00000
   -77.12069     0.00000     0.00000     0.00000
   -77.11069     0.00000     0.00000     0.00000
   -77.09969     0.00000     0.00000     0.00000
   -77.08969     0.00000     0.00000     0.00000
   -77.07869     0.00000     0.00000     0.00000
   -77.06869     0.00000     0.00000     0.00000
   -77.05769     0.00000     0.00000     0.00000
   -77.04669     0.00000     0.00000     0.00000
   -77.03669     0.00000     0.00000     0.00000
   -77.02569     0.00000     0.00000     0.00000
   -77.01569     0.00000     0.00000     0.00000
   -77.00469     0.00000     0.00000     0.00000
   -76.99469     0.00000     0.00000     0.00000
   -76.98369     0.00000     0.00000     0.00000
   -76.97269     0.00000     0.00000     0.00000
   -76.96269     0.00000     0.00000     0.00000
   -76.95169     0.00000     0.00000     0.00000
   -76.94169     0.00000     0.00000     0.00000
   -76.93069     0.00000     0.00000     0.00000
   -76.91969     0.00000     0.00000     0.00000
   -76.90969     0.00000     0.00000     0.00000
   -76.89869     0.00000     0.00000     0.00000
   -76.88869     0.00000     0.00000     0.00000
   -76.87769     0.00000     0.00000     0.00000
