     #Energy       W_all      Mo_all      Ru_all
   -78.38847     0.00000     0.00000     0.00000
   -78.37747     0.00000     0.00000     0.00000
   -78.36547     0.00000     0.00000     0.00000
   -78.35447     0.00000     0.00000     0.00000
   -78.34347     0.00000     0.00000     0.00000
   -78.33247     0.00000     0.00000     0.00000
   -78.32147     0.00000     0.00000     0.00000
   -78.31047     0.00000     0.00000     0.00000
   -78.29847     0.00000     0.00000     0.00000
   -78.28747     0.00000     0.00000     0.00000
   -78.27647     0.00000     0.00000     0.00000
   -78.26547     0.00000     0.00000     0.00000
   -78.25447     0.00000     0.00000     0.00000
   -78.24347     0.00000     0.00000     0.00000
   -78.23247     0.00000     0.00000     0.00000
   -78.22047     0.00000     0.00000     0.00000
   -78.20947     0.00000     0.00000     0.00000
   -78.19847     0.00000     0.00000     0.00000
   -78.18747     0.00000     0.00000     0.00000
   -78.17647     0.00000     0.00000     0.00000
   -78.16547     0.00000     0.00000     0.00000
   -78.15347     0.00000     0.00000     0.00000
   -78.14247     0.00000     0.00000     0.00000
   -78.13147     0.00000     0.00000     0.00000
   -78.12047     0.00000     0.00000     0.00000
   -78.10947     0.00000     0.00000     0.00000
   -78.09847     0.00000     0.00000     0.00000
   -78.08647     0.00000     0.00000     0.00000
   -78.07547     0.00000     0.00000     0.00000
   -78.06447     0.00000     0.00000     0.00000
   -78.05347     0.00000     0.00000     0.00000
   -78.04247     0.00000     0.00000     0.00000
   -78.03147     0.00000     0.00000     0.00000
   -78.01947     0.00000     0.00000     0.00000
   -78.00847     0.00000     0.00000     0.00000
   -77.99747     0.00000     0.00000     0.00000
   -77.98647     0.00000     0.00000     0.00000
   -77.97547     0.00000     0.00000     0.00000
   -77.96447     0.00000     0.00000     0.00000
   -77.95247     0.00000     0.00000     0.00000
   -77.94147     0.00000     0.00000     0.00000
   -77.93047     0.00000     0.00000     0.00000
   -77.91947     0.00000     0.00000     0.00000
   -77.90847     0.00000     0.00000     0.00000
   -77.89747     0.00000     0.00000     0.00000
   -77.88547     0.00000     0.00000     0.00000
   -77.87447     0.00000     0.00000     0.00000
   -77.86347     0.00000     0.00000     0.00000
   -77.85247     0.00000     0.00000     0.00000
   -77.84147     0.00000     0.00000     0.00000
   -77.83047     0.00000     0.00000     0.00000
   -77.81847     0.00000     0.00000     0.00000
   -77.80747     0.00000     0.00000     0.00000
   -77.79647     0.00000     0.00000     0.00000
   -77.78547     0.00000     0.00000     0.00000
   -77.77447     0.00000     0.00000     0.00000
   -77.76347     0.00000     0.00000     0.00000
   -77.75147     0.00000     0.00000     0.00000
   -77.74047     0.00000     0.00000     0.00000
   -77.72947     0.00000     0.00000     0.00000
   -77.71847     0.00000     0.00000     0.00000
   -77.70747     0.00000     0.00000     0.00000
   -77.69647     0.00000     0.00000     0.00000
