      #Energy        TDOS
     -77.88875       0.00000
     -77.60675       0.00000
     -77.32375       0.00000
     -77.04075       0.00000
     -76.75775       0.00000
     -76.47575       0.00000
     -76.19275       0.00000
     -75.90975       0.00000
     -75.62675       0.00000
     -75.34475       0.00000
     -75.06175      -0.00000
     -74.77875      -0.00000
     -74.49575      -0.00000
     -74.21375      -0.22640
     -73.93075      42.59000
     -73.64775      28.44000
     -73.36475      -0.07195
     -73.08275      -0.00000
     -72.79975       0.00000
     -72.51675       0.00000
     -72.23375       0.00000
     -71.95175       0.00000
     -71.66875       0.00000
     -71.38575       0.00000
     -71.10275       0.00000
     -70.82075       0.00000
     -70.53775       0.00000
     -70.25475       0.00000
     -69.97175       0.00000
     -69.68975       0.00000
     -69.40675       0.00000
     -69.12375       0.00000
     -68.84075       0.00000
     -68.55775       0.00000
     -68.27575       0.00000
     -67.99275       0.00000
     -67.70975       0.00000
     -67.42675       0.00000
     -67.14475       0.00000
     -66.86175       0.00000
     -66.57875       0.00000
     -66.29575       0.00000
     -66.01375       0.00000
     -65.73075       0.00000
     -65.44775       0.00000
     -65.16475       0.00000
     -64.88275       0.00000
     -64.59975       0.00000
     -64.31675       0.00000
     -64.03375       0.00000
     -63.75175       0.00000
     -63.46875       0.00000
     -63.18575       0.00000
     -62.90275       0.00000
     -62.62075       0.00000
     -62.33775       0.00000
     -62.05475      -0.00000
     -61.77175      -0.00000
     -61.48975      -0.00000
     -61.20675      -0.66910
     -60.92375      68.36000
     -60.64075      67.36000
     -60.35875      -0.66170
     -60.07575      -0.00000
     -59.79275       0.00000
     -59.50975       0.00000
     -59.22675       0.00000
     -58.94475       0.00000
     -58.66175       0.00000
     -58.37875       0.00000
     -58.09575       0.00000
     -57.81375       0.00000
     -57.53075       0.00000
     -57.24775       0.00000
     -56.96475       0.00000
     -56.68275       0.00000
     -56.39975       0.00000
     -56.11675       0.00000
     -55.83375       0.00000
     -55.55175       0.00000
     -55.26875       0.00000
     -54.98575       0.00000
     -54.70275       0.00000
     -54.42075       0.00000
     -54.13775       0.00000
     -53.85475       0.00000
     -53.57175       0.00000
     -53.28975       0.00000
     -53.00675       0.00000
     -52.72375       0.00000
     -52.44075       0.00000
     -52.15875       0.00000
     -51.87575       0.00000
     -51.59275       0.00000
     -51.30975       0.00000
     -51.02675       0.00000
     -50.74475       0.00000
     -50.46175       0.00000
     -50.17875       0.00000
     -49.89575       0.00000
     -49.61375       0.00000
     -49.33075       0.00000
     -49.04775       0.00000
     -48.76475       0.00000
     -48.48275       0.00000
     -48.19975       0.00000
     -47.91675       0.00000
     -47.63375       0.00000
     -47.35175       0.00000
     -47.06875       0.00000
     -46.78575       0.00000
     -46.50275       0.00000
     -46.22075       0.00000
     -45.93775       0.00000
     -45.65475       0.00000
     -45.37175       0.00000
     -45.08975       0.00000
     -44.80675       0.00000
     -44.52375       0.00000
     -44.24075      -0.00000
     -43.95875      -0.00000
     -43.67575      -0.00000
     -43.39275      -1.12400
     -43.10975      70.88000
     -42.82775      15.14000
     -42.54475      -0.01051
     -42.26175       0.00000
     -41.97875       0.00000
     -41.69575       0.00000
     -41.41375       0.00000
     -41.13075       0.00000
     -40.84775       0.00000
     -40.56475       0.00000
     -40.28275       0.00000
     -39.99975       0.00000
     -39.71675       0.00000
     -39.43375      -0.00000
     -39.15175      -0.00000
     -38.86875      -0.00041
     -38.58575       1.42100
     -38.30275      60.71000
     -38.02075     106.30000
     -37.73775      44.33000
     -37.45475      -0.59840
     -37.17175      -0.00000
     -36.88975       0.00000
     -36.60675      -0.00000
     -36.32375      -0.00000
     -36.04075      -0.00000
     -35.75875      -0.37390
     -35.47575      40.28000
     -35.19275      89.76000
     -34.90975     121.00000
     -34.62775     128.50000
     -34.34475      24.13000
     -34.06175       3.73800
     -33.77875      60.73000
     -33.49675      -0.85500
     -33.21375      -0.00001
     -32.93075       0.00000
     -32.64775       0.00000
     -32.36475       0.00000
     -32.08275       0.00000
     -31.79975       0.00000
     -31.51675       0.00000
     -31.23375       0.00000
     -30.95175       0.00000
     -30.66875       0.00000
     -30.38575       0.00000
     -30.10275       0.00000
     -29.82075       0.00000
     -29.53775       0.00000
     -29.25475       0.00000
     -28.97175       0.00000
     -28.68975       0.00000
     -28.40675       0.00000
     -28.12375       0.00000
     -27.84075       0.00000
     -27.55875       0.00000
     -27.27575       0.00000
     -26.99275       0.00000
     -26.70975       0.00000
     -26.42775       0.00000
     -26.14475       0.00000
     -25.86175       0.00000
     -25.57875       0.00000
     -25.29675       0.00000
     -25.01375       0.00000
     -24.73075       0.00000
     -24.44775       0.00000
     -24.16575       0.00000
     -23.88275       0.00000
     -23.59975       0.00000
     -23.31675       0.00000
     -23.03375       0.00000
     -22.75175       0.00000
     -22.46875       0.00000
     -22.18575       0.00000
     -21.90275       0.00000
     -21.62075       0.00000
     -21.33775       0.00000
     -21.05475       0.00000
     -20.77175       0.00000
     -20.48975       0.00000
     -20.20675       0.00000
     -19.92375       0.00000
     -19.64075       0.00000
     -19.35875       0.00000
     -19.07575       0.00000
     -18.79275       0.00000
     -18.50975       0.00000
     -18.22775       0.00000
     -17.94475       0.00000
     -17.66175       0.00000
     -17.37875       0.00000
     -17.09675       0.00000
     -16.81375       0.00000
     -16.53075       0.00000
     -16.24775       0.00000
     -15.96575       0.00000
     -15.68275       0.00000
     -15.39975       0.00000
     -15.11675       0.00000
     -14.83375       0.00000
     -14.55175       0.00000
     -14.26875       0.00000
     -13.98575       0.00000
     -13.70275       0.00000
     -13.42075       0.00000
     -13.13775       0.00000
     -12.85475       0.00000
     -12.57175       0.00000
     -12.28975       0.00000
     -12.00675       0.00000
     -11.72375       0.00000
     -11.44075       0.00000
     -11.15875       0.00000
     -10.87575       0.00000
     -10.59275       0.00000
     -10.30975       0.00000
     -10.02775       0.00000
      -9.74475       0.00000
      -9.46175       0.00000
      -9.17875       0.00000
      -8.89675      -0.00000
      -8.61375      -0.00000
      -8.33075      -0.00001
      -8.04775       0.05063
      -7.76575       0.91940
      -7.48275       1.75200
      -7.19975       1.93900
      -6.91675       3.03300
      -6.63475       3.35900
      -6.35175       3.72700
      -6.06875       4.68400
      -5.78575       5.64900
      -5.50275       7.11400
      -5.22075      14.66000
      -4.93775      23.45000
      -4.65475      29.62000
      -4.37175      34.48000
      -4.08975      40.19000
      -3.80675      43.05000
      -3.52375      38.24000
      -3.24075      24.55000
      -2.95875      42.57000
      -2.67575      61.53000
      -2.39275      51.39000
      -2.10975      43.63000
      -1.82775      43.90000
      -1.54475      58.77000
      -1.26175      61.15000
      -0.97875      41.32000
      -0.69675      23.84000
      -0.41375      16.98000
      -0.13075      20.30000
       0.15225      16.35000
       0.43425      29.85000
       0.71725      36.20000
       1.00025      43.56000
       1.28325      46.77000
       1.56525      46.19000
       1.84825      45.98000
       2.13125      45.69000
       2.41425      47.09000
       2.69625      44.38000
       2.97925      43.59000
       3.26225       3.88100
       3.54525      -0.00730
       3.82825      -0.00000
       4.11025       0.00000
       4.39325       0.00000
       4.67625       0.00000
       4.95925       0.00000
       5.24125       0.00000
       5.52425       0.00000
       5.80725       0.00000
       6.09025       0.00000
       6.37225       0.00000
       6.65525       0.00000
       6.93825       0.00000
