     #Energy       W_all      Mo_all      Pd_all      Hf_all
   -76.78314     0.00000     0.00000     0.00000     0.00000
   -76.77214     0.00000     0.00000     0.00000     0.00000
   -76.76114     0.00000     0.00000     0.00000     0.00000
   -76.75014     0.00000     0.00000     0.00000     0.00000
   -76.73914     0.00000     0.00000     0.00000     0.00000
   -76.72814     0.00000     0.00000     0.00000     0.00000
   -76.71714     0.00000     0.00000     0.00000     0.00000
   -76.70614     0.00000     0.00000     0.00000     0.00000
   -76.69514     0.00000     0.00000     0.00000     0.00000
   -76.68414     0.00000     0.00000     0.00000     0.00000
   -76.67414     0.00000     0.00000     0.00000     0.00000
   -76.66314     0.00000     0.00000     0.00000     0.00000
   -76.65214     0.00000     0.00000     0.00000     0.00000
   -76.64114     0.00000     0.00000     0.00000     0.00000
   -76.63014     0.00000     0.00000     0.00000     0.00000
   -76.61914     0.00000     0.00000     0.00000     0.00000
   -76.60814     0.00000     0.00000     0.00000     0.00000
   -76.59714     0.00000     0.00000     0.00000     0.00000
   -76.58614     0.00000     0.00000     0.00000     0.00000
   -76.57514     0.00000     0.00000     0.00000     0.00000
   -76.56414     0.00000     0.00000     0.00000     0.00000
   -76.55314     0.00000     0.00000     0.00000     0.00000
   -76.54214     0.00000     0.00000     0.00000     0.00000
   -76.53114     0.00000     0.00000     0.00000     0.00000
   -76.52014     0.00000     0.00000     0.00000     0.00000
   -76.50914     0.00000     0.00000     0.00000     0.00000
   -76.49814     0.00000     0.00000     0.00000     0.00000
   -76.48714     0.00000     0.00000     0.00000     0.00000
   -76.47614     0.00000     0.00000     0.00000     0.00000
   -76.46514     0.00000     0.00000     0.00000     0.00000
   -76.45414     0.00000     0.00000     0.00000     0.00000
   -76.44314     0.00000     0.00000     0.00000     0.00000
   -76.43214     0.00000     0.00000     0.00000     0.00000
   -76.42114     0.00000     0.00000     0.00000     0.00000
   -76.41014     0.00000     0.00000     0.00000     0.00000
   -76.39914     0.00000     0.00000     0.00000     0.00000
   -76.38814     0.00000     0.00000     0.00000     0.00000
   -76.37714     0.00000     0.00000     0.00000     0.00000
   -76.36614     0.00000     0.00000     0.00000     0.00000
   -76.35514     0.00000     0.00000     0.00000     0.00000
   -76.34414     0.00000     0.00000     0.00000     0.00000
   -76.33314     0.00000     0.00000     0.00000     0.00000
   -76.32214     0.00000     0.00000     0.00000     0.00000
   -76.31114     0.00000     0.00000     0.00000     0.00000
   -76.30014     0.00000     0.00000     0.00000     0.00000
   -76.28914     0.00000     0.00000     0.00000     0.00000
   -76.27814     0.00000     0.00000     0.00000     0.00000
   -76.26714     0.00000     0.00000     0.00000     0.00000
   -76.25614     0.00000     0.00000     0.00000     0.00000
   -76.24514     0.00000     0.00000     0.00000     0.00000
   -76.23514     0.00000     0.00000     0.00000     0.00000
   -76.22414     0.00000     0.00000     0.00000     0.00000
   -76.21314     0.00000     0.00000     0.00000     0.00000
   -76.20214     0.00000     0.00000     0.00000     0.00000
   -76.19114     0.00000     0.00000     0.00000     0.00000
   -76.18014     0.00000     0.00000     0.00000     0.00000
   -76.16914     0.00000     0.00000     0.00000     0.00000
   -76.15814     0.00000     0.00000     0.00000     0.00000
   -76.14714     0.00000     0.00000     0.00000     0.00000
   -76.13614     0.00000     0.00000     0.00000     0.00000
   -76.12514     0.00000     0.00000     0.00000     0.00000
   -76.11414     0.00000     0.00000     0.00000     0.00000
   -76.10314     0.00000     0.00000     0.00000     0.00000
   -76.09214     0.00000     0.00000     0.00000     0.00000
   -76.08114     0.00000     0.00000     0.00000     0.00000
   -76.07014     0.00000     0.00000     0.00000     0.00000
   -76.05914     0.00000     0.00000     0.00000     0.00000
   -76.04814     0.00000     0.00000     0.00000     0.00000
   -76.03714     0.00000     0.00000     0.00000     0.00000
   -76.02614     0.00000     0.00000     0.00000     0.00000
   -76.01514     0.00000     0.00000     0.00000     0.00000
   -76.00414     0.00000     0.00000     0.00000     0.00000
   -75.99314     0.00000     0.00000     0.00000     0.00000
   -75.98214     0.00000     0.00000     0.00000     0.00000
   -75.97114     0.00000     0.00000     0.00000     0.00000
   -75.96014     0.00000     0.00000     0.00000     0.00000
   -75.94914     0.00000     0.00000     0.00000     0.00000
   -75.93814     0.00000     0.00000     0.00000     0.00000
   -75.92714     0.00000     0.00000     0.00000     0.00000
   -75.91614     0.00000     0.00000     0.00000     0.00000
   -75.90514     0.00000     0.00000     0.00000     0.00000
   -75.89414     0.00000     0.00000     0.00000     0.00000
   -75.88314     0.00000     0.00000     0.00000     0.00000
   -75.87214     0.00000     0.00000     0.00000     0.00000
   -75.86114     0.00000     0.00000     0.00000     0.00000
   -75.85014     0.00000     0.00000     0.00000     0.00000
   -75.83914     0.00000     0.00000     0.00000     0.00000
   -75.82814     0.00000     0.00000     0.00000     0.00000
   -75.81714     0.00000     0.00000     0.00000     0.00000
   -75.80714     0.00000     0.00000     0.00000     0.00000
   -75.79614     0.00000     0.00000     0.00000     0.00000
   -75.78514     0.00000     0.00000     0.00000     0.00000
   -75.77414     0.00000     0.00000     0.00000     0.00000
   -75.76314     0.00000     0.00000     0.00000     0.00000
   -75.75214     0.00000     0.00000     0.00000     0.00000
   -75.74114     0.00000     0.00000     0.00000     0.00000
   -75.73014     0.00000     0.00000     0.00000     0.00000
   -75.71914     0.00000     0.00000     0.00000     0.00000
   -75.70814     0.00000     0.00000     0.00000     0.00000
   -75.69714     0.00000     0.00000     0.00000     0.00000
   -75.68614     0.00000     0.00000     0.00000     0.00000
   -75.67514     0.00000     0.00000     0.00000     0.00000
   -75.66414     0.00000     0.00000     0.00000     0.00000
   -75.65314     0.00000     0.00000     0.00000     0.00000
   -75.64214     0.00000     0.00000     0.00000     0.00000
   -75.63114     0.00000     0.00000     0.00000     0.00000
   -75.62014     0.00000     0.00000     0.00000     0.00000
   -75.60914     0.00000     0.00000     0.00000     0.00000
   -75.59814     0.00000     0.00000     0.00000     0.00000
   -75.58714     0.00000     0.00000     0.00000     0.00000
   -75.57614     0.00000     0.00000     0.00000     0.00000
   -75.56514     0.00000     0.00000     0.00000     0.00000
   -75.55414     0.00000     0.00000     0.00000     0.00000
   -75.54314     0.00000     0.00000     0.00000     0.00000
   -75.53214     0.00000     0.00000     0.00000     0.00000
   -75.52114     0.00000     0.00000     0.00000     0.00000
   -75.51014     0.00000     0.00000     0.00000     0.00000
   -75.49914     0.00000     0.00000     0.00000     0.00000
   -75.48814     0.00000     0.00000     0.00000     0.00000
   -75.47714     0.00000     0.00000     0.00000     0.00000
   -75.46614     0.00000     0.00000     0.00000     0.00000
   -75.45514     0.00000     0.00000     0.00000     0.00000
   -75.44414     0.00000     0.00000     0.00000     0.00000
   -75.43314     0.00000     0.00000     0.00000     0.00000
   -75.42214     0.00000     0.00000     0.00000     0.00000
   -75.41114     0.00000     0.00000     0.00000     0.00000
   -75.40014     0.00000     0.00000     0.00000     0.00000
   -75.38914     0.00000     0.00000     0.00000     0.00000
   -75.37914     0.00000     0.00000     0.00000     0.00000
   -75.36814     0.00000     0.00000     0.00000     0.00000
   -75.35714     0.00000     0.00000     0.00000     0.00000
   -75.34614     0.00000     0.00000     0.00000     0.00000
   -75.33514     0.00000     0.00000     0.00000     0.00000
   -75.32414     0.00000     0.00000     0.00000     0.00000
   -75.31314     0.00000     0.00000     0.00000     0.00000
   -75.30214     0.00000     0.00000     0.00000     0.00000
   -75.29114     0.00000     0.00000     0.00000     0.00000
   -75.28014     0.00000     0.00000     0.00000     0.00000
   -75.26914     0.00000     0.00000     0.00000     0.00000
   -75.25814     0.00000     0.00000     0.00000     0.00000
   -75.24714     0.00000     0.00000     0.00000     0.00000
   -75.23614     0.00000     0.00000     0.00000     0.00000
   -75.22514     0.00000     0.00000     0.00000     0.00000
   -75.21414     0.00000     0.00000     0.00000     0.00000
   -75.20314     0.00000     0.00000     0.00000     0.00000
   -75.19214     0.00000     0.00000     0.00000     0.00000
   -75.18114     0.00000     0.00000     0.00000     0.00000
   -75.17014     0.00000     0.00000     0.00000     0.00000
   -75.15914     0.00000     0.00000     0.00000     0.00000
   -75.14814     0.00000     0.00000     0.00000     0.00000
   -75.13714     0.00000     0.00000     0.00000     0.00000
   -75.12614     0.00000     0.00000     0.00000     0.00000
   -75.11514     0.00000     0.00000     0.00000     0.00000
   -75.10414     0.00000     0.00000     0.00000     0.00000
   -75.09314     0.00000     0.00000     0.00000     0.00000
   -75.08214     0.00000     0.00000     0.00000     0.00000
   -75.07114     0.00000     0.00000     0.00000     0.00000
   -75.06014     0.00000     0.00000     0.00000     0.00000
   -75.04914     0.00000     0.00000     0.00000     0.00000
   -75.03814     0.00000     0.00000     0.00000     0.00000
   -75.02714     0.00000     0.00000     0.00000     0.00000
   -75.01614     0.00000     0.00000     0.00000     0.00000
   -75.00514     0.00000     0.00000     0.00000     0.00000
   -74.99414     0.00000     0.00000     0.00000     0.00000
   -74.98314     0.00000     0.00000     0.00000     0.00000
   -74.97214     0.00000     0.00000     0.00000     0.00000
   -74.96114     0.00000     0.00000     0.00000     0.00000
   -74.95014     0.00000     0.00000     0.00000     0.00000
   -74.94014     0.00000     0.00000     0.00000     0.00000
   -74.92914     0.00000     0.00000     0.00000     0.00000
   -74.91814     0.00000     0.00000     0.00000     0.00000
   -74.90714     0.00000     0.00000     0.00000     0.00000
   -74.89614     0.00000     0.00000     0.00000     0.00000
   -74.88514     0.00000     0.00000     0.00000     0.00000
